DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,P7495,P7500,P7500S1,P7500S2,P7500S3A1,P7500S2A1,P7500S1A1,P7500S3,P7505,P7510S3,P7510S6,P7510S2A1,P7510S6A1,P7510S5A1,P7510S3A1,P7510S1A1,P7510S5,P7510S1,P7510S2,P7510S7A1,P7510S7,clase,MES,DPTO,fex_c_2011
2666198,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,73,211.850.590.974.938
2666198,1,2,1,95,2,,,,,,,,1,2,2,,,,,100000,2,1,2,,2,2,4,73,211.850.590.974.938
2666198,1,3,1,95,2,,,,,,,,1,1,2,,,,330000,,2,2,2,,2,2,4,73,211.850.590.974.938
2666199,1,1,1,95,2,,,,,,,,1,1,2,,,,330000,300000,2,1,2,,2,2,4,73,208.858.485.112.088
2666200,1,1,1,95,2,,,,,,,,1,1,2,,,,90000,,2,2,2,,2,2,4,73,291.487.594.792.153
2666200,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,73,291.487.594.792.153
2666201,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,73,223.635.730.366.763
2666201,1,2,1,95,2,,,,,,,,1,1,2,,,,760000,200000,2,1,2,,2,2,4,73,223.635.730.366.763
2666201,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,73,223.635.730.366.763
2666201,1,4,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,73,223.635.730.366.763
2666202,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,73,231.871.741.719.023
2666202,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,73,231.871.741.719.023
2666217,1,1,1,95,2,,,,,,,,1,2,2,,,,,720000,2,1,2,,2,2,4,73,23.414.096.999.887
2666217,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,73,23.414.096.999.887
2666218,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,73,273.427.937.346.416
