DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,CLASE,P6440,P6450,P6460,P6460S1,P6400,P6422,P6424,P6424S2,P6424S3,P6424S1,P6426,P6430S1,P6480,P6480S1,P6500,P6510,P6510S1,P6510S2,P6590,P6590S1,P6600,P6600S1,P6610,P6610S1,P6620,P6620S1,P6585,P6585S2A1,P6585S3A1,P6585S4A1,P6585S3A2,P6585S2A2,P6585S1A2,P6585S2,P6585S3,P6585S1A1,P6585S4,P6585S1,P6580,P6580S1,P6580S2,P6630,P6630S3,P6630S4A1,P6630S3A1,P6630S2A1,P6630S1A1,P6630S4,P6630S2,P6630S1,P6640,P6642,P6642S2,P6642S1,P6765,P6765S1,P6772,P6750,P6760,P550,P6780,P6780S1,P6790,P6410,P6640S1,P6642S11,P6642S7,P6642S8,P6642S9,P6642S10,P6642S12,P6642S5,P6642S4,P6642S3,P6642S6,P9440,P6630S6,P6630S6A1,P6410S1,P6545S1,P6545,P6545S2,P6585S4A2,P6773S1,P6775,P6772S1,P6800,P6810,P6810S1,P6850,P6830,P6830S1,P6835,P6835S1,P6835S2,P6836,P6836S1,P6836S2,P6837,P6837S1,P6837S2,P6870,P6880,P6880S1,P6920,P6930,P6940,P6960,P6980,P6980S1,P6980S2,P6980S3,P6980S4,P6980S5,P6980S6,P6980S7,P6980S8,P6980S7A1,P6990,P7020,P7026,P7028,P7028S1,P7040,P7045,P7050,P7050S1,P7070,P760,P9450,P6915S1,P6915,P6773,P7075,P7077,P7090,P7100,P7110,P7120,P7130,P7140,P7140S1,P7140S2,P7140S3,P7140S4,P7140S5,P7140S6,P7140S7,P7140S8,P7140S9,P7140S9A1,P7150,P7160,P7170,P7170S1,P7170S2,P7170S3,P7170S4,P7170S5,P7170S6,P7180,P7190,P7200,P7240,P7240S1,OFICIO,RAMA2D,OCI,P6430,P6420S1,RAMA4D,RAMA4DP8,RAMA2DP8,INGLABO,MES,DPTO,fex_c_2011
2666189,1,1,1,60,2,2,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,2,0,1,0,3,,12,,,,,,,,,,,,,,,,,,,,,,2,,34,1,,34,,,1,6,10,1,13,15,2,,,2,8,,2,,,,1,,,,,,,,1,,2,1,6,8,,1,16,8,,100000,0,2,,2,,2,8,1,12,1,1,1,1,2,1,2,1,2,1,2,1,2,,1,1,,3,3,3,3,3,3,2,2,3,8,,61,1,1,4,,112,,,100000,4,73,291.487.594.792.153
2666189,1,2,1,60,2,2,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,,,,,,.,6,,,,,,,,,,,,,,,,,,,,,,,,20,2,,20,,,1,9,11,1,13,15,1,6,9,2,8,,2,,,,1,,,,,,,,1,,2,1,1,8,,1,3,1,,20000,2,2,,2,,2,6,2,,,,2,,,,,,,,,,,,,,,2,2,2,2,2,2,2,3,3,3,,62,1,1,6,,112,,,20000,4,73,291.487.594.792.153
2666190,1,1,1,60,2,1,1,,,1,1,,2,2,2,36,,1,,56000,2,,,1,24000,2,,2,,2,,,,,,,,,2,2,,2,2,2,,,,2,,,,,2,2,2,2,,,,,.,,,,,,.,12,,,,,,,,,,,,,2,2,,,,2,,,,,,10,1,,10,,,1,15,20,2,,,,,,2,2,,2,,,,1,,,,,,,,1,,2,1,18,3,,2,,,,,99,2,,2,,,,1,30,2,1,2,,,,,,,,,,,,,,,2,2,2,2,2,2,2,3,3,9,,77,15,1,1,,1551,,,80000,4,73,207.063.783.290.833
2666191,1,1,1,60,2,2,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,18000,1,72000,3,,12,,,,,,,,,,,,,,,,,,,,,,2,,12,1,,12,,,1,9,10,1,14,16,2,,,2,8,,2,,,,1,,,,,,,,1,,2,1,72,8,,2,,,,,0,2,,7,,,,1,32,1,1,1,1,1,1,2,1,2,2,1,2,2,,1,1,,4,3,3,3,3,4,2,1,2,8,,64,5,1,4,,501,,,18000,4,73,20.648.850.481.103
2666191,1,2,1,60,2,2,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,18000,1,72000,3,,9,,,,,,,,,,,,,,,,,,,,,,2,,12,1,,12,,,1,9,10,1,14,16,2,,,2,8,,2,,,,1,,,,,,,,1,,2,1,3,4,,2,,,,,0,2,,2,,,,1,28,1,1,1,1,1,1,2,1,2,1,1,2,2,,1,1,,3,4,3,3,3,3,2,2,3,9,,64,5,1,4,,501,,,18000,4,73,20.648.850.481.103
2666192,1,1,1,60,2,2,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,1,400000,1,4800000,3,,12,,,,,,,,,,,,,,,,,,,,,2008,2,1,52,,.,52,,,1,14,20,1,14,2,2,,,3,7,,1,4,2,10,1,,1,,,,,,,,2,1,10,4,,1,35,4,,0,0,2,,2,,1,8,1,10,2,1,2,,,,,,,,,,,,,,,2,2,2,3,2,3,2,2,3,9,,51,55,1,5,,5530,,,400000,4,73,176.260.475.629.368
2666192,1,2,1,60,2,2,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,,,,,,.,12,,,,,,,,,,,,,,,,,,,,,,,,42,,.,42,,,1,14,20,1,14,2,2,,,3,7,,2,,,,1,,,,,,,,1,,2,1,12,4,,1,21,4,,200000,99,2,,2,,1,1,1,6,1,1,1,1,1,1,2,2,2,1,2,2,2,,1,1,,3,3,2,3,3,3,2,2,3,3,,53,55,1,6,,5530,,,200000,4,73,176.260.475.629.368
2666193,1,2,1,60,2,2,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,2,18000,12,216000,3,,12,,,,,,,,,,,,,,,,,,,,,,2,,6,1,,6,,,1,18,22,2,,,,,,1,1,,2,,,,1,,,,,,,,1,,2,1,240,6,,2,,,,,99,2,,2,,,,1,22,2,1,2,,,,,,,,,,,,,,,2,3,2,2,2,2,2,2,3,3,,41,52,1,4,,5225,,,18000,4,73,220.334.250.661.019
2666193,1,3,1,60,2,1,2,1,,1,1,,1,1,1,132,,1,,2064332,2,,,2,,2,,2,,2,,,,17000,,2,,,2,1,,2,2,1,309650,2,,2,,,2000000,,2,1,2,2,,,,,.,,,,,,.,12,,,,,,,,,,,,,2,2,,,,2,,,,,,30,2,,30,,,1,7,13,2,,,,,,9,7,,1,2,1,11,1,1,,1,,1,,,,,1,1,12,3,,1,3,4,,0,24,1,,1,,2,8,2,,,,2,,,,,,,,,,,,,,,1,2,1,2,2,2,1,3,3,9,,13,80,1,2,,8043,,,2064332,4,73,220.334.250.661.019
2666193,1,5,1,60,2,2,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,2,120000,1,500000,3,,12,,,,,,,,,,,,,,,,,,,,,,2,,25,1,,0,1,,1,8,13,2,,,,,,2,8,,2,,,,1,,,,,,,,1,,2,1,24,8,,2,,,,,0,2,,2,,,,1,25,1,2,1,1,2,1,2,2,2,2,2,1,2,,1,1,,3,2,2,2,3,2,2,3,3,8,,61,1,1,4,,113,,,120000,4,73,220.334.250.661.019
