Directorio;Secuencia_p;Orden;Regis;P7430;P7440;P7450;P7450s1;P7460;P7470;P7472;P7472s1;P7490;P7490s1;Clase;Dpto;Fex_c_2011
400722;1;2;80;2; ; ; ; ; ; ; ; ; ;2;47;1629,41964424884
400722;1;3;80;2; ; ; ; ; ; ; ; ; ;2;47;1629,41964424884
400723;1;2;80;1;4;2; ;2; ; ; ; ; ;2;47;2013,02565508353
400725;1;2;80;1;1;3; ;2; ; ; ; ; ;2;47;1358,90791976188
400726;1;1;80;1;9;4; ;2; ; ; ; ; ;2;47;1140,19214353898
400726;1;2;80;2; ; ; ; ; ; ; ; ; ;2;47;1140,19214353898
405179;1;1;80;1;1;7; ;2; ; ; ; ; ;2;23;1410,70386802595
405179;1;2;80;2; ; ; ; ; ; ; ; ; ;2;23;1410,70386802595
405179;1;3;80;2; ; ; ; ; ; ; ; ; ;2;23;1410,70386802595
405180;1;2;80;2; ; ; ; ; ; ; ; ; ;2;23;2027,32677485255
405180;1;4;80;1;1;2; ;2; ; ; ; ; ;2;23;2027,32677485255
405180;2;2;80;1;2;8;EMBARAZO;2; ; ; ; ; ;2;23;2027,32677485255
405180;3;2;80;1;2;2; ;2; ; ; ; ; ;2;23;2027,32677485255
405181;1;1;80;1;3;3; ;2; ; ; ; ; ;2;23;1140,19214353898
405181;1;2;80;1;4;2; ;2; ; ; ; ; ;2;23;1140,19214353898
405182;1;2;80;2; ; ; ; ; ; ; ; ; ;2;23;1120,14521423076
405182;1;5;80;1;4;3; ;2; ; ; ; ; ;2;23;1120,14521423076
405182;1;7;80;2; ; ; ; ; ; ; ; ; ;2;23;1120,14521423076
405183;1;2;80;1;4;2; ;2; ; ; ; ; ;2;23;1747,5539299938
405183;1;3;80;2; ; ; ; ; ; ; ; ; ;2;23;1747,5539299938
405183;1;4;80;2; ; ; ; ; ; ; ; ; ;2;23;1747,5539299938
405185;1;4;80;2; ; ; ; ; ; ; ; ; ;2;23;1046,74707749318
405185;1;6;80;1;1;2; ;2; ; ; ; ; ;2;23;1046,74707749318
405185;2;2;80;2; ; ; ; ; ; ; ; ; ;2;23;1046,74707749318
405185;2;3;80;2; ; ; ; ; ; ; ; ; ;2;23;1046,74707749318
405186;1;2;80;2; ; ; ; ; ; ; ; ; ;2;23;931,931643411911
405186;1;6;80;2; ; ; ; ; ; ; ; ; ;2;23;931,931643411911
405186;2;2;80;2; ; ; ; ; ; ; ; ; ;2;23;931,931643411911
405187;1;2;80;1;4;2; ;2; ; ; ; ; ;2;23;1387,87165828207
405187;1;3;80;2; ; ; ; ; ; ; ; ; ;2;23;1387,87165828207
405189;1;3;80;2; ; ; ; ; ; ; ; ; ;2;23;1436,07918759428
405189;1;4;80;2; ; ; ; ; ; ; ; ; ;2;23;1436,07918759428
