Directorio;Secuencia_p;Orden;Regis;P7430;P7440;P7450;P7450s1;P7460;P7470;P7472;P7472s1;P7490;P7490s1;Clase;Dpto;Area;Fex_c_2011
395962;1;2;80;1;1;2; ;2; ; ; ; ; ;1;05;05;802,257226029665
395965;1;1;80;1;4;3; ;2; ; ; ; ; ;1;05;05;706,716005664672
395965;1;2;80;1;1;7; ;2; ; ; ; ; ;1;05;05;706,716005664672
395965;1;3;80;1;1;3; ;2; ; ; ; ; ;1;05;05;706,716005664672
395965;1;4;80;1;4;2; ;2; ; ; ; ; ;1;05;05;706,716005664672
395968;1;2;80;2; ; ; ; ; ; ; ; ; ;1;05;05;698,060637012834
395976;1;1;80;1;4;4; ;3; ; ; ; ; ;1;05;05;642,006370221918
395976;1;2;80;1;4;2; ;2; ; ; ; ; ;1;05;05;642,006370221918
395980;1;3;80;2; ; ; ; ; ; ; ; ; ;1;05;05;763,201519760149
395988;1;2;80;1;4;3; ;2; ; ; ; ; ;1;05;05;898,763394540838
395994;1;2;80;1;4;4; ;3; ; ; ; ; ;1;05;05;973,651113180173
395994;1;3;80;1;1;1; ;2; ; ; ; ; ;1;05;05;973,651113180173
395996;1;3;80;1;4;0; ;2; ; ; ; ; ;1;05;05;738,67155015631
395996;1;5;80;2; ; ; ; ; ; ; ; ; ;1;05;05;738,67155015631
396000;1;3;80;2; ; ; ; ; ; ; ; ; ;1;05;05;857,220025580399
396008;1;1;80;2; ; ; ; ; ; ; ; ; ;1;05;05;1061,12853712775
396012;1;1;80;1;4;2; ;3; ; ; ; ; ;1;05;05;618,411385534203
396012;1;3;80;2; ; ; ; ; ; ; ; ; ;1;05;05;618,411385534203
396014;1;1;80;1;3;3; ;2; ; ; ; ; ;1;05;05;898,763394540838
396014;1;2;80;2; ; ; ; ; ; ; ; ; ;1;05;05;898,763394540838
396018;1;2;80;2; ; ; ; ; ; ; ; ; ;1;05;05;767,654435477899
396018;1;3;80;2; ; ; ; ; ; ; ; ; ;1;05;05;767,654435477899
396021;1;2;80;2; ; ; ; ; ; ; ; ; ;1;05;05;643,971623248744
396024;1;2;80;2; ; ; ; ; ; ; ; ; ;1;05;05;800,966509307331
396024;1;3;80;2; ; ; ; ; ; ; ; ; ;1;05;05;800,966509307331
396024;1;4;80;2; ; ; ; ; ; ; ; ; ;1;05;05;800,966509307331
396024;1;5;80;2; ; ; ; ; ; ; ; ; ;1;05;05;800,966509307331
396024;1;9;80;1;4;3; ;2; ; ; ; ; ;1;05;05;800,966509307331
396024;1;10;80;2; ; ; ; ; ; ; ; ; ;1;05;05;800,966509307331
396032;1;1;80;1;4;2; ;2; ; ; ; ; ;1;05;05;557,204842057875
396034;1;2;80;1;3;2; ;2; ; ; ; ; ;1;05;05;748,820983629481
396037;1;2;80;1;1;7; ;2; ; ; ; ; ;1;05;05;724,022900362541
396049;1;1;80;1;4;4; ;3; ; ; ; ; ;1;05;05;695,442612622102
396049;1;2;80;1;4;3; ;2; ; ; ; ; ;1;05;05;695,442612622102
396049;1;3;80;2; ; ; ; ; ; ; ; ; ;1;05;05;695,442612622102
396049;1;4;80;2; ; ; ; ; ; ; ; ; ;1;05;05;695,442612622102
396054;1;6;80;2; ; ; ; ; ; ; ; ; ;1;05;05;774,532784195525
396058;1;1;80;1;4;2; ;2; ; ; ; ; ;1;05;05;604,030849403534
396060;1;2;80;2; ; ; ; ; ; ; ; ; ;1;05;05;734,469097222222
396060;1;3;80;2; ; ; ; ; ; ; ; ; ;1;05;05;734,469097222222
396064;1;2;80;1;3;3; ;2; ; ; ; ; ;1;05;05;670,173350538141
396064;1;3;80;1;1;3; ;2; ; ; ; ; ;1;05;05;670,173350538141
396067;1;1;80;1;4;4; ;3; ; ; ; ; ;1;05;05;1006,97094212779
396067;1;2;80;1;1;2; ;2; ; ; ; ; ;1;05;05;1006,97094212779
396069;1;3;80;1;4;1; ;2; ; ; ; ; ;1;05;05;937,271302694195
396072;1;1;80;2; ; ; ; ; ; ; ; ; ;1;05;05;693,846902289696
396073;1;2;80;1;4;2; ;2; ; ; ; ; ;1;05;05;847,695002748631
396075;1;2;80;1;4;6; ;2; ; ; ; ; ;1;05;05;799,581330246127
396081;1;2;80;2; ; ; ; ; ; ; ; ; ;1;05;05;607,965188674521
396081;1;3;80;2; ; ; ; ; ; ; ; ; ;1;05;05;607,965188674521
396083;1;2;80;1;4;2; ;2; ; ; ; ; ;1;05;05;881,895195719246
396088;1;4;80;2; ; ; ; ; ; ; ; ; ;1;05;05;573,699664967713
396088;1;5;80;2; ; ; ; ; ; ; ; ; ;1;05;05;573,699664967713
396091;1;2;80;2; ; ; ; ; ; ; ; ; ;1;05;05;1140,21870870118
396091;1;3;80;2; ; ; ; ; ; ; ; ; ;1;05;05;1140,21870870118
396091;1;5;80;2; ; ; ; ; ; ; ; ; ;1;05;05;1140,21870870118
396097;1;1;80;1;3;4; ;3; ; ; ; ; ;1;05;05;649,135181723206
396097;1;2;80;1;2;4; ;3; ; ; ; ; ;1;05;05;649,135181723206
396097;1;4;80;1;2;8;PROBLEMAS PERSONALES;2; ; ; ; ; ;1;05;05;649,135181723206
396101;1;1;80;2; ; ; ; ; ; ; ; ; ;1;05;05;842,759721593429
396101;1;2;80;1;1;7; ;2; ; ; ; ; ;1;05;05;842,759721593429
396101;1;4;80;2; ; ; ; ; ; ; ; ; ;1;05;05;842,759721593429
396101;1;6;80;2; ; ; ; ; ; ; ; ; ;1;05;05;842,759721593429
396101;1;7;80;2; ; ; ; ; ; ; ; ; ;1;05;05;842,759721593429
396109;1;2;80;2; ; ; ; ; ; ; ; ; ;1;05;05;996,408092705589
396116;1;1;80;1;4;4; ;3; ; ; ; ; ;1;05;05;654,791196020181
396116;1;2;80;1;4;3; ;1;1;2; ;2; ;1;05;05;654,791196020181
396119;1;3;80;2; ; ; ; ; ; ; ; ; ;1;05;05;705,859587812388
396119;1;4;80;2; ; ; ; ; ; ; ; ; ;1;05;05;705,859587812388
396126;1;2;80;2; ; ; ; ; ; ; ; ; ;1;05;05;690,652430059395
396134;1;3;80;2; ; ; ; ; ; ; ; ; ;1;05;05;893,599836066376
396136;1;3;80;2; ; ; ; ; ; ; ; ; ;1;05;05;654,272619573417
396139;1;2;80;1;4;2; ;2; ; ; ; ; ;1;05;05;929,979646552354
396141;1;2;80;1;4;2; ;2; ; ; ; ; ;1;05;05;747,740798178349
396141;1;3;80;2; ; ; ; ; ; ; ; ; ;1;05;05;747,740798178349
396153;1;2;80;2; ; ; ; ; ; ; ; ; ;1;05;05;901,410068654981
396158;1;1;80;1;4;2; ;2; ; ; ; ; ;1;05;05;743,408386520249
396159;1;1;80;1;4;2; ;2; ; ; ; ; ;1;05;05;685,599574963064
396159;1;2;80;2; ; ; ; ; ; ; ; ; ;1;05;05;685,599574963064
396170;1;3;80;2; ; ; ; ; ; ; ; ; ;1;05;05;767,654435477899
396174;1;1;80;2; ; ; ; ; ; ; ; ; ;1;05;05;921,116608444543
396174;1;2;80;1;4;4; ;3; ; ; ; ; ;1;05;05;921,116608444543
396180;1;1;80;1;4;2; ;3; ; ; ; ; ;1;05;05;693,846902289696
396181;1;1;80;1;4;4; ;3; ; ; ; ; ;1;05;05;775,453958223438
396181;1;2;80;1;4;2; ;2; ; ; ; ; ;1;05;05;775,453958223438
396181;1;3;80;1;2;7; ;2; ; ; ; ; ;1;05;05;775,453958223438
396183;1;1;80;1;4;4; ;3; ; ; ; ; ;1;05;05;1055,25816911392
396183;1;2;80;1;4;2; ;2; ; ; ; ; ;1;05;05;1055,25816911392
396187;1;3;80;2; ; ; ; ; ; ; ; ; ;1;05;05;973,680334849568
396196;1;2;80;1;2;8;TERMINACION DEL PROYETO;2; ; ; ; ; ;1;05;05;806,710141747415
396198;1;1;80;2; ; ; ; ; ; ; ; ; ;1;05;05;889,397383132288
396199;1;1;80;1;4;2; ;2; ; ; ; ; ;1;05;05;648,855155924638
396203;1;3;80;2; ; ; ; ; ; ; ; ; ;1;05;05;524,375749077911
396209;1;1;80;1;4;2; ;2; ; ; ; ; ;1;05;05;654,791196020181
396209;1;2;80;2; ; ; ; ; ; ; ; ; ;1;05;05;654,791196020181
396212;1;2;80;1;4;2; ;2; ; ; ; ; ;1;05;05;854,584061309321
396216;1;2;80;1;4;2; ;2; ; ; ; ; ;1;05;05;1061,12853712775
396219;1;1;80;2; ; ; ; ; ; ; ; ; ;1;05;05;693,846902289696
396220;1;1;80;1;4;2; ;2; ; ; ; ; ;1;05;05;693,846902289696
396222;1;2;80;2; ; ; ; ; ; ; ; ; ;1;05;05;644,344999160499
396223;1;2;80;2; ; ; ; ; ; ; ; ; ;1;05;05;857,767823696557
396223;1;3;80;1;2;1; ;2; ; ; ; ; ;1;05;05;857,767823696557
396227;1;1;80;1;3;3; ;3; ; ; ; ; ;1;05;05;692,766716838564
396227;1;2;80;1;4;2; ;2; ; ; ; ; ;1;05;05;692,766716838564
396237;1;3;80;2; ; ; ; ; ; ; ; ; ;1;05;05;684,967194093025
396237;1;4;80;2; ; ; ; ; ; ; ; ; ;1;05;05;684,967194093025
396240;1;2;80;2; ; ; ; ; ; ; ; ; ;1;05;05;731,82242310808
396242;1;1;80;1;4;4; ;3; ; ; ; ; ;1;05;05;579,022234865393
396242;1;3;80;1;2;7; ;2; ; ; ; ; ;1;05;05;579,022234865393
396242;1;4;80;2; ; ; ; ; ; ; ; ; ;1;05;05;579,022234865393
396242;1;5;80;2; ; ; ; ; ; ; ; ; ;1;05;05;579,022234865393
396242;1;6;80;2; ; ; ; ; ; ; ; ; ;1;05;05;579,022234865393
396245;1;3;80;2; ; ; ; ; ; ; ; ; ;1;05;05;813,961866376795
396248;1;2;80;2; ; ; ; ; ; ; ; ; ;1;05;05;607,965188674521
396248;1;3;80;2; ; ; ; ; ; ; ; ; ;1;05;05;607,965188674521
396252;1;4;80;2; ; ; ; ; ; ; ; ; ;1;05;05;423,757254056355
396255;1;1;80;1;4;5; ;2; ; ; ; ; ;1;05;05;693,846902289696
396256;1;1;80;1;4;3; ;3; ; ; ; ; ;1;05;05;767,654435477899
396260;1;3;80;2; ; ; ; ; ; ; ; ; ;1;05;05;603,512272956771
396262;1;1;80;2; ; ; ; ; ; ; ; ; ;1;05;05;693,846902289696
396264;1;2;80;2; ; ; ; ; ; ; ; ; ;1;05;05;745,771711934188
396264;1;3;80;2; ; ; ; ; ; ; ; ; ;1;05;05;745,771711934188
396267;1;4;80;2; ; ; ; ; ; ; ; ; ;1;05;05;754,467012098486
396273;1;1;80;1;3;2; ;2; ; ; ; ; ;1;05;05;731,234693479461
396273;1;3;80;2; ; ; ; ; ; ; ; ; ;1;05;05;731,234693479461
396276;1;3;80;2; ; ; ; ; ; ; ; ; ;1;05;05;644,65304433606
396276;1;5;80;2; ; ; ; ; ; ; ; ; ;1;05;05;644,65304433606
396280;1;1;80;1;1;6; ;2; ; ; ; ; ;1;05;05;767,654435477899
396280;1;2;80;1;1;2; ;1;1;2; ;1;1100000;1;05;05;767,654435477899
396280;1;3;80;2; ; ; ; ; ; ; ; ; ;1;05;05;767,654435477899
396282;1;1;80;2; ; ; ; ; ; ; ; ; ;1;05;05;778,100632337581
396285;1;1;80;2; ; ; ; ; ; ; ; ; ;1;05;05;586,455841042565
396285;1;4;80;1;2;0; ;2; ; ; ; ; ;1;05;05;586,455841042565
396287;1;2;80;1;4;2; ;2; ; ; ; ; ;1;05;05;731,274624991921
396287;1;3;80;2; ; ; ; ; ; ; ; ; ;1;05;05;731,274624991921
396287;1;4;80;2; ; ; ; ; ; ; ; ; ;1;05;05;731,274624991921
396289;1;1;80;1;2;4; ;3; ; ; ; ; ;1;05;05;693,846902289696
396292;1;1;80;1;1;4; ;3; ; ; ; ; ;1;05;05;821,38801321058
396292;1;2;80;2; ; ; ; ; ; ; ; ; ;1;05;05;821,38801321058
396297;1;1;80;1;3;4; ;3; ; ; ; ; ;1;05;05;693,846902289696
396298;1;3;80;2; ; ; ; ; ; ; ; ; ;1;05;05;607,965188674521
396300;1;1;80;1;4;3; ;2; ; ; ; ; ;1;05;05;574,779850418844
396300;1;2;80;2; ; ; ; ; ; ; ; ; ;1;05;05;574,779850418844
396300;1;3;80;2; ; ; ; ; ; ; ; ; ;1;05;05;574,779850418844
396302;1;3;80;2; ; ; ; ; ; ; ; ; ;1;05;05;651,59672378988
396304;1;1;80;1;4;4; ;3; ; ; ; ; ;1;05;05;817,156338607096
396309;1;2;80;2; ; ; ; ; ; ; ; ; ;1;05;05;680,252524087623
