Directorio;Secuencia_p;Orden;Regis;P7495;P7500;P7500s1;P7500s2;P7500s3a1;P7500s2a1;P7500s1a1;P7500s3;P7505;P7510s3;P7510s4;P7510s6;P7510s2a1;P7510s4a1;P7510s6a1;P7510s5a1;P7510s3a1;P7510s1a1;P7510s5;P7510s1;P7510s2;Clase;Dpto;Area;Fex_c_2011
395960;1;1;95;2; ; ; ; ; ; ; ;1;2;2;2; ; ; ; ; ;1200000;2;1;2;1;05;05;654,791196020181
395960;1;2;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;654,791196020181
395962;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;802,257226029665
395962;1;2;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;802,257226029665
395965;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;706,716005664672
395965;1;2;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;706,716005664672
395965;1;3;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;706,716005664672
395965;1;4;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;706,716005664672
395968;1;1;95;2; ; ; ; ; ; ; ;1;2;2;1; ; ;54000; ; ; ;2;2;2;1;05;05;698,060637012834
395968;1;2;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;698,060637012834
395971;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;929,979646552354
395971;1;2;95;2; ; ; ; ; ; ; ;1;2;2;1; ; ;52000; ; ; ;2;2;2;1;05;05;929,979646552354
395976;1;1;95;1; ;2;1; ;500000; ;2;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;642,006370221918
395976;1;2;95;2; ; ; ; ; ; ; ;1;2;2;2; ; ; ; ; ;1440000;2;1;2;1;05;05;642,006370221918
395976;1;3;95;1; ;2;1; ;500000; ;2;1;2;2;1; ; ;50000; ; ; ;2;2;2;1;05;05;642,006370221918
395976;1;4;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;642,006370221918
395980;1;1;95;2; ; ; ; ; ; ; ;1;2;2;1; ; ;72000; ; ; ;2;2;2;1;05;05;763,201519760149
395980;1;2;95;2; ; ; ; ; ; ; ;1;2;2;1; ; ;50000; ; ; ;2;2;2;1;05;05;763,201519760149
395980;1;3;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;763,201519760149
395983;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;928,859529588762
395983;1;2;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;928,859529588762
395983;1;3;95;2; ; ; ; ; ; ; ;1;2;2;2; ; ; ; ; ;3000000;2;1;2;1;05;05;928,859529588762
395983;1;5;95;2; ; ; ; ; ; ; ;1;2;2;1; ; ;50000; ; ;720000;2;1;2;1;05;05;928,859529588762
395988;1;1;95;1; ;2;1; ;433700; ;2;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;898,763394540838
395988;1;2;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;898,763394540838
