Directorio;Secuencia_p;Orden;Area;Regis;P7480;P7480s1;P7480s2;P7480s3;P7480s4;P7480s5;P7480s6;P7480s7;P7480s8;P7480s9;P7480s10;P7480s11;P7480s12;P7480s1a1;P7480s2a1;P7480s3a1;P7480s4a1;P7480s5a1;P7480s6a1;P7480s7a1;P7480s8a1;P7480s9a1;P7480s10a1;P7480s11a1;P7480s12a1;Dpto;Fex_c_2011
395960;1;1;05;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;35; ; ; ; ; ; ; ; ; ;05;654,791196020181
395960;1;2;05;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;2; ; ; ; ; ; ; ; ; ;05;654,791196020181
395962;1;1;05;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;3; ; ; ; ; ; ; ; ; ;05;802,257226029665
395962;1;2;05;90; ;2;2;1;2;1;2;2;2;2;2;2;2; ; ;30; ;40; ; ; ; ; ; ; ;05;802,257226029665
395965;1;1;05;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;1; ; ; ; ; ; ; ; ; ;05;706,716005664672
395965;1;2;05;90; ;2;2;1;2;1;2;2;2;2;2;2;2; ; ;25; ;30; ; ; ; ; ; ; ;05;706,716005664672
395965;1;3;05;90; ;2;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ;05;706,716005664672
395965;1;4;05;90; ;2;2;2;2;2;1;2;2;2;2;2;2; ; ; ; ; ;40; ; ; ; ; ; ;05;706,716005664672
395968;1;1;05;90; ;2;2;1;2;1;2;2;2;2;2;2;2; ; ;4; ;7; ; ; ; ; ; ; ;05;698,060637012834
395968;1;2;05;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;28; ; ; ; ; ; ; ; ; ;05;698,060637012834
395971;1;1;05;90; ;2;2;2;2;1;2;2;2;2;2;2;2; ; ; ; ;30; ; ; ; ; ; ; ;05;929,979646552354
395971;1;2;05;90; ;2;2;1;2;1;2;2;2;2;2;2;2; ; ;30; ;40; ; ; ; ; ; ; ;05;929,979646552354
395976;1;1;05;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;14; ; ; ; ; ; ; ; ; ;05;642,006370221918
395976;1;2;05;90; ;2;2;1;2;2;2;2;2;2;2;2;1; ; ;28; ; ; ; ; ; ; ; ;2;05;642,006370221918
395976;1;3;05;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;6; ; ; ; ; ; ; ; ; ;05;642,006370221918
395976;1;4;05;90; ;2;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ;05;642,006370221918
395980;1;1;05;90; ;2;2;1;2;2;1;2;1;2;2;2;2; ; ;5; ; ;14; ;2; ; ; ; ;05;763,201519760149
395980;1;2;05;90; ;2;2;1;2;1;2;2;2;2;2;2;2; ; ;7; ;7; ; ; ; ; ; ; ;05;763,201519760149
