Directorio;Secuencia_p;Orden;Regis;P7250;P7260;P7280;P7280s1;P7290;P7300;P7310;P7320;P7350;P7350s1;P7360;P7370;P7380;P7380s1;P7390;P7390s1;P7400;P7410;P7410s1;P7420;P7420s1;P7420s2;P7420s3;P7420s4;P7420s5;P7420s6;P7420s7;P7420s8;P7420s7a1;P7422;P7422s1;P7424;P7424s1;Clase;Oficio1;Oficio2;Rama4d_d;Rama2d_d;DSI;Dpto;Fex_c_2011
414828;1;3;70;4;40;4; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;62; ; ; ;1;13;2171,50602825245
414831;1;2;70;8;48;4; ;1;1;2;288;2; ;3;2;2; ;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;13;13;8511;85;1;13;1845,10426758129
414831;1;7;70;4;48;3; ;1;2;2;42;1; ;2;2;2; ;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;54;33;4100;41;1;13;1845,10426758129
414831;1;8;70;4;48;4; ;1;1;2;4;4; ;2;2;2; ;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;1;300000;1;860000;2;95;95;4521;45;1;13;1845,10426758129
414833;1;3;70;4;48;1; ;1;1;2;16;1; ;2;2;2; ;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;1;1600000;2;97;97;7010;70;1;13;1162,92038458249
414834;1;3;70;8;48;4; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;12; ; ; ;1;13;1520,14370588302
414872;1;4;70;20;50;3; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;54; ; ; ;1;13;1747,07347613925
415148;1;3;70;3;12;4; ;2;2;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;61; ; ; ;1;19;1121,53871866306
415155;1;10;70;2;40;1; ;1;1;2;2;1; ;3;2;7; ;7; ;2;2; ; ; ; ; ; ; ; ; ;1; ;1;180000;1;800000;2;62;62;0140;01;1;19;1361,89262643479
415164;1;1;70;20;40;1; ;1;1;2;2;1; ;3;2;2; ;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;60;62;0115;01;1;19;1006,6854101184
415593;1;1;70;4;60;1; ;1;1;2;13;1; ;5;1; ;.;4; ;1; ;.; ; ; ; ; ; ; ; ;1; ;1;433700;1;3500000;2;97;58;9242;92;1;66;1182,11171027941
415603;1;3;70;52;40;1; ;1;1;2;52;1; ;4;1; ;.;4; ;1; ;.; ; ; ; ; ; ; ; ;1; ;2; ;1;408000;2;45;33;5211;52;1;66;1250,34703178172
415622;1;1;70;5;70;8; ;1;1;2;5;8; ;2;2;2; ;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;1;600000;2;62;62;0111;01;1;66;1158,97783034394
416390;1;4;70;24;35;1; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;62; ; ; ;1;68;2112,74118743265
416399;1;2;70;48;48;3; ;1;1;2;96;3; ;1;2;2; ;1; ;2;3; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;54;54;9500;95;1;68;1738,7582937178
416438;1;3;70;6;10;1; ;2;2;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;58; ; ; ;1;68;2438,67200476557
416444;1;3;70;2;70;1; ;1;1;2;2;1; ;2;2;2; ;2; ;2;4; ; ; ; ; ; ; ; ; ;1; ;1;400000;1;3000000;2;97;97;6042;60;1;68;537,574373957174
416457;1;1;70;8;60;4; ;2;2;2;8;4; ;5;1; ;.;3; ;1; ;.; ; ; ;1; ; ; ; ; ; ;2; ;1;12000000;2;02;02;4521;45;1;68;401,904248085034
423607;1;1;70;250;48;1; ;1;1;2;324;1; ;9;1; ;.;1; ;1; ;.; ; ; ; ; ; ; ;1; ;PENSIONADO;2; ;2; ;2;58;75;1720;17;1;05;1227,47354862576
423814;1;2;70;8;48;8; ;1;1;2;52;8; ;4;2;2; ;1; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;62;62;0111;01;1;05;2563,27121898172
423852;1;1;70;2;60;8; ;1;1;2;2;4; ;1;2;2; ;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;1;320000;1;3840000;2;62;62;0121;01;1;05;2475,32794946031
423862;1;2;70;7;48;1; ;1;1;2;7;1; ;2;2;4; ;4; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;4200000;2;98;98;6021;60;1;05;5936,92603910878
423863;1;1;70;3;48;1; ;1;1;2;98;1; ;8;1; ;.;1; ;2;1; ; ; ; ; ; ; ;1; ; ; ;1;60000;1;900000;2;95;74;2411;24;1;05;5715,10589334462
423894;1;4;70;4;48;1; ;1;1;2;4;1; ;2;2;7; ;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;1;98;1;99;2;95;95;4521;45;1;05;6571,87166994698
423986;1;5;70;8;48;8; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;62; ; ; ;1;05;2733,3391926997
423994;1;1;70;8;48;8; ;1;1;2;9;8; ;6;2;4; ;1; ;2;1; ; ; ; ; ; ; ;1; ; ; ;2; ;1;2000000;2;62;62;0121;01;1;05;2406,58959184706
424313;1;3;70;52;20;1; ;1;1;2;30;1; ;9;1; ;.;1; ;1; ;.; ; ; ; ; ; ; ; ;1; ;2; ;1;216850;2;45;62;0112;01;1;25;2357,71682781725
424313;1;4;70;20;20;1; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;53; ; ; ;1;25;2357,71682781725
424329;1;5;70;4;48;1; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;45; ; ; ;1;25;1215,71179267377
424330;1;3;70;1;40;1; ;1;1;2;2;1; ;5;2;4; ;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;1;316000;1;3000000;2;62;62;0112;01;1;25;1215,71179267377
424331;1;2;70;4;40;1; ;1;1;2;20;1; ;4;1; ;.;2; ;1; ;.; ; ; ; ; ; ; ; ;1; ;2; ;1;1300000;2;62;13;8011;80;1;25;3303,86810259581
424332;1;1;70;2;40;5; ;2;2;2;350;5; ;2;2;2; ;2; ;2;9; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;41;95;4521;45;1;25;1215,71179267377
424334;1;1;70;12;40;1; ;1;1;2;24;4; ;1;2;2; ;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;1;2400000;2;62;45;5262;52;1;25;3242,56679951845
424336;1;3;70;40;40;1; ;1;1;2;48;1; ;2;2;4; ;2; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;45;45;5234;52;1;25;1424,06029751662
424337;1;2;70;2;40;3; ;1;1;2;3;1; ;9;2;5; ;4; ;2;2; ; ; ; ; ; ; ; ; ;1; ;1;260000;1;900000;2;54;55;9249;92;1;25;4277,70789561715
424349;1;4;70;4;45;1; ;2;2;2;2;6; ;2;2;2; ;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;03;62;0121;01;1;25;2101,23252525715
424355;1;2;70;2;48;8; ;1;1;2;2;6; ;2;2;2; ;2; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;62;62;0118;01;1;25;2390,63308442076
