Directorio;Secuencia_p;Orden;Regis;P7250;P7260;P7280;P7280s1;P7290;P7300;P7310;P7320;P7350;P7350s1;P7360;P7370;P7380;P7380s1;P7390;P7390s1;P7400;P7410;P7410s1;P7420;P7420s1;P7420s2;P7420s3;P7420s4;P7420s5;P7420s6;P7420s7;P7420s8;P7420s7a1;P7422;P7422s1;P7424;P7424s1;Clase;Oficio1;Oficio2;Rama4d_d;Rama2d_d;DSI;Dpto;Fex_c_2011
435822;1;1;70;6;40;1; ;1;2;2;6;1; ;8;1; ;.;1; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;1;6000000;2;95;95;4521;45;1;19;684,962633777287
435822;1;3;70;4;40;1; ;1;1;2;8;1; ;8;2;2; ;1; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;1;640000;2;95;95;4521;45;1;19;684,962633777287
436053;1;5;70;1;40;3; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;54; ; ; ;1;19;847,176045104055
436080;1;4;70;2;40;8; ;1;1;2;2;8; ;2;2;2; ;1; ;2;5; ; ; ; ; ; ; ; ; ;1; ;1;150000;1;900000;2;62;62;0111;01;1;19;1025,51759037625
436109;1;2;70;16;40;8; ;1;1;2;16;8; ;2;2;5; ;8; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;1;520000;2;62;62;0118;01;1;19;1108,86397930845
436118;1;2;70;12;48;2; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;13; ; ; ;1;19;1021,03385061938
436192;1;3;70;8;48;4; ;1;1;2;8;4; ;1;2;2; ;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;1;1000000;2;98;98;6022;60;1;52;1883,051407577
436210;1;2;70;52;40;3; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;54; ; ; ;1;52;1821,38231164786
436222;1;5;70;40;40;1; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;45; ; ; ;1;52;2187,02924957393
436226;1;2;70;36;40;1; ;1;1;2;52;2; ;9;2;2; ;1; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;45;39;7512;75;1;52;2049,23960454663
436330;1;4;70;16;50;8; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;62; ; ; ;1;52;1735,29858143362
436335;1;2;70;24;40;4; ;1;1;2;32;3; ;1;2;2; ;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;61;54;9500;95;1;52;2019,81758700218
436354;1;6;70;4;40;4; ;1;1;2;8;4; ;1;2;2; ;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;61;61;0140;01;1;52;2445,18886199417
436354;1;8;70;24;50;4; ;1;1;2;48;4; ;1;2;2; ;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;61;61;0140;01;1;52;2445,18886199417
436428;1;1;70;2;48;4; ;1;2;2;2;4; ;1;2;2; ;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;1;40000;1;400000;2;61;61;0115;01;1;52;1922,61299773297
436468;1;5;70;12;48;8; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;62; ; ; ;1;52;1113,94936605814
436495;1;4;70;52;40;8; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;62; ; ; ;1;52;1779,64038091188
436550;1;3;70;3;35;4; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;61; ; ; ;1;52;1856,42688463175
436567;1;2;70;4;40;1; ;1;1;2;104;1; ;3;2;2; ;2; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;45;45;5233;52;1;52;1214,21957308867
436573;1;4;70;48;40;1; ;1;1;2;70;1; ;4;2;5; ;6; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;1;600000;2;45;97;5125;51;1;52;1710,47579684578
436586;1;1;70;10;40;4; ;1;1;2;10;4; ;1;2;2; ;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;1;150000;1;1500000;2;61;61;0140;01;1;52;1228,36337178949
436586;1;3;70;6;40;4; ;1;1;2;6;4; ;1;2;2; ;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;1;2000000;2;61;61;0140;01;1;52;1228,36337178949
436601;1;3;70;12;40;1; ;1;1;2;12;1; ;2;2;5; ;3; ;2;4; ; ; ; ;1; ; ; ; ; ; ;2; ;1;1500000;2;95;95;4521;45;1;52;1098,76102072906
436802;1;5;70;12;40;1; ;1;1;2;20;1; ;2;2;5; ;1; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;1;3000000;2;95;95;4521;45;1;54;2138,45481519694
436805;1;2;70;12;40;3; ;1;1;2;15;3; ;1;2;2; ;1; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;1;700000;2;54;54;9500;95;1;54;1129,47224401462
436817;1;2;70;250;40;3; ;1;1;2;250;3; ;1;2;2; ;7; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;54;54;9500;95;1;54;1696,33595951676
437044;1;2;70;52;40;4; ;1;1;2;416;1; ;8;1; ;.;2; ;1; ;.; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;41;45;1551;15;1;54;2505,06968907717
438132;1;3;70;1;48;8; ;1;1;2;1;8; ;3;2;7; ;7; ;2;2; ; ; ; ; ; ; ; ; ;1; ;1;280000;1;2500000;2;62;62;0114;01;1;54;2461,96633312748
438292;1;1;70;8;48;1; ;1;1;2;8;4; ;1;2;2; ;2; ;2;3; ; ; ; ; ; ; ; ; ;1; ;2; ;1;1000000;2;98;98;6042;60;1;54;2703,18006178324
438424;1;2;70;2;40;8; ;1;1;2;2;8; ;4;2;5; ;8; ;2;4; ; ; ; ; ; ; ; ; ;1; ;1;200000;1;40000;2;62;62;0116;01;1;54;1784,27767892272
438427;1;2;70;3;40;1; ;1;1;2;36;4; ;9;2;5; ;7; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;13;13;8043;80;1;54;3069,4999770958
438452;1;1;70;4;40;1; ;1;1;2;3;1; ;4;2;7; ;4; ;2;2; ; ; ; ; ; ; ; ; ;1; ;1;80000;1;300000;2;59;75;2090;20;1;54;1283,39583231999
438688;1;2;70;4;48;1; ;1;2;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;03; ; ; ;1;54;1129,47224401462
438995;1;2;70;5;48;2; ;1;1;2;84;4; ;9;1; ;.;2; ;1; ;.; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;13;13;8043;80;1;54;2075,97925354234
439201;1;3;70;3;48;1; ;1;1;2;5;1; ;5;2;5; ;2; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;3600000;2;98;98;4530;45;1;18;391,270781326494
439824;1;3;70;60;60;1; ;1;1;2;8;1; ;2;2;5; ;4; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;1;360000;2;45;45;1551;15;1;18;398,191426345624
439825;1;2;70;4;60;8; ;1;1;2;8;1; ;3;2;2; ;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;1;6000;1;480000;2;62;62;0121;01;1;18;347,036245170492
439994;1;3;70;4;48;1; ;1;1;2;4;2; ;9;2;8; ;1; ;2;11;TRABAJO TEMPORAL; ; ; ; ; ; ; ; ;1; ;2; ;1;1200000;2;32;32;7512;75;1;70;799,84807294422
439998;1;4;70;50;60;1; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;39; ; ; ;1;70;782,53749237359
440041;1;5;70;4;48;1; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;45; ; ; ;1;70;613,733365253806
440143;1;3;70;72;40;1; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;45; ; ; ;1;70;759,652199818417
440225;1;2;70;4;24;1; ;2;2;2;36;1; ;6;1; ;.;4; ;1; ;.; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;32;45;5231;52;1;70;648,585218146367
440230;1;3;70;1;40;3; ;1;1;2;240;3; ;1;2;5; ;1; ;2;4; ; ; ; ; ; ; ;1; ; ; ;2; ;2; ;2;54;54;9500;95;1;70;988,420217354253
440239;1;3;70;4;48;4; ;1;1;2;3;4; ;3;2;2; ;1; ;2;4; ; ; ; ; ; ; ; ; ;1; ;1;40000;1;300000;2;95;95;4521;45;1;70;1147,86485979329
440239;1;6;70;2;48;4; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;95; ; ; ;1;70;1147,86485979329
440563;1;1;70;2;48;4; ;1;1;2;3;4; ;1;2;7; ;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;1;60000;1;400000;2;75;75;1743;17;1;70;933,150062067779
440594;1;5;70;4;48;4; ;1;1;2;48;4; ;1;2;3; ;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;45;45;5239;52;1;70;504,332030823727
440605;1;4;70;8;48;1; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;45; ; ; ;1;70;646,07076382768
440701;1;3;70;24;48;1; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;62; ; ; ;1;70;566,797768342451
440738;1;3;70;2;48;3; ;1;1;2;4;3; ;2;2;2; ;1; ;2;3; ; ; ; ; ; ; ; ; ;1; ;1;80000;1;320000;2;54;54;9500;95;1;70;798,359748053959
440743;1;2;70;4;48;1; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;45; ; ; ;1;70;980,561742802324
440746;1;4;70;8;48;1; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;58; ; ; ;1;70;834,052031693233
440750;1;3;70;20;48;1; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;45; ; ; ;1;70;1023,73426570865
440884;1;1;70;4;48;4; ;1;1;2;24;4; ;1;2;3; ;1; ;2;9; ; ; ; ; ; ; ; ; ;1; ;2; ;1;140000;2;54;54;7493;74;1;70;903,13587904112
440955;1;2;70;1;56;1; ;1;1;2;7;3; ;1;2;2; ;1; ;2;3; ; ; ; ; ; ; ; ; ;1; ;2; ;1;900000;2;54;54;9500;95;1;70;769,517860029888
441006;1;3;70;48;40;1; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;00; ; ; ;1;70;772,531206677717
441006;1;5;70;4;48;1; ;1;1;2;60;1; ;4;1; ;.;1; ;1; ;.; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;00;45;5211;52;1;70;772,531206677717
441021;1;1;70;24;48;4; ;1;1;2;208;4; ;1;2;3; ;1; ;2;3; ; ; ; ; ; ; ;1; ; ; ;2; ;2; ;2;98;98;6031;60;1;70;591,459554805865
441027;1;2;70;4;48;3; ;1;1;2;4;3; ;1;2;3; ;1; ;2;3; ; ; ; ; ; ; ; ; ;1; ;2; ;1;800000;2;54;54;9500;95;1;70;1021,41105016143
441117;1;3;70;240;48;3; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;54; ; ; ;1;70;809,562340381169
441117;1;4;70;240;48;8; ;1;1;2;240;8; ;3;2;8; ;1; ;2;3; ; ; ; ; ; ; ;1; ; ; ;2; ;1;900000;2;62;62;0121;01;1;70;809,562340381169
441117;1;8;70;240;48;1; ;1;1;2;48;1; ;4;2;2; ;1; ;2;3; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;79;79;1810;18;1;70;809,562340381169
441117;1;9;70;20;48;1; ;1;1;2;20;4; ;2;2;2; ;1; ;2;3; ; ; ; ; ; ; ; ; ;1; ;2; ;1;1800000;2;45;45;5261;52;1;70;809,562340381169
441117;1;10;70;240;48;1; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;95; ; ; ;1;70;809,562340381169
441117;1;11;70;20;48;1; ;1;1;2;20;4; ;1;2;2; ;1; ;2;3; ; ; ; ; ; ; ; ; ;1; ;1;450000;1;450000;2;45;45;5233;52;1;70;809,562340381169
441190;1;4;70;12;48;4; ;2;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;75; ; ; ;1;70;758,300476334993
441260;1;2;70;8;48;3; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;54; ; ; ;1;70;698,685554480074
