Directorio;Secuencia_p;Orden;Area;Regis;P7250;P7260;P7280;P7280s1;P7290;P7300;P7310;P7320;P7350;P7350s1;P7360;P7370;P7380;P7380s1;P7390;P7390s1;P7400;P7410;P7410s1;P7420;P7420s1;P7420s2;P7420s3;P7420s4;P7420s5;P7420s6;P7420s7;P7420s8;P7420s7a1;P7422;P7422s1;P7424;P7424s1;Dsi;Oficio1;Oficio2;Rama4d_d;Rama2d_d;Dpto;Fex_c_2011
395976;1;4;05;70;3;48;1; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;03; ; ; ;05;642,006370221918
396000;1;4;05;70;2;48;1; ;2;2;2;1;1; ;9;1; ;.;4; ;1; ;.; ; ; ; ; ; ; ; ;1; ;1;434000;1;1711000;1;33;33;5239;52;05;857,220025580399
396008;1;2;05;70;6;48;4; ;1;1;2;96;1; ;7;1; ;.;1; ;1; ;.; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;95;95;4521;45;05;1061,12853712775
396021;1;4;05;70;8;48;1; ;1;1;2;48;1; ;6;2;2; ;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;150000;1;55;59;9241;92;05;643,971623248744
396024;1;1;05;70;48;48;1; ;1;2;2;240;1; ;8;1; ;.;9;ES PENSIONADA POR SUSTITUCION;1; ;.; ; ; ; ; ; ; ;1; ;ES PENSIONADA POR SUSTITUCION;2; ;2; ;1;55;99;9000;90;05;800,966509307331
396037;1;3;05;70;8;48;2; ;2;2;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;33; ; ; ;05;724,022900362541
396044;1;3;05;70;3;48;1; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;55; ; ; ;05;667,700230907617
396054;1;2;05;70;144;48;3; ;1;1;2;480;3; ;1;1; ;.;2; ;1; ;.; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;54;54;9500;95;05;774,532784195525
396054;1;3;05;70;144;48;1; ;1;1;2;144;1; ;3;1; ;.;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;58;53;5521;55;05;774,532784195525
396064;1;1;05;70;12;48;3; ;1;1;2;12;3; ;1;2;5; ;1; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;1;240000;1;54;54;9500;95;05;670,173350538141
396101;1;3;05;70;52;48;1; ;1;1;2;52;1; ;2;2;4; ;8; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;93;93;4552;45;05;842,759721593429
396101;1;8;05;70;48;48;1; ;1;1;2;4;4; ;1;2;2; ;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;1;2000000;1;45;45;5234;52;05;842,759721593429
396106;1;1;05;70;30;24;1; ;2;2;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;12; ; ; ;05;913,948617860436
396119;1;1;05;70;12;48;1; ;1;1;2;12;1; ;9;1; ;.;2; ;1; ;.; ; ;1; ; ; ; ; ; ; ;2; ;1;4900000;1;21;30;6421;64;05;705,859587812388
396189;1;1;05;70;4;48;1; ;2;2;2;576;4; ;1;1; ;.;1; ;2;10; ; ; ; ; ; ; ; ;1; ;YA ES  PENSIONADA;2; ;2; ;1;57;54;7493;74;05;693,846902289696
396196;1;1;05;70;4;48;4; ;1;1;2;4;4; ;9;1; ;.;1; ;1; ;.; ;1; ; ; ; ; ; ; ; ;1;900000;1;9000000;1;39;39;7512;75;05;806,710141747415
396206;1;1;05;70;6;48;1; ;2;2;2;8;1; ;8;1; ;.;4; ;1; ;.; ; ; ; ; ; ; ; ;1; ;2; ;1;2500000;1;45;79;1810;18;05;597,005983926069
396252;1;2;05;70;24;48;1; ;1;1;2;24;1; ;3;2;2; ;2; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;800000;1;38;79;1810;18;05;423,757254056355
396252;1;3;05;70;100;48;4; ;1;1;2;24;1; ;3;2;2; ;2; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;410000;1;94;79;1810;18;05;423,757254056355
396267;1;7;05;70;2;48;1; ;2;2;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;94; ; ; ;05;754,467012098486
396298;1;2;05;70;48;48;1; ;2;2;2;2;1; ;2;2;2; ;1; ;2;4; ; ; ; ; ; ; ; ; ;1; ;1;440000;2; ;1;38;38;6422;64;05;607,965188674521
396325;1;3;05;70;8;48;1; ;1;1;2;8;1; ;8;2;5; ;6; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;4680000;1;32;21;1810;18;05;817,264455167319
396337;1;3;05;70;156;48;1; ;2;2;2;52;1; ;3;2;4; ;4; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;58;59;7411;74;05;859,707688271323
396337;1;4;05;70;8;24;1; ;2;2;2;8;1; ;6;1; ;.;5; ;1; ;.; ; ; ; ; ; ; ; ;1; ;2; ;1;1200000;1;45;44;6601;66;05;859,707688271323
396352;1;1;05;70;12;48;1; ;1;1;2;12;1; ;9;1; ;.;1; ;1; ;.; ; ; ; ; ; ; ; ;1; ;1;100000;1;1600000;1;45;45;5234;52;05;835,547833307889
396359;1;3;05;70;12;48;1; ;2;2;2;12;1; ;6;1; ;.;3; ;1; ;.; ; ; ; ; ; ; ; ;1; ;2; ;1;2800000;1;54;97;1810;18;05;1031,60101089139
396365;1;3;05;70;12;48;1; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;39; ; ; ;05;561,66249640704
396374;1;7;05;70;36;48;1; ;1;1;2;36;1; ;3;1; ;.;1; ;1; ;.; ; ; ; ; ; ; ; ;1; ;2; ;1;3200000;1;53;53;5521;55;05;628,779015330045
396378;1;1;05;70;26;48;1; ;1;1;2;26;1; ;6;1; ;.;1; ;1; ;.; ; ; ; ; ; ; ; ;1; ;1;80000;1;4200000;1;95;95;4521;45;05;805,590024783823
396378;1;5;05;70;16;48;1; ;1;1;2;16;1; ;3;1; ;.;1; ;1; ;.; ; ; ; ; ; ; ; ;1; ;1;20000;2; ;1;55;55;8513;85;05;805,590024783823
396430;2;4;05;70;8;48;1; ;2;2;2;12;1; ;9;2;4; ;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;4800000;1;58;13;8060;80;05;759,042840944329
396430;3;2;05;70;4;48;3; ;2;2;2;8;3; ;1;1; ;.;1; ;1; ;.; ; ; ; ; ; ; ; ;1; ;2; ;1;5244000;1;54;54;9500;95;05;759,042840944329
