Directorio;Secuencia_p;Orden;Area;Regis;P6016;P6020;P6030;P6030s1;P6030s3;P6050;P6080;P6080s1;P6060;P6060s1;P6070;P6090;P6140;P6150;P6100;P6110;P6120;P6125;P6160;P6170;P6175;P6180;P6180s1;P6180s2;P6190;P6190s1;P6200;P6200s1;P6210;P6210s1;P6220;P6040;Dpto;Fex_c_2011
395960;1;1;05;10;1;2;1;10;1936;1;6; ;2; ;4;1; ; ;1;3;54200;2;1;2; ; ; ; ; ; ; ; ;3;5; ;70;05;654,791196020181
395960;1;2;05;10;2;2;1;2;1972;7;6; ;2; ;5;1; ; ;1;3;60500;2;1;2; ; ; ; ; ; ; ; ;5;11;2;35;05;654,791196020181
395962;1;1;05;10;1;1;1;4;1979;1;6; ;1;1;1;2;1;12; ; ; ; ;1;2; ; ; ; ;2; ;2; ;3;5; ;28;05;802,257226029665
395962;1;2;05;10;2;2;1;5;1986;2;6; ;1;1;1;2;1;11; ; ; ; ;1;2; ; ; ; ;2; ;2; ;4;7; ;21;05;802,257226029665
395962;1;3;05;10;2;2;1;12;2005;3;6; ;2; ; ;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;802,257226029665
395965;1;1;05;10;1;2;1;9;1954;1;6; ;1;2;5;1; ; ;3; ; ;2;2;2; ; ; ; ; ; ; ; ;1;0; ;52;05;706,716005664672
395965;1;2;05;10;2;1;1;7;1988;3;6; ;1;2;5;1; ; ;3; ; ;2;1;1;1;2; ; ;2; ;2; ;4;9; ;19;05;706,716005664672
395965;1;3;05;10;3;1;1;11;1979;3;6; ;1;2;1;1; ; ;3; ; ;1;1;2; ; ; ; ;2; ;2; ;3;1; ;27;05;706,716005664672
395965;1;4;05;10;4;2;1;11;1978;3;6; ;1;2;5;1; ; ;3; ; ;2;1;2; ; ; ; ;2; ;2; ;3;5; ;28;05;706,716005664672
395965;1;5;05;10;2;2;1;11;1998;4;6; ;1;2; ;1; ; ;3; ; ;2;1;1;1;1;220;2000;2; ;2; ;3;3; ;8;05;706,716005664672
395965;1;6;05;10;2;2;1;11;2001;4;6; ;1;1; ;1; ; ;3; ; ;2;2;1;1;1;220;2000;2; ;2; ;2;0; ;5;05;706,716005664672
395965;1;7;05;10;1;1;1;4;2006;4;6; ;2; ; ;1; ; ;3; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;706,716005664672
395968;1;1;05;10;1;1;1;12;1971;1;6; ;2; ;6;1; ; ;1;1;34000;2;1;1;2;2; ; ;2; ;2; ;6;3;3;35;05;698,060637012834
395968;1;2;05;10;2;2;1;2;1974;2;6; ;2; ;6;1; ; ;1;5; ;2;1;1;2;2; ; ;2; ;2; ;6;0;2;33;05;698,060637012834
395968;1;3;05;10;2;2;1;1;1999;3;6; ;2; ; ;1; ; ;1;5; ;2;1;1;1;1;200;2000;2; ;2; ;3;2; ;8;05;698,060637012834
395968;1;4;05;10;2;2;1;1;2000;3;6; ;2; ; ;1; ; ;1;5; ;2;2;1;1;1;200;2000;2; ;2; ;3;1; ;7;05;698,060637012834
395968;1;5;05;10;2;2;1;9;2001;3;6; ;2; ; ;1; ; ;1;5; ;2;2;1;1;1;200;2000;2; ;2; ;2;0; ;5;05;698,060637012834
