DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P7480S1;P7480S1A1;P7480S3;P7480S3A1;P7480S4;P7480S4A1;P7480S5;P7480S5A1;P7480S6;P7480S6A1;P7480S7;P7480S7A1;P7480S8;P7480S8A1;P7480S9;P7480S9A1;P7480S10;P7480S10A1;P7480S11;P7480S11A1;AREA;MES;DPTO;fex_c_2011
4903659;1;1;1;90;2; ;1;7;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;05;05;1030,41827293554
4903659;1;2;1;90;2; ;1;7;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;05;05;1030,41827293554
4903660;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;05;05;989,745141713206
4903660;1;2;1;90;2; ;1;20;2; ;2; ;1;30;2; ;2; ;2; ;2; ;2; ;05;05;05;989,745141713206
4903660;1;3;1;90;2; ;1;20;2; ;2; ;1;20;2; ;2; ;2; ;2; ;2; ;05;05;05;989,745141713206
4903661;1;1;1;90;2; ;1;20;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;05;05;978,435677593853
4903661;1;2;1;90;2; ;1;10;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;05;05;978,435677593853
4903662;1;1;1;90;2; ;1;27;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;05;05;888,698518860991
4903662;1;2;1;90;2; ;1;14;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;05;05;888,698518860991
4903662;1;3;1;90;2; ;1;10;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;05;05;888,698518860991
4903663;1;1;1;90;2; ;1;20;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;05;05;1305,40354846537
4903663;1;2;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;05;05;1305,40354846537
4903664;1;1;1;90;2; ;1;7;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;12;05;05;05;1010,70577582729
4903665;1;1;1;90;2; ;1;10;2; ;1;30;2; ;2; ;2; ;2; ;2; ;2; ;05;05;05;1171,90467487354
4903665;1;3;1;90;2; ;1;56;2; ;1;35;2; ;2; ;2; ;2; ;2; ;2; ;05;05;05;1171,90467487354
4903666;1;1;1;90;2; ;1;21;2; ;1;10;2; ;2; ;2; ;2; ;2; ;2; ;05;05;05;1311,34227641885
4903666;1;2;1;90;2; ;1;10;2; ;1;23;2; ;2; ;2; ;2; ;2; ;2; ;05;05;05;1311,34227641885
4903667;1;1;1;90;2; ;1;15;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;05;05;1233,27659501346
4903667;1;2;1;90;2; ;1;30;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;05;05;1233,27659501346
4903667;1;3;1;90;2; ;1;20;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;05;05;1233,27659501346
4903667;1;5;1;90;2; ;1;15;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;05;05;1233,27659501346
4903668;1;1;1;90;2; ;1;14;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;05;05;1114,79962758224
4903668;1;2;1;90;2; ;1;14;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;05;05;1114,79962758224
4903669;1;1;1;90;2; ;1;15;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;05;05;923,370777064183
4903669;1;2;1;90;2; ;1;14;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;05;05;923,370777064183
4903669;1;3;1;90;2; ;1;14;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;05;05;923,370777064183
4903670;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;05;05;1156,94491377859
4903670;1;2;1;90;2; ;1;35;2; ;1;18;2; ;2; ;2; ;2; ;2; ;2; ;05;05;05;1156,94491377859
4903670;1;3;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;05;05;1156,94491377859
4903671;1;1;1;90;2; ;1;10;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;05;05;1113,8546905068
4903672;1;1;1;90;2; ;1;35;2; ;2; ;1;25;2; ;2; ;2; ;2; ;2; ;05;05;05;1012,17793080132
4903672;1;2;1;90;2; ;1;18;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;05;05;1012,17793080132
4903672;1;3;1;90;2; ;1;10;2; ;2; ;2; ;2; ;1;20;2; ;2; ;2; ;05;05;05;1012,17793080132
4903673;1;1;1;90;2; ;1;21;1;28;1;16;2; ;2; ;2; ;2; ;2; ;2; ;05;05;05;1010,70577582729
4903674;1;1;1;90;2; ;1;4;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;05;05;927,269358256031
4903674;1;2;1;90;2; ;1;3;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;05;05;927,269358256031
4903675;1;1;1;90;2; ;2; ;2; ;1;14;2; ;2; ;2; ;2; ;2; ;2; ;05;05;05;1498,87254574506
4903675;1;2;1;90;2; ;1;28;2; ;1;28;2; ;2; ;2; ;2; ;2; ;2; ;05;05;05;1498,87254574506
4903676;1;1;1;90;2; ;1;10;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;05;05;1156,79505837848
4903677;1;1;1;90;2; ;1;8;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;05;05;1010,70577582729
4903678;1;1;1;90;2; ;1;43;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;05;05;894,999260022591
4903678;1;2;1;90;2; ;1;12;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;05;05;894,999260022591
4903678;1;3;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;05;05;894,999260022591
4903679;1;1;1;90;2; ;1;21;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;05;05;1087,52332022684
