DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;P7430;P7440;P7450;P7450S1;P7452;P7454;P7456;P7458;P7458S1;P7460;P7470;P7472;P7472S1;P744;P1884;P1807;P6921;INI;MES;DPTO;fex_c_2011
4912044;1;3;1;80; ;2;2; ; ; ; ;1;1;1; ;2; ;2; ;1;20;415000;2;1;05;76;2204,76154065575
4912045;1;1;1;80; ;2;1;2;7; ;2; ; ;4; ;3; ;2; ; ; ; ;3;1;05;76;1326,68238025432
4912045;1;2;1;80; ;2;1;4;3; ;2; ; ;9; ;1; ;2; ; ; ; ;2;1;05;76;1326,68238025432
4912046;1;1;1;80; ;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;05;76;852,818203522892
4912053;1;2;1;80; ;2;1;4;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;05;19;2633,60274614261
4912054;1;1;1;80; ;2;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;05;19;1736,58839935205
4912055;1;2;1;80; ;2;1;2;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;05;19;1417,81679874158
4912055;1;4;1;80; ;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;05;19;1417,81679874158
4912057;1;3;1;80; ;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;05;19;1720,5144338002
4912057;2;2;2;80; ;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;05;19;1720,5144338002
4912058;1;2;1;80; ;2;1;2;3; ;2; ; ;9; ;2; ;1;20000; ; ; ;2;1;05;19;1898,45166216238
4912058;1;3;1;80; ;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;05;19;1898,45166216238
4912058;1;4;1;80; ;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;05;19;1898,45166216238
4912059;1;2;1;80; ;2;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;05;19;2335,6746406361
4912059;1;3;1;80; ;2;2; ; ; ; ;2; ; ;.; ; ;1;30000; ; ; ; ;1;05;19;2335,6746406361
4912061;1;4;1;80; ;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;05;19;1788,17009787792
4912061;1;5;1;80; ;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;05;19;1788,17009787792
4912061;1;7;1;80; ;2;1;1;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;05;19;1788,17009787792
4912065;1;4;1;80; ;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;05;19;1861,41675175568
4912068;1;2;1;80; ;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;40;828000;2;1;05;19;1089,13740962062
4912071;1;1;1;80; ;2;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;05;19;1089,13740962062
4912073;1;1;1;80; ;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;05;19;2150,6662085866
4912073;1;5;1;80; ;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;05;19;2150,6662085866
4912073;1;6;1;80; ;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;05;19;2150,6662085866
4912074;1;3;1;80; ;2;2; ; ; ; ;2; ; ;.;2; ;2; ;2; ;500000;2;1;05;19;2088,45812836797
4912075;1;2;1;80; ;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;40;600000;2;1;05;19;1974,24796986968
4912075;1;3;1;80; ;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;05;19;1974,24796986968
4912075;1;4;1;80; ;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;05;19;1974,24796986968
4912076;1;5;1;80; ;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;05;19;1860,03781137138
4912088;1;1;1;80; ;2;1;2;3; ;2; ; ;9; ;2; ;2; ;2; ;828116;2;1;05;19;1974,24796986968
4912088;2;2;2;80; ;2;1;1;2; ;2; ; ;2; ;2; ;2; ; ; ; ;2;1;05;19;1974,24796986968
4912089;1;2;1;80; ;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;05;19;993,744325424377
4912090;1;3;1;80; ;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;05;19;2379,08652558319
4912090;1;4;1;80; ;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;05;19;2379,08652558319
4912096;1;1;1;80; ;2;1;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;05;19;2313,33475539694
4912097;1;2;1;80; ;2;1;1;8; ;2; ; ;1; ;2; ;2; ;1;40;828116;2;1;05;19;1898,45166216238
4912097;1;3;1;80; ;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;05;19;1898,45166216238
4912097;1;4;1;80; ;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;05;19;1898,45166216238
4912099;1;4;1;80; ;2;1;1;9;SE TERMINO LA COSECHA;2; ; ;2; ; ; ;2; ; ; ; ; ;1;05;19;1431,70323965872
4912100;1;2;1;80; ;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;05;19;3795,05418219561
