DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P7480S1;P7480S1A1;P7480S3;P7480S3A1;P7480S4;P7480S4A1;P7480S5;P7480S5A1;P7480S6;P7480S6A1;P7480S7;P7480S7A1;P7480S8;P7480S8A1;P7480S9;P7480S9A1;P7480S10;P7480S10A1;P7480S11;P7480S11A1;clase;MES;DPTO;fex_c_2011;AREA
4903609;1;1;1;90;2; ;1;3;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;05;68;3966,5440127506; 
4903609;1;2;1;90;2; ;1;4;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;05;68;3966,5440127506; 
4903610;1;1;1;90;2; ;1;3;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;05;68;3154,00155871749; 
4903610;1;2;1;90;2; ;1;35;2; ;1;30;2; ;2; ;2; ;2; ;2; ;2; ;1;05;68;3154,00155871749; 
4903611;1;1;1;90;2; ;1;20;2; ;1;10;2; ;2; ;2; ;2; ;2; ;2; ;1;05;68;4474,87821392166; 
4903611;1;2;1;90;2; ;1;21;2; ;1;35;2; ;2; ;2; ;2; ;2; ;2; ;1;05;68;4474,87821392166; 
4903611;1;3;1;90;2; ;1;5;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;05;68;4474,87821392166; 
4903612;1;1;1;90;2; ;1;28;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;05;68;2852,23102798988; 
4903612;1;2;1;90;2; ;1;7;2; ;2; ;2; ;2; ;1;2;2; ;2; ;2; ;1;05;68;2852,23102798988; 
4903613;1;1;1;90;2; ;1;6;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;05;68;3373,72152548678; 
4903613;1;2;1;90;2; ;1;28;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;05;68;3373,72152548678; 
4903613;1;3;1;90;2; ;1;7;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;18;1;05;68;3373,72152548678; 
4903615;1;1;1;90;2; ;1;21;2; ;2; ;2; ;2; ;2; ;2; ;1;2;2; ;1;05;68;3475,75235847927; 
4903615;1;2;1;90;2; ;1;12;2; ;2; ;2; ;2; ;1;4;2; ;2; ;2; ;1;05;68;3475,75235847927; 
4903617;1;1;1;90;1;16;1;20;1;15;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;05;68;4106,90542460853; 
4903617;1;2;1;90;2; ;1;7;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;05;68;4106,90542460853; 
4903618;1;1;1;90;2; ;1;7;2; ;1;7;2; ;2; ;2; ;2; ;2; ;2; ;1;05;68;3849,37653260947; 
4903618;1;2;1;90;2; ;1;10;2; ;1;4;2; ;2; ;2; ;2; ;2; ;2; ;1;05;68;3849,37653260947; 
4903618;1;4;1;90;2; ;1;14;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;05;68;3849,37653260947; 
4903618;1;5;1;90;2; ;1;21;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;05;68;3849,37653260947; 
4903618;1;6;1;90;2; ;1;12;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;05;68;3849,37653260947; 
4903618;1;7;1;90;2; ;1;14;2; ;1;40;2; ;2; ;2; ;2; ;2; ;2; ;1;05;68;3849,37653260947; 
4903619;1;1;1;90;2; ;2; ;2; ;1;7;2; ;2; ;2; ;2; ;2; ;2; ;1;05;68;4474,87821392166; 
4903619;1;2;1;90;2; ;1;32;2; ;1;14;2; ;2; ;2; ;2; ;2; ;2; ;1;05;68;4474,87821392166; 
4903619;1;3;1;90;2; ;1;4;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;05;68;4474,87821392166; 
4903632;1;1;1;90;2; ;1;1;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;05;68;4652,89964567704; 
4903633;1;1;1;90;2; ;1;7;2; ;1;28;2; ;2; ;2; ;2; ;2; ;2; ;1;05;68;3590,0726319404; 
4903636;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;05;76;2996,01515865102; 
4903636;1;2;1;90;2; ;1;16;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;05;76;2996,01515865102; 
4903637;1;1;1;90;2; ;1;10;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;05;76;3994,8024691363; 
4903637;1;2;1;90;2; ;1;5;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;05;76;3994,8024691363; 
4903637;1;3;1;90;2; ;1;6;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;05;76;3994,8024691363; 
4903637;1;4;1;90;2; ;1;10;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;05;76;3994,8024691363; 
4903637;1;5;1;90;2; ;1;2;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;05;76;3994,8024691363; 
4903638;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;05;76;2523,90956153204; 
4903638;1;2;1;90;2; ;1;26;2; ;1;97;2; ;2; ;2; ;2; ;2; ;2; ;1;05;76;2523,90956153204; 
4903638;1;4;1;90;2; ;1;4;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;05;76;2523,90956153204; 
4903641;1;1;1;90;2; ;1;15;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;05;76;3429,60625111853; 
4903643;1;1;1;90;2; ;1;10;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;05;76;3429,60625111853; 
4903648;1;1;1;90;2; ;1;26;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;05;76;3471,67467070437; 
4903648;1;2;1;90;2; ;1;8;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;05;76;3471,67467070437; 
4903653;1;1;1;90;2; ;1;10;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;05;76;2467,69817248553; 
4903654;1;1;1;90;2; ;1;19;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;05;76;3469,36739495981; 
4903654;1;2;1;90;2; ;1;6;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;05;76;3469,36739495981; 
4903655;1;1;1;90;2; ;1;10;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;05;76;2336,70469929123; 
4903658;1;1;1;90;2; ;1;10;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;05;76;3469,36739495981; 
4903658;1;2;1;90;2; ;1;20;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;05;76;3469,36739495981; 
4903659;1;1;1;90;2; ;1;7;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;05;05;1030,41827293554;05
4903659;1;2;1;90;2; ;1;7;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;05;05;1030,41827293554;05
4903660;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;05;05;989,745141713206;05
4903660;1;2;1;90;2; ;1;20;2; ;2; ;1;30;2; ;2; ;2; ;2; ;2; ;1;05;05;989,745141713206;05
4903660;1;3;1;90;2; ;1;20;2; ;2; ;1;20;2; ;2; ;2; ;2; ;2; ;1;05;05;989,745141713206;05
4903661;1;1;1;90;2; ;1;20;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;05;05;978,435677593853;05
4903661;1;2;1;90;2; ;1;10;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;05;05;978,435677593853;05
4903662;1;1;1;90;2; ;1;27;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;05;05;888,698518860991;05
4903662;1;2;1;90;2; ;1;14;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;05;05;888,698518860991;05
4903662;1;3;1;90;2; ;1;10;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;05;05;888,698518860991;05
4903663;1;1;1;90;2; ;1;20;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;05;05;1305,40354846537;05
4903663;1;2;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;05;05;1305,40354846537;05
4903664;1;1;1;90;2; ;1;7;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;12;1;05;05;1010,70577582729;05
4903665;1;1;1;90;2; ;1;10;2; ;1;30;2; ;2; ;2; ;2; ;2; ;2; ;1;05;05;1171,90467487354;05
4903665;1;3;1;90;2; ;1;56;2; ;1;35;2; ;2; ;2; ;2; ;2; ;2; ;1;05;05;1171,90467487354;05
4903666;1;1;1;90;2; ;1;21;2; ;1;10;2; ;2; ;2; ;2; ;2; ;2; ;1;05;05;1311,34227641885;05
4903666;1;2;1;90;2; ;1;10;2; ;1;23;2; ;2; ;2; ;2; ;2; ;2; ;1;05;05;1311,34227641885;05
4903667;1;1;1;90;2; ;1;15;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;05;05;1233,27659501346;05
4903667;1;2;1;90;2; ;1;30;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;05;05;1233,27659501346;05
4903667;1;3;1;90;2; ;1;20;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;05;05;1233,27659501346;05
4903667;1;5;1;90;2; ;1;15;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;05;05;1233,27659501346;05
4903668;1;1;1;90;2; ;1;14;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;05;05;1114,79962758224;05
4903668;1;2;1;90;2; ;1;14;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;05;05;1114,79962758224;05
4903669;1;1;1;90;2; ;1;15;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;05;05;923,370777064183;05
4903669;1;2;1;90;2; ;1;14;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;05;05;923,370777064183;05
4903669;1;3;1;90;2; ;1;14;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;05;05;923,370777064183;05
