DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;P1806;P1519;P1883;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;MES;RAMA4D_D;DPTO;fex_c_2011
4912055;1;3;1;70;2;3;40;3; ;2;1;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;300000;400000;2; ;54;54;95;1;1;05;9500;19;1417,81679874158
4912123;1;9;1;70;2;18;30;3; ;2;4;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;700000;2; ;54;61;01;1;2;05;0140;19;1232,98094258224
4912974;1;2;1;70;2;1;48;1; ;2;1;1; ;9;2;3; ; ; ; ; ; ; ; ; ; ;1;1;828116;828116;2; ;62;62;01;1;1;05;0112;25;3428,19239853821
4913005;1;2;1;70;2;12;48;1; ;2;24;8; ;2;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;828611;2; ;45;62;01;1;1;05;0121;25;2577,93040001619
4914237;1;3;1;70;2;12;60;8; ;2;12;8; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;600000;2; ;62;62;01;1;1;05;0121;23;1684,02889365235
4914293;1;2;1;70;2;30;60;3; ;2;30;3; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;400000;2; ;54;54;95;1;2;05;9500;23;1265,68309075175
4914300;2;1;2;70;2;110;48;3; ;2;16;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;300000;2; ;54;54;95;1;2;05;9500;23;1056,13971322049
4914310;1;5;1;70;2;3;50;2; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;700000; ; ;58; ; ;1;1;05; ;23;1765,61019842427
4914311;1;1;1;70;2;20;48;1; ;2;20;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;32;32;75;1;2;05;7512;23;1748,54811594109
4914314;1;2;1;70;2;2;48;4; ;2;2;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;240000;300000;2; ;61;61;01;1;1;05;0140;23;1779,71612063317
