DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;P1806;P1519;P1883;RAMA2D_D_R4;OFICIO1;OFICIO2;DSI;DSCY;RAMA4D_D_R4;MES;DPTO;fex_c_2011
5518784;1;1;1;70;13;24;48;1; ;2;32;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;47;45;45;1;2;4774;08;13;538,145262081809
5518785;1;1;1;70;13;6;48;1; ;2;6;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908000;2; ;68;58;58;1;1;6820;08;13;609,312404913071
5518785;1;5;1;70;13;20;48;2; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;2000000; ; ; ;12; ;1;2;.;08;13;609,312404913071
5518788;1;4;1;70;13;32;48;1; ;2;32;1; ;7;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908000;2; ;86;32;32;1;2;8610;08;13;480,842569235674
5518788;1;6;1;70;13;12;48;1; ;2;96;1; ;5;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;2000000;2; ;85;19;19;1;1;8530;08;13;480,842569235674
5518789;1;1;1;70;13;16;48;4; ;2;16;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;400000;2; ;56;53;53;1;2;5619;08;13;590,644451005912
5518793;1;1;1;70;13;12;40;1; ;2;12;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;97;53;59;1;1;9700;08;13;402,716804973781
5518799;1;2;1;70;13;24;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;908526; ; ; ;59; ;1;2;.;08;13;361,825864556527
5518804;1;3;1;70;13;24;40;1; ;2;56;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;92;33;33;1;2;9200;08;13;527,105732946972
5518805;1;3;1;70;13;48;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;1500000; ; ; ;12; ;1;2;.;08;13;449,074036065037
5518811;1;5;1;70;13;20;40;1; ;2;52;4; ;7;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;41;39;95;1;2;4111;08;13;480,419493989208
5518814;1;2;1;70;13;259;48;1; ;2;260;1; ;7;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;25000000;2; ;79;21;21;1;2;7911;08;13;339,062195379043
5518814;1;3;1;70;13;156;48;1; ;2;156;1; ;7;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;42;39;39;1;2;4210;08;13;339,062195379043
5518816;1;2;1;70;13;32;40;1; ;2;32;1; ;7;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;41;33;33;1;2;4111;08;13;495,230041801665
5518818;1;2;1;70;13;36;48;1; ;2;36;1; ;5;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;55;32;50;1;2;5511;08;13;402,716804973781
5518833;1;1;1;70;13;78;48;1; ;2;78;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;56;39;39;1;2;5611;08;13;539,671656701988
5518847;1;1;1;70;13;84;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;2000000; ; ; ;15; ;1;2;.;08;13;408,512103514291
5518849;1;1;1;70;13;48;48;1; ;2;48;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;61;98;38;1;2;6190;08;13;364,070488613967
5518849;1;3;1;70;13;104;48;1; ;2;104;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;2500000;2; ;49;02;39;1;2;4923;08;13;364,070488613967
5518852;1;2;1;70;13;4;48;1; ;2;1;1; ;6;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;55;53;53;1;1;5511;08;13;518,973403890568
5518857;1;3;1;70;13;8;48;1; ;2;8;1; ;6;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;68;39;39;1;1;6810;08;13;331,220654276011
5518904;1;2;1;70;17;4;8;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;908526; ; ; ;45; ;1;1;.;08;17;238,833146517273
5518905;1;2;1;70;17;12;40;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;908526; ; ; ;32; ;1;1;.;08;17;137,827674223507
5518905;1;3;1;70;17;2;36;2; ;2;2;2; ;9;2;4; ; ;1; ; ; ; ; ; ; ; ;1;1316000;908526;1;2;86;98;98;1;1;8610;08;17;137,827674223507
5518909;1;1;1;70;17;33;48;4; ;2;12;4; ;4;2;1; ; ; ; ;1; ; ; ; ; ; ;2; ;908526;2; ;56;34;11;1;2;5611;08;17;199,70112322972
5518911;1;3;1;70;17;4;50;8; ;2;4;8; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;1;600000;600000;2; ;01;62;62;1;1;0123;08;17;106,3369290257
5518914;1;1;1;70;17;4;50;1; ;2;4;1; ;3;2;7; ; ; ; ; ; ; ; ; ; ;1;1;600000;600000;2; ;56;53;53;1;1;5611;08;17;124,79331697272
5518915;1;1;1;70;17;16;48;3; ;2;16;1; ;9;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;14;54;79;1;2;1410;08;17;117,172347676888
5518918;1;1;1;70;17;54;48;1; ;2;54;3; ;1;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;97;58;54;1;2;9700;08;17;117,172347676888
5518920;1;2;1;70;17;96;56;1; ;2;96;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;3000000;2; ;56;53;53;1;2;5611;08;17;197,593114117411
5518926;1;5;1;70;17;6;48;1; ;2;6;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;95;03;03;1;1;9511;08;17;169,796657503429
5518931;1;1;1;70;17;16;40;4; ;2;16;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;2000000;2; ;84;19;19;1;2;8412;08;17;226,804323386783
5518941;1;4;1;70;17;200;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;908526; ; ; ;45; ;1;2;.;08;17;162,256285536435
5518963;1;1;1;70;17;30;48;3; ;2;48;3; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;97;54;54;1;2;9700;08;17;177,327896864261
5518966;1;4;1;70;17;4;48;1; ;2;6;1; ;2;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;73;45;45;1;1;7310;08;17;107,202267602172
5518969;1;2;1;70;17;6;48;1; ;2;28;1; ;5;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;78;97;97;1;1;7810;08;17;195,785618705465
5519032;1;3;1;70;23;48;48;1; ;2;48;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;70;32;32;1;2;7010;08;23;131,138115874218
5519036;1;4;1;70;23;26;48;1; ;2;34;1; ;8;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;61;44;44;1;2;6120;08;23;185,354642691555
5519038;1;1;1;70;23;52;48;1; ;2;256;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;68;55;55;1;2;6820;08;23;208,848792548311
5519040;1;3;1;70;23;27;48;1; ;2;120;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;47;45;45;1;2;4719;08;23;129,42688754103
5519041;1;1;1;70;23;6;48;3; ;2;48;3; ;1;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;400000;2; ;97;54;54;1;1;9700;08;23;186,718422530596
5519041;1;3;1;70;23;12;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;900000; ; ; ;45; ;1;1;.;08;23;186,718422530596
5519044;1;4;1;70;23;46;48;1; ;2;54;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1500000;2; ;64;05;11;1;2;6412;08;23;177,316849867488
5519048;1;2;1;70;23;10;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;1200000; ; ; ;13; ;1;1;.;08;23;157,946526690475
5519049;1;2;1;70;23;24;48;1; ;2;48;1; ;7;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;85;13;13;1;2;8530;08;23;121,200322172977
5519050;1;4;1;70;23;8;48;1; ;2;24;1; ;6;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;10;45;45;1;1;1040;08;23;132,132792015488
5519058;1;1;1;70;23;52;48;1; ;2;60;5; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;56;53;53;1;2;5611;08;23;131,279827580897
5519065;1;3;1;70;23;24;48;1; ;2;36;1; ;7;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;10;45;77;1;2;1011;08;23;190,604512879707
5519066;1;1;1;70;23;52;48;1; ;2;52;1; ;2;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;600000;2; ;56;53;53;1;2;5611;08;23;154,114578707606
5519066;1;2;1;70;23;24;48;1; ;2;106;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;68;55;55;1;2;6820;08;23;154,114578707606
5519068;1;1;1;70;23;24;48;1; ;2;24;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;47;45;33;1;2;4771;08;23;137,271114660552
5519073;1;1;1;70;23;12;48;1; ;2;12;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;41;95;95;1;1;4111;08;23;137,787515874634
5519213;1;1;1;70;50;104;48;1; ;2;156;1; ;2;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;61;33;38;1;2;6190;08;50;354,281752864834
5519214;1;2;1;70;50;87;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;1200000; ; ; ;40; ;1;2;.;08;50;444,983196516412
5519233;1;1;1;70;50;6;48;1; ;2;24;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;906000;2; ;56;53;45;1;1;5619;08;50;393,004064641473
5519233;1;2;1;70;50;24;48;1; ;2;24;1; ;2;2;7; ; ; ; ; ; ; ; ; ; ;1;2; ;906000;2; ;47;45;45;1;2;4773;08;50;393,004064641473
5519238;1;1;1;70;50;5;40;4; ;2;4;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;120000;900000;2; ;81;55;55;1;1;8121;08;50;316,898801223802
5519239;1;4;1;70;50;2;48;1; ;2;2;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;1;2000000;2000000;2; ;42;19;19;1;1;4290;08;50;397,186400679925
5519243;1;2;1;70;50;156;40;4; ;2;156;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;81;55;55;1;2;8121;08;50;443,664309162793
5519244;1;2;1;70;50;156;40;4; ;2;156;4; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;81;55;55;1;2;8121;08;50;211,568293744072
5519250;1;1;1;70;50;8;48;1; ;2;10;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;01;45;62;1;1;0126;08;50;311,303119967466
5519255;1;3;1;70;50;12;56;2; ;2;104;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1200000;2; ;80;58;58;1;1;8010;08;50;153,513163032374
5519262;1;2;1;70;50;13;48;1; ;2;13;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;56;55;53;1;1;5611;08;50;379,726771761185
5519264;1;3;1;70;50;3;40;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;600000; ; ; ;95; ;1;1;.;08;50;192,767342514926
5519264;1;5;1;70;50;5;30;4; ;2;52;1; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;600000;2; ;56;94;53;1;1;5611;08;50;192,767342514926
5519265;1;2;1;70;50;105;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;1800000; ; ; ;53; ;1;2;.;08;50;313,423425973996
5519269;1;2;1;70;50;100;48;1; ;2;4;4; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;1;40000;2000000;2; ;47;45;41;1;2;4774;08;50;342,343820120153
5519272;1;1;1;70;50;90;48;1; ;2;90;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;69;11;39;1;2;6920;08;50;354,281752864834
5519272;1;2;1;70;50;52;40;1; ;2;32;1; ;4;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;47;45;45;1;2;4771;08;50;354,281752864834
5519294;1;1;1;70;52;3;65;1; ;2;3;1; ;5;2;3; ; ; ; ; ; ; ; ; ; ;1;1;700000;890000;2; ;56;53;53;1;1;5611;08;52;295,537510590966
5519296;1;2;1;70;52;32;40;1; ;2;64;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;500000;2; ;56;53;53;1;2;5611;08;52;286,478788642451
5519299;1;4;1;70;52;36;48;1; ;2;36;4; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;86;45;39;1;2;8621;08;52;235,023469002693
5519300;1;1;1;70;52;3;30;1; ;2;4;1; ;7;2;1; ; ; ; ; ; ; ; ; ; ;1;1;1400000;2000000;2; ;86;07;07;1;1;8621;08;52;340,504052013025
5519300;1;2;1;70;52;52;44;1; ;2;62;1; ;9;1;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1200000;2; ;47;33;33;1;2;4711;08;52;340,504052013025
5519306;1;1;1;70;52;104;40;4; ;2;156;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;3; ;60;34;86;1;2;6010;08;52;198,723021641998
5519310;1;2;1;70;52;20;48;1; ;2;20;1; ;6;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;1200000;2; ;85;32;32;1;2;8551;08;52;281,689791199799
5519313;1;1;1;70;52;52;24;1; ;2;60;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;300000;2; ;47;99;45;1;2;4792;08;52;178,463457417153
5519313;1;2;1;70;52;24;25;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;480000; ; ; ;98; ;1;2;.;08;52;178,463457417153
5519316;1;1;1;70;52;1;40;2; ;2;4;1; ;4;2;6; ; ; ; ; ; ; ; ; ; ;1;1;850000;908526;2; ;85;13;13;1;1;8512;08;52;252,397594659716
5519317;1;3;1;70;52;20;48;4; ;2;40;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;49;98;98;1;2;4921;08;52;223,017683658556
5519321;1;2;1;70;52;35;40;3; ;2;58;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;500000;2; ;56;54;53;1;2;5611;08;52;245,038653486247
5519321;1;3;1;70;52;12;40;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;908526; ; ; ;45; ;1;1;.;08;52;245,038653486247
5519322;1;3;1;70;52;12;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;908526; ; ; ;13; ;1;1;.;08;52;128,241226930911
5519327;1;1;1;70;54;16;48;1; ;2;16;1; ;5;2;7; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;47;58;39;1;2;4752;08;54;539,030217315842
5519329;1;1;1;70;54;4;48;1; ;2;4;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;1;900000;1000000;2; ;01;58;58;1;1;0126;08;54;457,869436455189
5519332;1;2;1;70;54;4;48;1; ;2;4;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;1200000;2; ;86;59;59;1;1;8610;08;54;493,864704506409
5519335;1;1;1;70;54;4;48;1; ;2;5;1; ;2;2;8; ; ; ; ; ; ; ; ; ; ;1;1;250000;900000;2; ;41;95;95;1;1;4111;08;54;436,624112720921
5519335;1;2;1;70;54;8;48;4; ;2;9;4; ;1;2;7; ; ; ; ; ; ; ; ; ; ;1;2; ;700000;2; ;15;80;80;1;1;1522;08;54;436,624112720921
5519336;2;1;2;70;54;8;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;908000; ; ; ;45; ;1;1;.;08;54;402,290446783995
5519336;3;2;3;70;54;20;48;4; ;2;468;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908000;2; ;47;41;41;1;2;4772;08;54;402,290446783995
5519340;1;4;1;70;54;4;50;2; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;1200000; ; ; ;58; ;1;1;.;08;54;429,788101600915
5519343;1;4;1;70;54;12;48;2; ;2;2;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;1;400000;1200000;2; ;41;58;95;1;1;4111;08;54;492,024141762692
5519345;1;3;1;70;54;16;48;1; ;2;16;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;47;95;45;1;2;4789;08;54;406,461170190613
5519348;1;2;1;70;54;2;24;4; ;2;192;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;500000;2; ;85;13;13;1;1;8559;08;54;560,14696410686
5519350;1;6;1;70;54;16;48;1; ;2;16;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;46;45;45;1;2;4631;08;54;575,640691587838
5519351;1;1;1;70;54;3;48;3; ;2;3;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;600000;600000;2; ;97;54;54;1;1;9700;08;54;357,787987870968
5519351;1;2;1;70;54;8;48;1; ;2;8;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;45;95;93;1;1;4520;08;54;357,787987870968
5519354;1;1;1;70;54;32;48;1; ;2;32;4; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1200000;2; ;84;05;05;1;2;8413;08;54;489,756721447701
5519355;1;1;1;70;54;192;48;1; ;2;192;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1014980;2; ;49;98;98;1;2;4921;08;54;336,070927531454
5519356;1;2;1;70;54;4;50;4; ;2;4;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;400000;600000;2; ;41;95;95;1;1;4112;08;54;436,152376115675
5519357;1;2;1;70;54;99;48;1; ;2;99;4; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;84;59;59;1;2;8413;08;54;469,867859138929
5519362;1;1;1;70;54;52;48;4; ;2;52;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;64;03;33;1;2;6499;08;54;457,869436455189
5519366;1;2;1;70;54;12;48;1; ;2;20;1; ;3;2;3; ; ; ; ; ; ; ; ; ; ;1;2; ;1014980;2; ;73;33;03;1;1;7310;08;54;336,013691835746
5519366;1;3;1;70;54;25;24;3; ;2;200;3; ;1;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;98;2; ;97;54;54;1;2;9700;08;54;336,013691835746
5519368;1;3;1;70;54;16;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;1600000; ; ; ;01; ;1;2;.;08;54;479,410512858175
5519376;1;2;1;70;54;52;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;800000; ; ; ;45; ;1;2;.;08;54;347,313202338192
5519376;1;3;1;70;54;12;48;1; ;2;12;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;47;45;45;1;1;4771;08;54;347,313202338192
5519377;1;2;1;70;54;4;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;600000; ; ; ;33; ;1;1;.;08;54;349,580622653184
5519401;1;1;1;70;54;2;48;1; ;2;2;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;1;1200000;908526;2; ;56;45;53;1;1;5613;08;54;501,75514413144
5519406;1;5;1;70;54;16;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;908526; ; ; ;45; ;1;2;.;08;54;387,540502467044
5519407;1;2;1;70;54;52;48;1; ;2;52;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1200000;2; ;95;03;03;1;2;9511;08;54;451,619633331844
5519407;1;3;1;70;54;12;45;4; ;2;12;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;62;03;03;1;1;6209;08;54;451,619633331844
5519408;1;4;1;70;54;4;48;3; ;2;10;1; ;2;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;700000;2; ;47;54;45;1;1;4711;08;54;389,002830946994
5519410;1;2;1;70;54;8;50;4; ;2;24;1; ;9;2;7; ; ; ; ; ; ; ; ; ; ;1;2; ;700000;2; ;06;45;87;1;1;0610;08;54;481,253603561199
5519518;1;2;1;70;68;12;48;1; ;2;260;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;908600;2; ;42;19;19;1;1;4290;08;68;532,898280755858
5519523;1;1;1;70;68;80;60;1; ;2;80;1; ;9;2;1; ; ; ; ; ; ; ; ;1;APOYO DE SU FAMILIA; ;2; ;908526;2; ;49;98;98;1;2;4921;08;68;536,316036291246
5519524;1;1;1;70;68;12;48;1; ;2;12;1; ;6;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;41;03;03;1;1;4111;08;68;475,285076919868
5519543;1;1;1;70;68;52;48;4; ;2;52;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;49;98;98;1;2;4921;08;68;528,839030949514
5519545;1;2;1;70;68;12;48;1; ;2;42;1; ;6;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;1200000;2; ;56;53;33;1;1;5613;08;68;601,791555953647
5519546;1;1;1;70;68;18;48;1; ;2;18;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;86;59;59;1;2;8610;08;68;592,994069460036
5519555;1;2;1;70;68;12;48;4; ;2;12;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;15;80;80;1;1;1522;08;68;592,994069460036
5519559;1;1;1;70;68;3;49;1; ;2;12;4; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;908600;2; ;14;79;79;1;1;1410;08;68;323,622629896536
5519560;1;1;1;70;68;106;72;1; ;2;131;4; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;3000000;2; ;84;02;02;1;2;8412;08;68;569,20211610471
5519564;1;4;1;70;68;8;48;1; ;2;20;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;15;80;80;1;1;1522;08;68;534,880668843642
5519565;2;1;2;70;68;20;48;1; ;2;56;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;56;45;45;1;2;5619;08;68;572,333197304361
5519582;1;1;1;70;68;1;48;1; ;2;2;1; ;5;2;2; ; ; ; ; ; ; ; ; ; ;1;1;1200000;1000000;2; ;86;21;21;1;1;8610;08;68;614,303437947174
5519582;1;3;1;70;68;8;48;1; ;2;6;1; ;4;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;1014000;2; ;82;39;39;1;1;8299;08;68;614,303437947174
5519584;1;2;1;70;68;16;48;1; ;2;16;1; ;8;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;10;98;98;1;2;1081;08;68;532,848646127882
5519586;1;3;1;70;68;32;36;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;908526; ; ; ;38; ;1;2;.;08;68;414,031416654098
5519592;1;1;1;70;68;52;48;1; ;2;52;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;63;33;34;1;2;6311;08;68;522,321850734619
5519599;1;3;1;70;68;2;48;1; ;2;4;4; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;1;100000;1000000;2; ;94;97;39;1;1;9499;08;68;514,844845392887
5519614;1;2;1;70;68;12;48;1; ;2;20;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;56;55;53;1;1;5619;08;68;1276,190782605
5519617;1;2;1;70;68;68;48;1; ;2;68;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;3000000;2; ;35;02;02;1;2;3511;08;68;511,58891226872
