DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;P1806;P1519;P1883;RAMA2D_D_R4;OFICIO1;OFICIO2;DSI;DSCY;MES;RAMA4D_D_R4;DPTO;fex_c_2011
5525126;1;3;1;70;2;4;48;4; ;2;4;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;700000;800000;2; ;49;98;98;1;1;08;4921;23;851,632547660461
5525192;1;2;1;70;2;3;36;8; ;2;31;8; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;400000;2; ;01;62;62;1;1;08;0141;70;1632,57811165931
5525207;1;1;1;70;2;3;48;2; ;2;600;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1200000;2; ;88;13;13;1;1;08;8891;70;2228,76002120063
5525208;1;3;1;70;2;4;40;3; ;2;75;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;200000;2; ;97;54;54;1;1;08;9700;70;972,283485648698
5525216;1;1;1;70;2;4;40;3; ;2;16;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;400000;2; ;97;54;54;1;1;08;9700;70;1699,81798009768
5529559;1;3;1;70;2;6;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;908600; ; ; ;45; ;1;1;08;.;68;1678,53900521522
5529596;1;3;1;70;2;31;48;1; ;2;31;4; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;91;05;59;1;2;08;9103;76;947,707588309206
5529612;1;2;1;70;2;6;27;4; ;2;6;4; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;600000;2; ;81;55;55;1;1;08;8121;76;1060,94474749215
5530128;1;1;1;70;2;2;48;1; ;2;32;2; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;86;55;55;1;1;08;8610;70;1209,68216883624
5530179;1;3;1;70;2;14;45;1; ;2;16;1; ;7;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;22;97;97;1;2;08;2229;70;1059,51164359311
5530179;1;4;1;70;2;16;40;3; ;2;18;1; ;8;2;7; ; ; ; ; ; ; ; ; ; ;1;2; ;500000;2; ;13;54;97;1;2;08;1312;70;1059,51164359311
5530182;1;2;1;70;2;2;40;1; ;2;26;4; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1400000;2; ;84;39;13;1;1;08;8414;70;1821,04579709027
5530182;1;3;1;70;2;48;40;1; ;2;36;2; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1500000;2; ;85;05;13;1;2;08;8530;70;1821,04579709027
5530186;1;4;1;70;2;8;40;1; ;2;52;1; ;8;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;86;59;59;1;1;08;8610;70;1459,07390111486
5530520;1;2;1;70;2;36;48;1; ;2;52;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;56;33;53;1;2;08;5630;50;474,245379482753
5530521;1;1;1;70;2;12;48;1; ;2;12;1; ;9;2;3; ; ; ; ; ; ; ; ; ; ;1;2; ;1200000;2; ;06;03;03;1;1;08;0610;50;1149,10806900208
5530523;1;3;1;70;2;2;44;1; ;2;2;1; ;7;2;1; ; ; ; ; ; ; ; ; ; ;1;1;750000;900000;2; ;01;33;62;1;1;08;0126;50;746,766819328695
5530524;1;1;1;70;2;12;48;1; ;2;24;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;600000;2; ;56;53;53;1;1;08;5611;50;752,552931134072
5530587;1;1;1;70;2;14;50;3; ;2;14;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;700000;2; ;97;54;54;1;2;08;9700;13;2120,86653945475
5530590;1;2;1;70;2;24;48;1; ;2;24;4; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1200000;2; ;86;59;59;1;2;08;8610;13;1100,93142529264
