DIRECTORIO;SECUENCIA_P;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5210S1;P5210S2;P5210S3;P5210S4;P5210S5;P5210S6;P5210S7;P5210S8;P5210S9;P5210S10;P5210S11;P5210S14;P5210S15;P5210S16;P5210S17;P5210S18;P5210S19;P5210S20;P5210S21;P5210S22;P5210S24;P5220;P5220S1;P6008;P6007;P6007S1;HOGAR;P4000;P4010;P4020;P4030S1;P4030S1A1;P4030S2;P4030S3;P4030S4;P4030S4A1;P4030S5;P4040;REGIS;AREA;CLASE;MES;DPTO;fex_c_2011
5518780;1;2;1;1;1;1;1;1;3;4; ; ; ;700000; ;2;1;2;1;1;1;1;1;2;1;1;2;2;2;2;2;2;2;2;2;2;1;1;1;2; ;1;2;1;4;1;3;1;1;1;3;1;1;01;11;1;08;11;3028,28099318403
5518781;1;1;1;1;2;1;1;6; ;4; ; ; ;150000; ;2;2;2;2;1;2;2;2;2;2;1;2;1;2;2;2;1;2;2;2;2;1;1;4;2; ;1;3;1;4;1;1;1;1;1;3;1;1;01;13;1;08;13;411,232571705829
5518782;1;3;2;1;2;1;1;1;3;4; ; ; ;350000; ;2;2;2;2;1;1;1;2;2;2;1;2;2;2;2;2;1;2;2;2;2;1;4;5;2; ;1;2;1;4;1;1;1;1;1;3;1;1;01;13;1;08;13;403,8097390687
5518783;1;2;1;1;1;1;1;4;3;3; ; ; ; ;300000;2;2;2;2;1;1;1;2;2;2;1;2;2;2;2;2;1;2;2;2;2;1;2;3;2; ;1;2;1;4;1;1;1;1;1;3;1;1;01;13;1;08;13;504,136471634295
5518784;1;2;1;1;1;1;1;4;3;3; ; ; ; ;300000;2;2;2;2;1;1;1;2;2;2;1;2;1;2;2;2;1;2;2;2;2;1;2;5;2; ;1;2;1;4;1;1;1;1;1;3;1;1;01;13;1;08;13;538,145262081809
5518785;1;3;2;1;1;1;1;1;3;3; ; ; ; ;350000;2;2;2;1;1;1;1;2;2;2;1;2;2;2;2;2;1;2;2;2;2;1;3;5;2; ;1;2;1;4;1;1;1;1;1;3;1;1;01;13;1;08;13;609,312404913071
5518786;1;3;1;1;1;1;1;1;3;4; ; ; ;400000; ;2;2;2;2;1;2;1;2;2;2;1;2;1;2;2;2;1;2;2;2;2;1;1;1;2; ;1;2;1;4;1;1;1;1;1;3;1;1;01;13;1;08;13;470,127681186782
5518787;1;2;1;1;1;1;1;1;3;4; ; ; ;200000; ;2;2;2;1;1;1;1;2;2;2;1;2;2;2;2;2;1;2;2;2;2;1;2;3;2; ;1;2;1;4;1;1;1;1;1;3;1;1;01;13;1;08;13;409,578653165394
5518788;1;4;4;1;1;1;1;1;3;4; ; ; ;400000; ;2;2;2;2;1;1;1;2;2;2;1;2;2;2;2;2;1;2;2;2;2;1;5;9;2; ;1;1;1;2;1;1;1;1;1;3;1;1;01;13;1;08;13;480,842569235674
5518789;1;4;3;2;1;1;1;1;4;4; ; ; ;300000; ;2;2;2;2;1;1;1;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;2;4;2; ;1;2;1;2;1;1;2;2;1;3;1;1;01;13;1;08;13;590,644451005912
5518790;1;2;1;2;1;1;1;3;3;4; ; ; ;200000; ;2;2;2;1;1;1;1;2;2;2;1;2;1;2;2;2;1;2;2;2;2;1;2;4;2; ;1;2;1;2;1;1;1;2;1;3;1;1;01;13;1;08;13;451,562527677567
5518791;1;2;1;2;1;1;1;3;3;3; ; ; ; ;300000;2;2;2;2;2;2;1;2;2;2;1;2;2;2;2;2;1;2;2;2;2;1;2;3;2; ;1;2;1;4;1;1;1;2;1;3;1;1;01;13;1;08;13;499,958790691071
5518792;1;2;1;1;1;1;1;1;4;4; ; ; ;99; ;2;2;2;2;1;1;1;2;2;2;1;2;2;2;2;2;1;2;2;2;2;1;2;5;2; ;1;2;1;1;1;1;1;1;1;3;1;1;01;13;1;08;13;524,413310120753
5518793;1;2;1;1;2;1;1;6; ;4; ; ; ;200000; ;2;2;2;2;2;2;1;2;2;2;1;2;2;2;2;2;1;2;2;2;2;2; ;2;2; ;1;3;1;2;1;1;1;1;1;3;1;1;01;13;1;08;13;402,716804973781
5518794;1;2;1;1;1;1;1;1;4;4; ; ; ;99; ;2;2;2;2;1;1;1;2;2;2;1;2;2;2;2;2;1;2;2;2;2;1;1;1;2; ;1;2;1;1;1;1;1;1;1;3;1;1;01;13;1;08;13;470,127681186782
5518795;1;2;1;1;1;1;1;2;4;4; ; ; ;250000; ;2;2;2;2;1;1;1;2;2;2;1;2;2;2;2;2;1;2;2;2;2;1;1;5;2; ;1;3;1;2;1;1;2;1;1;3;1;1;01;13;1;08;13;585,924435134492
5518796;1;3;2;1;1;1;1;1;3;3; ; ; ; ;600000;2;2;1;1;1;1;1;2;2;2;1;2;2;1;2;2;1;2;2;2;2;1;2;3;2; ;1;2;1;4;1;3;1;1;1;7;1;1;01;13;1;08;13;452,624710548106
5518797;1;2;1;1;1;1;1;1;3;3; ; ; ; ;350000;2;2;2;2;1;1;1;2;2;2;1;2;2;2;2;2;1;2;2;2;2;1;2;4;2; ;1;2;1;2;1;1;1;1;1;3;1;1;01;13;1;08;13;605,556138294809
5518798;1;2;1;1;1;1;1;3;3;3; ; ; ; ;400000;2;1;2;2;1;1;1;2;2;2;1;2;2;2;2;2;1;2;2;2;2;1;1;1;2; ;1;2;1;4;1;1;1;1;1;3;1;1;01;13;1;08;13;408,512103514291
5518799;1;3;2;1;1;1;1;1;3;4; ; ; ;99; ;2;2;2;2;1;1;1;2;2;2;1;2;2;2;2;2;1;2;2;2;2;1;4;4;2; ;1;2;1;2;1;1;1;1;1;3;1;2;01;13;1;08;13;361,825864556527
