DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;P1806;P1519;P1883;RAMA2D_D_R4;OFICIO1;OFICIO2;DSI;DSCY;MES;RAMA4D_D_R4;DPTO;fex_c_2011
5518784;1;1;1;70;13;1;24;48;1; ;2;32;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;47;45;45;1;2;08;4774;13;538,145262081809
5518785;1;1;1;70;13;1;6;48;1; ;2;6;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908000;2; ;68;58;58;1;1;08;6820;13;609,312404913071
5518785;1;5;1;70;13;1;20;48;2; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;2000000; ; ; ;12; ;1;2;08;.;13;609,312404913071
5518788;1;4;1;70;13;1;32;48;1; ;2;32;1; ;7;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908000;2; ;86;32;32;1;2;08;8610;13;480,842569235674
5518788;1;6;1;70;13;1;12;48;1; ;2;96;1; ;5;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;2000000;2; ;85;19;19;1;1;08;8530;13;480,842569235674
5518789;1;1;1;70;13;1;16;48;4; ;2;16;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;400000;2; ;56;53;53;1;2;08;5619;13;590,644451005912
5518793;1;1;1;70;13;1;12;40;1; ;2;12;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;97;53;59;1;1;08;9700;13;402,716804973781
5518799;1;2;1;70;13;1;24;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;908526; ; ; ;59; ;1;2;08;.;13;361,825864556527
5518804;1;3;1;70;13;1;24;40;1; ;2;56;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;92;33;33;1;2;08;9200;13;527,105732946972
5518805;1;3;1;70;13;1;48;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;1500000; ; ; ;12; ;1;2;08;.;13;449,074036065037
5518811;1;5;1;70;13;1;20;40;1; ;2;52;4; ;7;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;41;39;95;1;2;08;4111;13;480,419493989208
5518814;1;2;1;70;13;1;259;48;1; ;2;260;1; ;7;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;25000000;2; ;79;21;21;1;2;08;7911;13;339,062195379043
5518814;1;3;1;70;13;1;156;48;1; ;2;156;1; ;7;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;42;39;39;1;2;08;4210;13;339,062195379043
5518816;1;2;1;70;13;1;32;40;1; ;2;32;1; ;7;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;41;33;33;1;2;08;4111;13;495,230041801665
5518818;1;2;1;70;13;1;36;48;1; ;2;36;1; ;5;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;55;32;50;1;2;08;5511;13;402,716804973781
5518833;1;1;1;70;13;1;78;48;1; ;2;78;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;56;39;39;1;2;08;5611;13;539,671656701988
5518847;1;1;1;70;13;1;84;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;2000000; ; ; ;15; ;1;2;08;.;13;408,512103514291
5518849;1;1;1;70;13;1;48;48;1; ;2;48;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;61;98;38;1;2;08;6190;13;364,070488613967
5518849;1;3;1;70;13;1;104;48;1; ;2;104;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;2500000;2; ;49;02;39;1;2;08;4923;13;364,070488613967
5518852;1;2;1;70;13;1;4;48;1; ;2;1;1; ;6;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;55;53;53;1;1;08;5511;13;518,973403890568
5518857;1;3;1;70;13;1;8;48;1; ;2;8;1; ;6;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;68;39;39;1;1;08;6810;13;331,220654276011
5518865;1;2;1;70;15;1;4;40;1; ;2;4;1; ;9;2;1; ; ;1; ; ; ; ; ; ; ; ;2; ;1500000;1;1;85;05;13;1;1;08;8544;15;67,3983382439897
5518873;1;1;1;70;15;1;150;40;1; ;2;150;2; ;9;2;5; ; ;1; ; ; ; ; ; ; ; ;2; ;2500000;1;1;84;21;21;1;2;08;8413;15;139,418114132333
5518877;1;2;1;70;15;1;48;40;1; ;2;48;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;56;53;53;1;2;08;5611;15;168,084828227213
5518878;1;3;1;70;15;1;52;40;1; ;2;52;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;01;53;62;1;2;08;0125;15;158,615424691535
5518887;1;1;1;70;15;1;4;48;1; ;2;4;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;600000;900000;2; ;47;45;41;1;1;08;4711;15;130,227874747857
