DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P7430;P7450;P7450S1;P7452;P7454;P7456;P7458;P7458S1;P7460;P7470;P7472;P7472S1;P744;P1884;P1807;P6921;INI;MES;p7440;DPTO;fex_c_2011
5518780;1;1;1;80;11;1;3; ;2; ; ;8; ;2; ;2; ; ; ; ;2;1;08;4;11;3028,28099318403
5518781;1;2;1;80;13;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;08; ;13;411,232571705829
5518781;1;3;1;80;13;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;08; ;13;411,232571705829
5518781;1;4;1;80;13;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;08; ;13;411,232571705829
5518782;1;3;1;80;13;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;08; ;13;403,8097390687
5518782;1;4;1;80;13;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;08; ;13;403,8097390687
5518782;1;5;1;80;13;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;08; ;13;403,8097390687
5518784;1;3;1;80;13;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;08;3;13;538,145262081809
5518788;1;2;1;80;13;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;08;4;13;480,842569235674
5518788;1;8;1;80;13;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;08; ;13;480,842569235674
5518789;1;2;1;80;13;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;08; ;13;590,644451005912
5518789;1;3;1;80;13;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;08; ;13;590,644451005912
5518792;1;1;1;80;13;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;08; ;13;524,413310120753
5518792;1;3;1;80;13;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;08;3;13;524,413310120753
5518794;1;1;1;80;13;1;4; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;08;4;13;470,127681186782
