DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;P1806;P1519;P1883;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;MES;RAMA4D_D;DPTO;fex_c_2011
4986996;1;2;1;70;2;4;40;1; ;2;156;8; ;8;2;1; ; ; ; ; ; ; ; ; ; ;1;1;120000;828116;2; ;55;62;01;1;1;08;0115;76;1823,84187670494
4987000;1;5;1;70;2;12;48;8; ;2;16;8; ;6;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;62;62;01;1;1;08;0114;76;2214,88699571644
4987802;1;1;1;70;2;6;48;8; ;2;6;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;62;61;01;1;1;08;0140;66;855,158893953415
4987828;1;3;1;70;2;5;48;1; ;2;7;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;53;53;55;1;1;08;5521;66;1729,361549443
4987829;1;4;1;70;2;16;48;1; ;2;16;1; ;5;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;58;97;52;1;2;08;5239;66;726,68758703024
4991317;1;2;1;70;2;12;48;1; ;2;32;1; ;2;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;828000;2; ;39;45;52;1;1;08;5233;05;4518,31671932349
4991317;1;3;1;70;2;2;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;828000; ; ;45; ; ;1;1;08; ;05;4518,31671932349
4991323;1;1;1;70;2;8;45;8; ;2;8;8; ;5;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;828000;2; ;62;62;01;1;1;08;0111;05;6004,54153928782
4991323;1;2;1;70;2;4;48;1; ;2;8;8; ;5;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;828000;2; ;45;62;01;1;1;08;0111;05;6004,54153928782
4991323;1;5;1;70;2;8;48;1; ;2;8;8; ;5;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;828000;2; ;45;62;01;1;1;08;0111;05;6004,54153928782
4991359;1;1;1;70;2;20;40;8; ;2;20;8; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;62;62;01;1;2;08;0111;05;5444,38787004694
4991362;1;1;1;70;2;2;48;8; ;2;2;8; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;1;120000;828000;2; ;62;62;01;1;1;08;0121;05;8519,90458231353
4991377;1;6;1;70;2;50;48;1; ;2;53;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;828000;2; ;45;45;52;1;2;08;5233;05;5658,82196648074
4991378;1;2;1;70;2;32;48;1; ;2;104;3; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;828000;2; ;54;54;95;1;2;08;9500;05;5348,89911216527
