DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P6016;P6020;P6030S1;P6030S3;P6040;P6050;P6070;P6081;P6081S1;P6083;P6083S1;P6071;P6071S1;P6090;P6140;P6150;P6100;P6110;P6120;P6125;P6160;P6170;P6175;P6210;P6210S1;P6220;P6269;CLASE;ESC;MES;DPTO;fex_c_2011
4982647;1;1;1;10;1;2;12;1977;41;1;2;2; ;2; ;2; ;2;1;180; ; ; ;2;1;2; ;5;11;2; ;2;11;08;76;932,974912974819
4982647;1;2;1;10;1;1;4;2002;17;5;6;2; ;2; ; ; ;1; ; ;1;5; ;1;1;1;1;5;10;1; ;2;10;08;76;932,974912974819
4982648;1;1;1;10;1;1;8;1964;54;1;2;3; ;3; ;1;2;1; ; ;3; ; ;2;1;2; ;3;4; ; ;2;4;08;76;1610,68790898989
4982648;1;2;1;10;2;2;8;1967;51;2;2;3; ;3; ;1;1;1; ; ;3; ; ;2;1;2; ;3;4; ; ;2;4;08;76;1610,68790898989
4982648;1;3;1;10;3;1;8;1985;34;3;4;1;1;1;2; ; ;2;1;14; ; ; ;2;1;2; ;4;9; ; ;2;9;08;76;1610,68790898989
4982648;1;4;1;10;2;1;11;2004;14;4;6;1;3;2; ; ; ;2;1;3; ; ; ;2;1;1;1;4;6; ; ;2;6;08;76;1610,68790898989
4982649;1;1;1;10;1;1;7;1968;51;1;2;2; ;3; ;2; ;2;1;6; ; ; ;2;1;2; ;3;4; ; ;2;4;08;76;1868,48566017245
4982650;1;1;1;10;1;1;12;1961;57;1;4;3; ;3; ; ; ;1; ; ;3; ; ;2;1;2; ;3;5; ; ;2;5;08;76;1184,07702134202
4982651;1;1;1;10;1;1;4;1980;39;1;4;2; ;2; ; ; ;1; ; ;1;1;98;2;1;1;2;6;5;2;2;2;16;08;76;1868,48566017245
4986996;1;1;1;10;1;1;4;1983;36;1;2;2; ;3; ;1;2;1; ; ;1;1;33124;2;1;2; ;5;11;2; ;2;11;08;76;1823,84187670494
4986996;1;2;1;10;2;2;2;1981;38;2;2;2; ;2; ;1;1;1; ; ;3; ; ;2;1;2; ;5;11;2; ;2;11;08;76;1823,84187670494
4986996;1;3;1;10;2;2;10;2004;14;3;6;1;1;1;2; ; ;1; ; ;3; ; ;2;1;1;1;4;8; ; ;2;8;08;76;1823,84187670494
4986996;1;4;1;10;2;2;5;2011;8;3; ;1;1;1;2; ; ;1; ; ;3; ; ;2;1;1;1;3;2; ; ;2;2;08;76;1823,84187670494
4986996;1;5;1;10;5;2;7;2001;18;5;6;2; ;2; ; ; ;1; ; ;1;5; ;2;1;2; ;5;11;2; ;2;11;08;76;1823,84187670494
4986997;1;1;1;10;1;1;5;1982;37;1;3;3; ;3; ;1;2;1; ; ;1;1;33124;2;1;2; ;5;11;2; ;2;11;08;76;1538,77148696062
4986997;1;2;1;10;2;2;1;1978;41;2;3;2; ;3; ;1;1;1; ; ;1;1;33124;2;1;2; ;5;11;2; ;2;11;08;76;1538,77148696062
4986997;1;3;1;10;3;2;2;2000;19;3;6;2; ;1;2; ; ;1; ; ;3; ; ;2;1;2; ;5;11;2; ;2;11;08;76;1538,77148696062
4986997;1;4;1;10;2;2;10;2004;14;3;6;2; ;1;2; ; ;1; ; ;1;5; ;2;1;1;1;4;8; ; ;2;8;08;76;1538,77148696062
4986998;1;1;1;10;1;2;2;1953;66;1;2;3; ;3; ;1;2;1; ; ;3; ; ;2;2;2; ;3;1; ; ;2;1;08;76;786,146505541461
4986998;1;2;1;10;2;1;5;1949;70;2;2;3; ;3; ;1;1;1; ; ;1;2;99374;2;1;2; ;3;2; ; ;2;2;08;76;786,146505541461
4986999;1;1;1;10;1;1;1;1997;22;1;2;2; ;2; ;1;2;1; ; ;3; ; ;2;1;2; ;3;5; ; ;2;5;08;76;1929,06129515511
4986999;1;2;1;10;2;2;5;2002;17;2;2;2; ;2; ;1;1;1; ; ;3; ; ;2;1;1;1;5;10;1; ;2;10;08;76;1929,06129515511
4986999;1;3;1;10;2;2;12;2017;1;3; ;1;1;1;2; ; ;1; ; ;3; ; ;2; ; ; ; ; ; ; ;2; ;08;76;1929,06129515511
4987000;1;1;1;10;1;1;2;1948;71;1;2;3; ;3; ;1;2;1; ; ;1;1;33124;2;1;2; ;3;5; ; ;2;5;08;76;2214,88699571644
4987000;1;2;1;10;2;2;4;1954;65;2;2;3; ;3; ;1;1;1; ; ;3; ; ;2;1;2; ;3;2; ; ;2;2;08;76;2214,88699571644
4987000;1;3;1;10;3;1;7;1973;46;3;6;1;1;1;2; ; ;1; ; ;3; ; ;2;2;2; ;1;0; ; ;2;0;08;76;2214,88699571644
4987000;1;4;1;10;4;1;3;1975;44;3;6;1;1;1;2; ; ;1; ; ;3; ; ;2;2;2; ;1;0; ; ;2;0;08;76;2214,88699571644
4987000;1;5;1;10;1;1;2;1978;41;3;6;1;1;1;2; ; ;1; ; ;3; ; ;2;1;1;1;3;1; ; ;2;1;08;76;2214,88699571644
4987000;1;6;1;10;2;2;5;2006;13;5;6;2; ;2; ; ; ;1; ; ;3; ; ;2;1;1;1;4;0; ; ;2;5;08;76;2214,88699571644
4987000;1;7;1;10;2;2;12;2011;7;5; ;2; ;2; ; ; ;1; ; ;3; ; ;2;1;1;1;3;0; ; ;2;0;08;76;2214,88699571644
4987001;1;1;1;10;1;1;3;1976;43;1;3;2; ;2; ;1;2;1; ; ;1;4; ;2;1;2; ;5;11;2; ;2;11;08;76;2045,13588647082
4987001;1;2;1;10;2;2;12;1976;42;2;3;2; ;2; ;1;1;1; ; ;1;5; ;2;1;2; ;3;5; ; ;2;5;08;76;2045,13588647082
4987001;1;3;1;10;3;1;2;2001;18;3;6;2; ;1;2; ; ;1; ; ;3; ; ;2;1;1;1;4;8; ; ;2;8;08;76;2045,13588647082
4987001;1;4;1;10;2;1;11;2016;2;3; ;1;1;1;2; ; ;1; ; ;1;5; ;2; ; ; ; ; ; ; ;2; ;08;76;2045,13588647082
4987002;1;1;1;10;1;1;12;1958;60;1;2;3; ;2; ;1;2;1; ; ;1;3;103515;2;1;2; ;3;1; ; ;2;1;08;76;939,018133321629
4987002;1;2;1;10;2;2;7;1966;53;2;2;3; ;2; ;1;1;1; ; ;1;5; ;2;1;2; ;4;7; ; ;2;7;08;76;939,018133321629
4987002;1;3;1;10;2;1;10;1982;36;3;6;1;1;1;2; ; ;1; ; ;1;3;103515;2;1;2; ;6;3;2;2;2;14;08;76;939,018133321629
4987003;1;1;1;10;1;1;12;1965;53;1;4;3; ;3; ; ; ;1; ; ;3; ; ;2;1;2; ;4;7; ; ;2;7;08;76;1868,48566017245
4987004;1;1;1;10;2;2;4;1945;74;1;5;3; ;3; ; ; ;1; ; ;1;2;99374;2;1;2; ;3;5; ; ;2;5;08;76;764,814581082458
4987004;1;2;1;10;2;2;5;1966;53;3;5;3; ;1;1; ; ;1; ; ;3; ; ;2;1;2; ;4;8; ; ;2;8;08;76;764,814581082458
4987005;1;1;1;10;1;1;8;1960;59;1;2;3; ;3; ;1;2;1; ; ;1;3;103515;2;1;2; ;6;7;4; ;2;18;08;76;786,146505541461
4987005;1;2;1;10;2;2;12;1941;77;2;2;3; ;3; ;1;1;1; ; ;1;5; ;2;1;2; ;3;4; ; ;2;4;08;76;786,146505541461
4987006;1;1;1;10;1;1;4;1949;70;1;3;3; ;3; ;1;2;1; ; ;1;2;99374;2;1;2; ;3;5; ; ;2;5;08;76;764,814581082458
4987006;1;2;1;10;2;2;5;1965;54;2;3;3; ;2; ;1;1;1; ; ;1;5; ;2;1;2; ;3;5; ; ;2;5;08;76;764,814581082458
4987007;1;1;1;10;1;2;11;1986;32;1;4;2; ;2; ; ; ;1; ; ;1;1;33124;2;1;2; ;5;11;2; ;2;11;08;76;932,974912974819
4987007;1;2;1;10;1;1;3;2006;13;3;6;2; ;1;1; ; ;1; ; ;1;5; ;2;1;1;1;4;6; ; ;2;6;08;76;932,974912974819
4987008;1;1;1;10;1;1;9;1963;55;1;3;2; ;3; ;1;2;1; ; ;1;3;160000;2;1;2; ;6;5;4; ;2;16;08;76;913,247111949507
4987008;1;2;1;10;2;2;2;1962;57;2;3;3; ;3; ;1;1;1; ; ;1;5; ;2;1;2; ;6;4;3; ;2;15;08;76;913,247111949507
4987008;1;3;1;10;3;2;12;1996;22;3;6;1;1;1;2; ; ;1; ; ;1;5; ;2;1;1;2;6;3;2;2;2;14;08;76;913,247111949507
4987021;1;1;1;10;1;1;7;1973;46;1;3;3; ;2; ;1;2;1; ; ;3; ; ;2;1;2; ;4;8; ; ;2;8;08;76;2915,07504462577
4987021;1;2;1;10;1;2;4;1977;42;2;3;2; ;2; ;1;1;1; ; ;3; ; ;2;1;2; ;3;5; ; ;2;5;08;76;2915,07504462577
