DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,P7480,P7480S1,P7480S3,P7480S4,P7480S5,P7480S6,P7480S7,P7480S8,P7480S9,P7480S10,P7480S11,P7480S1A1,P7480S3A1,P7480S4A1,P7480S5A1,P7480S6A1,P7480S7A1,P7480S8A1,P7480S9A1,P7480S10A1,P7480S11A1,AREA,MES,DPTO,fex_c_2011
2636265,1,1,1,90,,2,1,2,1,2,2,2,2,2,2,,14,,21,,,,,,,73,3,73,235.157.923.471.229
2636265,1,2,1,90,,2,1,2,1,2,2,2,2,2,2,,7,,21,,,,,,,73,3,73,235.157.923.471.229
2636267,1,1,1,90,,2,1,2,2,2,2,2,2,2,2,,7,,,,,,,,,73,3,73,18.388.213.807.292
2636267,1,2,1,90,,2,1,2,2,2,2,1,2,2,2,,1,,,,,4,,,,73,3,73,18.388.213.807.292
2636268,1,1,1,90,,2,1,2,1,2,2,1,2,2,2,,15,,15,,,35,,,,73,3,73,262.439.682.546.141
2636268,1,2,1,90,,2,1,2,1,2,2,2,2,2,2,,30,,25,,,,,,,73,3,73,262.439.682.546.141
2636268,1,3,1,90,,2,1,2,2,2,2,2,2,2,2,,35,,,,,,,,,73,3,73,262.439.682.546.141
2636269,1,1,1,90,,2,1,2,1,2,2,2,2,2,2,,30,,35,,,,,,,73,3,73,218.079.263.310.641
2636270,1,1,1,90,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,73,3,73,221.539.459.736.189
2636270,1,2,1,90,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,73,3,73,221.539.459.736.189
2636271,1,1,1,90,,2,1,2,1,2,2,2,2,2,2,,35,,14,,,,,,,73,3,73,180.679.112.168.333
2636271,1,2,1,90,,2,1,2,1,2,2,2,2,2,2,,3,,14,,,,,,,73,3,73,180.679.112.168.333
2636271,1,4,1,90,,2,1,2,2,2,2,1,2,2,2,,21,,,,,5,,,,73,3,73,180.679.112.168.333
2636273,1,1,1,90,,2,1,2,2,2,2,2,2,2,2,,24,,,,,,,,,73,3,73,19.050.166.364.551
2636273,1,2,1,90,,2,1,2,2,2,2,2,2,2,2,,5,,,,,,,,,73,3,73,19.050.166.364.551
2636273,1,3,1,90,,2,1,2,2,2,2,2,2,2,2,,7,,,,,,,,,73,3,73,19.050.166.364.551
2636274,1,1,1,90,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,73,3,73,200.186.430.591.269
2636274,1,2,1,90,,2,1,2,2,2,2,2,2,2,2,,14,,,,,,,,,73,3,73,200.186.430.591.269
2636275,1,1,1,90,,2,1,2,1,1,2,2,2,2,2,,42,,9,15,,,,,,73,3,73,144.233.853.811.043
2636275,1,2,1,90,,2,1,2,2,1,2,2,2,2,2,,7,,,9,,,,,,73,3,73,144.233.853.811.043
2636275,1,3,1,90,,2,1,2,2,2,2,2,2,2,2,,1,,,,,,,,,73,3,73,144.233.853.811.043
2636275,1,4,1,90,,2,1,2,1,1,2,2,2,2,2,,12,,8,14,,,,,,73,3,73,144.233.853.811.043
2636275,1,5,1,90,,2,1,2,1,2,2,2,2,2,2,,24,,48,,,,,,,73,3,73,144.233.853.811.043
2636276,1,1,1,90,,2,1,2,2,2,2,2,2,2,2,,15,,,,,,,,,73,3,73,242.885.519.366.378
2636277,1,1,1,90,,2,2,2,1,2,2,2,2,2,2,,,,13,,,,,,,73,3,73,204.163.824.138.096
2636277,1,2,1,90,,2,1,2,1,2,2,2,2,2,2,,35,,28,,,,,,,73,3,73,204.163.824.138.096
2636278,1,1,1,90,,2,1,2,2,2,2,2,2,2,2,,3,,,,,,,,,73,3,73,193.704.689.550.097
2636278,1,2,1,90,,2,1,2,2,2,2,1,2,2,1,,10,,,,,5,,,1,73,3,73,193.704.689.550.097
2636279,1,1,1,90,,2,1,2,2,2,2,2,2,2,2,,2,,,,,,,,,73,3,73,193.704.689.550.097
2636279,1,2,1,90,,2,1,2,2,2,2,2,2,2,2,,10,,,,,,,,,73,3,73,193.704.689.550.097
2636280,1,1,1,90,,2,1,2,2,2,2,2,2,2,2,,5,,,,,,,,,73,3,73,210.645.565.179.268
2636280,1,2,1,90,,2,1,2,2,2,2,2,2,2,2,,36,,,,,,,,,73,3,73,210.645.565.179.268
2636281,1,1,1,90,,2,1,2,2,2,2,2,2,2,2,,35,,,,,,,,,73,3,73,200.704.762.559.833
2636281,1,2,1,90,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,73,3,73,200.704.762.559.833
2636281,1,3,1,90,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,73,3,73,200.704.762.559.833
2636282,1,1,1,90,,2,2,2,1,2,2,1,2,2,2,,,,38,,,10,,,,73,3,73,211.419.932.821.508
2636282,1,2,1,90,,2,1,2,1,2,2,2,2,2,2,,30,,70,,,,,,,73,3,73,211.419.932.821.508
2636282,1,3,1,90,,2,1,2,1,2,2,2,2,2,2,,2,,5,,,,,,,73,3,73,211.419.932.821.508
2636283,1,1,1,90,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,73,3,73,197.979.058.534.428
2636284,1,1,1,90,,2,1,2,2,2,2,2,2,2,2,,21,,,,,,,,,73,3,73,20.390.778.846.442
