DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P6016;P6020;P6030;P6030S1;P6030S3;P6040;P6050;P6070;P6090;P6140;P6150;P6100;P6110;P6120;P6125;P6160;P6170;P6175;P6210;P6210S1;P6220;CLASE;ESC;MES;DPTO;fex_c_2011
2641832;1;1;1;10;1;1;1;12;1979;31;1;2;1;;;3;;;2;1;2;;5;11;2;2;11;3;63;107.449.586.373.972
2641832;1;2;1;10;2;2;1;6;1982;28;2;2;1;;;3;;;2;1;2;;5;11;2;2;11;3;63;107.449.586.373.972
2641832;1;3;1;10;2;1;1;11;2007;3;3;;1;;;3;;;2;2;2;;1;0;;2;0;3;63;107.449.586.373.972
2641833;1;1;1;10;1;1;1;5;1960;50;1;2;1;;;3;;;2;1;2;;1;0;;2;0;3;63;109.435.402.499.557
2641833;1;2;1;10;2;2;1;1;1967;44;2;2;1;;;3;;;2;2;2;;1;0;;2;0;3;63;109.435.402.499.557
2641834;1;1;1;10;1;1;1;6;1962;48;1;2;1;;;1;4;;2;1;2;;4;9;;2;9;3;63;109.651.362.570.342
2641834;1;2;1;10;2;2;1;3;1982;29;2;2;1;;;1;5;;2;1;2;;3;4;;2;4;3;63;109.651.362.570.342
2641834;1;3;1;10;2;1;1;2;2005;6;3;;1;;;1;5;;2;2;1;1;2;1;;2;0;3;63;109.651.362.570.342
2641834;1;4;1;10;4;1;1;8;1948;62;8;3;1;;;3;;;2;1;2;;3;5;;2;5;3;63;109.651.362.570.342
2641834;1;5;1;10;5;1;1;8;1958;52;8;6;9;;;;;;2;1;2;;4;7;;2;7;3;63;109.651.362.570.342
2641845;1;1;1;10;1;1;1;12;1972;38;1;2;1;;;1;4;;2;1;2;;3;2;;2;2;3;63;109.435.402.499.557
2641845;1;2;1;10;2;2;1;10;1972;38;2;2;1;;;1;5;;2;1;2;;1;0;;2;0;3;63;109.435.402.499.557
2641846;1;1;1;10;1;1;1;3;1958;53;1;2;1;;;1;1;21500;2;1;2;;3;5;;2;5;3;63;114.300.457.066.367
2641846;1;2;1;10;2;2;1;3;1968;43;2;2;1;;;1;5;;2;1;2;;3;4;;2;4;3;63;114.300.457.066.367
2641846;1;3;1;10;3;1;1;6;1996;14;3;6;2;1;24;;;;2;1;1;1;4;6;;2;6;3;63;114.300.457.066.367
2641847;1;1;1;10;1;1;1;3;1980;30;1;2;1;;;1;1;21500;2;1;2;;5;11;2;2;11;3;63;105.463.770.248.386
2641847;1;2;1;10;2;2;1;9;1981;29;2;2;1;;;1;5;;2;1;2;;4;6;;2;6;3;63;105.463.770.248.386
