Directorio;Secuencia_p;Orden;Hogar;Regis;P7480;P7480s1;P7480s3;P7480s4;P7480s5;P7480s6;P7480s7;P7480s8;P7480s9;P7480s10;P7480s11;P7480s1a1;P7480s3a1;P7480s4a1;P7480s5a1;P7480s6a1;P7480s7a1;P7480s8a1;P7480s9a1;P7480s10a1;P7480s11a1;Fex_c_2011;Clase;Mes;Dpto;Area
2969387;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;139,397534143207;1;06;63;63
2969387;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;35; ; ; ; ; ; ; ; ;139,397534143207;1;06;63;63
2969387;1;3;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;139,397534143207;1;06;63;63
2969388;1;1;1;90; ;2;1;2;2;2;2;2;2;2;1; ;15; ; ; ; ; ; ; ;2;130,382035934516;1;06;63;63
2969388;1;2;1;90; ;2;1;2;2;2;2;2;2;2;1; ;21; ; ; ; ; ; ; ;2;130,382035934516;1;06;63;63
2969389;1;1;1;90; ;2;1;2;2;2;2;1;2;2;2; ;21; ; ; ; ;10; ; ; ;183,119163394211;1;06;63;63
2969390;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;35; ; ; ; ; ; ; ; ;80,8184351095111;1;06;63;63
2969390;1;2;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;80,8184351095111;1;06;63;63
2969391;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;80,8184351095111;1;06;63;63
2969391;1;2;1;90; ;2;1;2;2;1;2;2;2;2;2; ;1; ; ;18; ; ; ; ; ;80,8184351095111;1;06;63;63
2969392;1;1;1;90; ;2;1;2;2;2;2;2;1;2;2; ;2; ; ; ; ; ;3; ; ;180,223384881728;1;06;63;63
2969392;1;2;1;90; ;2;1;2;1;2;2;2;2;2;2; ;35; ;25; ; ; ; ; ; ;180,223384881728;1;06;63;63
2969393;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;180,223384881728;1;06;63;63
2969393;1;2;1;90; ;2;1;2;1;2;2;2;2;2;2; ;35; ;25; ; ; ; ; ; ;180,223384881728;1;06;63;63
2969394;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;143,212835144967;1;06;63;63
2969394;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;20; ; ; ; ; ; ; ; ;143,212835144967;1;06;63;63
2969395;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;130,382035934516;1;06;63;63
2969395;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;35; ; ; ; ; ; ; ; ;130,382035934516;1;06;63;63
2969397;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;2; ; ; ; ; ; ; ; ;231,665037459272;1;06;73;73
2969397;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;18; ; ; ; ; ; ; ; ;231,665037459272;1;06;73;73
2969398;1;1;1;90; ;2;2;2;2;2;2;2;2;1;2; ; ; ; ; ; ; ; ;10; ;235,535506470169;1;06;73;73
2969398;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;24; ; ; ; ; ; ; ; ;235,535506470169;1;06;73;73
2969399;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;301,312007374586;1;06;73;73
2969399;1;2;1;90; ;2;1;2;1;2;2;2;2;2;2; ;24; ;24; ; ; ; ; ; ;301,312007374586;1;06;73;73
2969399;2;1;2;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;301,312007374586;1;06;73;73
2969399;2;2;2;90; ;2;1;2;1;2;2;2;2;2;2; ;24; ;12; ; ; ; ; ; ;301,312007374586;1;06;73;73
2969400;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;175,771861820795;1;06;73;73
2969401;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;15; ; ; ; ; ; ; ; ;370,091184698319;1;06;73;73
2969401;1;2;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;370,091184698319;1;06;73;73
2969401;1;3;1;90; ;2;1;2;2;2;2;2;2;2;2; ;2; ; ; ; ; ; ; ; ;370,091184698319;1;06;73;73
2969402;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;288,693818356267;1;06;73;73
2969403;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;6; ; ; ; ; ; ; ; ;175,771861820795;1;06;73;73
2969404;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;2; ; ; ; ; ; ; ; ;235,535506470169;1;06;73;73
2969404;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;35; ; ; ; ; ; ; ; ;235,535506470169;1;06;73;73
2969405;1;1;1;90; ;2;1;2;2;2;2;1;2;2;2; ;10; ; ; ; ;20; ; ; ;220,979775887375;1;06;73;73
2969405;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;10; ; ; ; ; ; ; ; ;220,979775887375;1;06;73;73
2969405;1;3;1;90; ;2;1;2;2;2;2;2;2;2;1; ;8; ; ; ; ; ; ; ;7;220,979775887375;1;06;73;73
2969406;1;1;1;90; ;2;1;2;1;2;2;2;2;2;2; ;25; ;45; ; ; ; ; ; ;244,283226477592;1;06;73;73
2969406;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;3; ; ; ; ; ; ; ; ;244,283226477592;1;06;73;73
2969406;1;3;1;90; ;2;1;2;2;2;2;2;2;2;2; ;3; ; ; ; ; ; ; ; ;244,283226477592;1;06;73;73
2969406;1;6;1;90; ;2;1;2;2;2;2;2;2;2;2; ;8; ; ; ; ; ; ; ; ;244,283226477592;1;06;73;73
2969406;1;7;1;90; ;2;1;2;1;2;2;2;2;2;2; ;6; ;4; ; ; ; ; ; ;244,283226477592;1;06;73;73
2969407;1;1;1;90; ;2;1;2;2;2;1;2;2;2;2; ;6; ; ; ;3; ; ; ; ;265,924491405072;1;06;73;73
2969407;1;2;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;265,924491405072;1;06;73;73
2969408;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;21; ; ; ; ; ; ; ; ;210,031315766594;1;06;73;73
2969410;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;25; ; ; ; ; ; ; ; ;210,031315766594;1;06;73;73
2969411;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;15; ; ; ; ; ; ; ; ;201,27605252437;1;06;73;73
2969411;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;20; ; ; ; ; ; ; ; ;201,27605252437;1;06;73;73
