DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P7480;P7480S1;P7480S3;P7480S4;P7480S5;P7480S6;P7480S7;P7480S8;P7480S9;P7480S10;P7480S11;P7480S1A1;P7480S3A1;P7480S4A1;P7480S5A1;P7480S6A1;P7480S7A1;P7480S8A1;P7480S9A1;P7480S10A1;P7480S11A1;clase;DPTO;fex_c_2011
1162960;1;1;1;90; ;1;1;2;2;2;2;2;2;2;2;18;6; ; ; ; ; ; ; ; ;2;44;343,689275102094
1162960;1;2;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;2;44;343,689275102094
1162960;1;3;1;90; ;1;2;2;2;2;2;2;2;2;2;12; ; ; ; ; ; ; ; ; ;2;44;343,689275102094
1162961;1;1;1;90; ;1;1;1;1;2;2;2;2;2;2;4;30;5;40; ; ; ; ; ; ;2;44;690,928696052101
1162961;1;2;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;2;44;690,928696052101
1162961;1;3;1;90; ;2;1;2;1;2;2;2;2;2;2; ;5; ;6; ; ; ; ; ; ;2;44;690,928696052101
1162961;1;4;1;90; ;2;1;1;2;2;2;2;2;2;2; ;3;4; ; ; ; ; ; ; ;2;44;690,928696052101
1162961;1;5;1;90; ;1;1;2;2;2;2;2;2;2;2;1;7; ; ; ; ; ; ; ; ;2;44;690,928696052101
1162961;1;6;1;90; ;2;1;2;1;2;2;2;2;2;2; ;3; ;5; ; ; ; ; ; ;2;44;690,928696052101
1162962;1;1;1;90; ;2;1;2;1;2;2;2;2;2;2; ;21; ;6; ; ; ; ; ; ;2;44;1282,15622675026
1162962;1;2;1;90; ;1;2;2;2;2;2;2;2;2;2;6; ; ; ; ; ; ; ; ; ;2;44;1282,15622675026
1162962;2;1;2;90; ;2;1;1;1;2;2;2;2;1;1; ;10;16;10; ; ; ; ;6;6;2;44;1282,15622675026
