DIRECTORIO;SECUENCIA_P;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5210S1;P5210S2;P5210S3;P5210S4;P5210S5;P5210S6;P5210S7;P5210S8;P5210S9;P5210S10;P5210S11;P5210S14;P5210S15;P5210S16;P5210S17;P5210S18;P5210S19;P5210S20;P5210S21;P5210S22;P5210S24;P5220;P5220S1;P6008;P6007;P6007S1;HOGAR;P4000;P4010;P4020;P4030S1;P4030S1A1;P4030S2;P4030S3;P4030S4;P4030S4A1;P4030S5;P4040;REGIS;clase;MES;DPTO;fex_c_2011
5061287;1;4;3;2;1;4;10;1;5;1; ; ;80000000;400000; ;2;1;2;1;1;1;1;2;2;2;1;2;2;2;2;2;1;2;2;1;2;1;2;4;2; ;1;1;1;2;1;1;2;2;2; ;2; ;01;2;11;23;844,183128168057
5061288;1;3;2;2;1;4;10;5;5;4; ; ; ;100000; ;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;2;2;1;1;4;2; ;1;1;1;2;1;1;2;2;2; ;2; ;01;2;11;23;1324,5823482553
5061289;1;3;2;2;1;4;10;1;4;1; ; ;25000000;300000; ;2;1;1;1;1;1;1;2;2;2;1;2;2;1;2;2;1;1;1;2;2;1;3;4;2; ;1;1;1;2;1;1;2;2;2; ;2; ;01;2;11;23;1040,22266470681
5061290;1;3;1;2;1;4;10;5;5;1; ; ;12000000;100000; ;2;2;2;1;1;1;2;2;2;2;1;2;2;2;2;2;1;2;1;2;2;1;2;2;2; ;1;1;5;1;1;1;2;2;2; ;2; ;01;2;11;23;892,849673939175
5061291;1;3;2;2;1;4;10;1;4;1; ; ;30000000;100000; ;2;1;2;1;1;1;1;2;2;2;1;2;2;2;2;2;1;2;2;2;2;1;1;3;1;1;1;1;2;1;1;1;2;2;2; ;2; ;01;2;11;23;891,177592620757
5061292;1;3;2;2;1;4;4;1;4;4; ; ; ;200000; ;2;2;2;1;1;1;1;2;2;2;1;2;1;2;2;2;1;2;1;2;2;1;2;5;2; ;1;1;5;1;1;1;2;2;2; ;2; ;01;2;11;23;2352,57261079463
5061294;1;3;2;2;1;4;10;1;4;3; ; ; ; ;300000;2;1;1;1;1;1;1;2;2;2;1;2;2;2;2;2;1;2;1;2;2;1;2;2;2; ;1;1;1;2;1;1;2;2;2; ;2; ;01;2;11;23;892,849673939175
5061296;1;3;1;2;1;4;10;1;4;4; ; ; ;200000; ;2;1;2;1;1;1;1;2;2;2;1;2;2;2;2;2;1;2;2;2;2;1;1;2;2; ;1;1;1;2;1;1;2;2;2; ;2; ;01;2;11;23;1879,1401414052
5061318;1;4;3;2;1;4;1;1;5;1; ; ;12000000;200000; ;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;1;2;10;2; ;1;1;5;1;1;1;2;2;2; ;1;2;01;2;11;23;6224,41426649169
5061319;1;3;2;2;1;4;1;1;5;1; ; ;7000000;100000; ;2;1;2;2;1;1;2;2;2;2;1;2;1;2;2;2;1;2;1;2;2;1;1;7;2; ;1;1;1;2;1;1;2;2;2; ;1;2;01;2;11;23;5828,90128934984
5061320;1;2;1;6; ;4;1;1;5;1; ; ;5000000;60000; ;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;2;2;2; ;1;1;4;1;1;1;2;2;2; ;1;2;01;2;11;23;2365,94697810965
5061321;1;4;2;6; ;4;1;5;5;1; ; ;9000000;50000; ;2;2;2;2;1;2;2;2;2;2;1;2;1;2;2;2;1;2;2;2;2;1;1;5;2; ;1;1;4;1;1;1;2;2;2; ;1;2;01;2;11;23;5840,1839649102
5061323;1;3;2;6; ;4;1;5;5;1; ; ;10000000;70000; ;2;2;2;1;1;1;2;2;2;2;1;1;1;2;2;2;1;1;1;2;2;1;2;4;2; ;1;1;4;1;1;1;2;2;2; ;1;2;01;2;11;23;4935,1565033531
5061324;1;3;2;6; ;4;1;5;5;4; ; ; ;30000; ;2;2;2;2;1;1;1;2;2;2;1;2;2;2;2;2;1;2;2;2;2;1;1;5;1;1;1;1;4;1;1;1;2;2;2; ;1;2;01;2;11;23;5919,32658824689
5061325;1;3;2;6; ;4;1;1;5;5; ; ; ;50000; ;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;1;2;2;2;2;1;4;6;2; ;1;1;7;1;1;1;2;2;2; ;1;2;01;2;11;23;4502,39638500798
