DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;P1806;P1519;P1883;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;MES;RAMA4D_D;DPTO;fex_c_2011
5061291;1;2;1;70;2;12;48;1; ;2;24;1; ;7;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;32;32;85;1;1;11;8512;23;891,177592620757
5061292;1;1;1;70;2;7;52;8; ;2;7;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;600000;2; ;62;95;45;1;1;11;4521;23;2352,57261079463
5061318;1;4;1;70;2;3;48;3; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;400000; ; ;54; ; ;1;1;11; ;23;6224,41426649169
5061318;1;8;1;70;2;12;40;8; ;2;12;8; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;400000;2; ;62;62;01;1;1;11;0121;23;6224,41426649169
5061329;1;3;1;70;2;5;50;1; ;2;8;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;400000;2; ;45;45;52;1;1;11;5211;23;3355,75183573128
5066667;1;1;1;70;2;4;48;4; ;2;5;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;98;98;60;1;1;11;6022;20;1717,48731602221
5066713;1;1;1;70;2;48;40;3; ;2;9;4; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;300000;2; ;54;53;55;1;2;11;5529;20;1616,05783652801
5066718;1;2;1;70;2;40;30;3; ;2;48;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;700000;2; ;54;53;15;1;2;11;1589;20;1623,63659411288
5066805;1;3;1;70;2;10;48;1; ;2;5;4; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;600000;2; ;13;61;01;1;1;11;0140;20;1862,40558880919
5066810;1;4;1;70;2;4;40;1; ;2;72;1; ;9;2;6; ; ; ; ; ; ; ; ; ; ;1;2; ;830000;2; ;45;53;55;1;1;11;5529;20;1204,91542318105
5066896;1;3;1;70;2;24;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;828000; ; ;13; ; ;1;2;11; ;05;5217,420073705
5066899;1;2;1;70;2;52;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;828116; ; ;53; ; ;1;2;11; ;05;3018,49449873752
5066902;1;1;1;70;2;4;48;1; ;2;4;8; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;53;62;01;1;1;11;0111;05;3018,49449873752
5066923;1;2;1;70;2;3;48;8; ;2;3;8; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;1;100000;700000;2; ;62;62;01;1;1;11;0111;05;3001,15332686611
5066933;1;2;1;70;2;4;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;828116; ; ;95; ; ;1;1;11; ;05;3575,118466231
5066957;1;3;1;70;2;3;48;1; ;2;4;1; ;2;2;4; ; ; ; ; ; ; ; ; ; ;1;1;20000;828116;2; ;54;53;55;1;1;11;5529;68;1114,3471441894
5066962;1;2;1;70;2;1;40;1; ;2;1;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;130000;800000;2; ;53;54;95;1;1;11;9500;68;2182,18516896297
5066962;1;3;1;70;2;2;48;1; ;2;4;2; ;9;2;7; ; ; ; ; ; ; ; ; ; ;1;2; ;828000;2; ;58;58;75;1;1;11;7522;68;2182,18516896297
5067024;1;1;1;70;2;3;40;8; ;2;8;4; ;1;2;7; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;62;62;01;1;1;11;0111;73;843,80803013253
5067034;1;2;1;70;2;4;24;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;800000; ; ;45; ; ;1;1;11; ;73;1263,06863583477
5067045;1;2;1;70;2;4;20;4; ;2;24;6; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;500000;2; ;62;53;01;1;1;11;0111;73;1049,69125112491
5067092;1;1;1;70;2;1;60;5; ;2;12;8; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;600000;2; ;62;62;01;1;1;11;0111;73;855,967094963917
5067097;1;2;1;70;2;4;40;1; ;2;12;8; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;45;62;01;1;1;11;0111;73;1681,22686832477
