DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;P7250;P7280;P744;P3074;P7260;P1806;P7430;P7440S1;P7440S2;P7450;P7330;P7350;P7360;P9460;P1519;P1883;P7422;P7422S1;P7440;CLASE;DSI;FFT;AREA;RAMA4D_D_R4;RAMA2D_D_R4;OFICIO1_C8;OFICIO2_C8;MES;PERIODO;DPTO;DSCY;FEX_C18;PER;REGIS
5032621;1;3;1;;;;;;;2;;;;.;;;;2;;2;;;1;;1;19;;;;;02;20220205;19;;101.38606248;2022;70
5032621;1;5;1;;;;;;;2;;;;.;;;;2;;2;;;1;;1;19;;;;;02;20220205;19;;101.38606248;2022;70
5032622;1;2;1;;;;;;;2;;;;.;;;;2;;2;;;1;;1;19;;;;;02;20220205;19;;204.82985735;2022;70
5032623;1;1;1;;;;;;;1;48;5;4;CUIDADO DE ADULTO MAYOR;3;1;2;3;;2;;;1;;1;19;9700;97;.;9111;02;20220205;19;;111.74009729;2022;70
5032623;1;2;1;;;;;;;2;;;;.;;;;2;;2;;;1;;1;19;;;;;02;20220205;19;;111.74009729;2022;70
5032623;1;3;1;;;;;;;2;;;;.;;;;2;;2;;;1;;1;19;;;;;02;20220205;19;;111.74009729;2022;70
5032623;1;4;1;;;;;;;1;180;5;5;DISPENSADOR DE MEDICAMENTOS;2;10;2;3;;2;;;1;;1;19;7010;70;.;5329;02;20220205;19;;111.74009729;2022;70
5032624;1;1;1;;;;;;;1;72;0;5;ENFERMERA JEFE;2;10;2;3;;2;;;1;;1;19;8610;86;.;2221;02;20220205;19;;184.48442922;2022;70
5032624;1;2;1;998;4;;;48;1500000;1;72;0;7;PINTOR DE CARROS;4;1;2;2;;2;;;1;1;;19;4520;45;7132;7132;02;20220205;19;;184.48442922;2022;70
5032625;1;1;1;;;;;;;1;3;0;4;REALIZABA ASEO A VIVIENDAS;4;1;2;2;;2;;;1;;1;19;8121;81;.;9112;02;20220205;19;;154.46044959;2022;70
5032626;1;1;1;32;3;;;48;900000;1;3;0;8;REALIZABA ASEO A VIVIENDAS;3;1;2;2;;1;98;;1;1;;19;8121;81;9112;9112;02;20220205;19;2;141.01531776;2022;70
5032626;1;2;1;;;;;;;2;;;;.;;;;2;;2;;;1;;1;19;;;;;02;20220205;19;;141.01531776;2022;70
5032627;1;2;1;;;;;;;2;;;;.;;;;1;2;2;;;1;;1;19;;;;;02;20220205;19;;136.67016443;2022;70
5032627;1;3;1;;;;;;;2;;;;.;;;;1;1;2;;;1;;1;19;.;;.;.;02;20220205;19;;136.67016443;2022;70
5032628;1;1;1;;;;;;;1;240;0;4;DISEÑABA Y ELABORABA ARTESANIAS;4;1;2;2;;2;;;1;;1;19;2511;25;.;9510;02;20220205;19;;101.83093154;2022;70
5032629;1;1;1;;;;;;;1;60;0;4;AYUDANTE DE CARPINTERIA;4;2;2;2;;2;;;1;;1;19;1630;16;.;7316;02;20220205;19;;110.40333399;2022;70
5032629;1;2;1;;;;;;;1;30;0;3;EMPLEADA DOMESTICA;3;1;2;2;;2;;;1;;1;19;9700;97;.;9111;02;20220205;19;;110.40333399;2022;70
5032630;1;2;1;;;;;;;1;22;0;1;VENDEDORA DE ROPA;1;2;2;2;;2;;;1;;1;19;4771;47;.;5223;02;20220205;19;;92.986804199;2022;70
5032630;1;3;1;;;;;;;2;;;;.;;;;2;;2;;;1;;1;19;;;;;02;20220205;19;;92.986804199;2022;70
