DIRECTORIO;SECUENCIA_P;ORDEN;CLASE;AREA;MES;PERIODO;DPTO;HOGAR;P3038;P3039;FEX_C18;PER;REGIS
5032621;1;1;1;19;02;20220205;19;1;2;1;101.38606248;2022;18
5032621;1;2;1;19;02;20220205;19;1;1;2;101.38606248;2022;18
5032621;1;5;1;19;02;20220205;19;1;1;2;101.38606248;2022;18
5032622;1;1;1;19;02;20220205;19;1;1;2;204.82985735;2022;18
5032622;1;2;1;19;02;20220205;19;1;2;1;204.82985735;2022;18
5032623;1;1;1;19;02;20220205;19;1;1;2;111.74009729;2022;18
5032623;1;2;1;19;02;20220205;19;1;1;2;111.74009729;2022;18
5032623;1;3;1;19;02;20220205;19;1;1;2;111.74009729;2022;18
5032623;1;4;1;19;02;20220205;19;1;2;1;111.74009729;2022;18
5032624;1;1;1;19;02;20220205;19;1;1;2;184.48442922;2022;18
5032624;1;2;1;19;02;20220205;19;1;2;1;184.48442922;2022;18
5032625;1;1;1;19;02;20220205;19;1;1;2;154.46044959;2022;18
5032626;1;1;1;19;02;20220205;19;1;1;2;141.01531776;2022;18
5032627;1;1;1;19;02;20220205;19;1;2;1;136.67016443;2022;18
5032627;1;2;1;19;02;20220205;19;1;1;2;136.67016443;2022;18
5032627;1;3;1;19;02;20220205;19;1;2;1;136.67016443;2022;18
5032628;1;1;1;19;02;20220205;19;1;1;2;101.83093154;2022;18
5032628;1;2;1;19;02;20220205;19;1;1;2;101.83093154;2022;18
5032628;1;3;1;19;02;20220205;19;1;2;1;101.83093154;2022;18
5032629;1;1;1;19;02;20220205;19;1;2;1;110.40333399;2022;18
5032629;1;2;1;19;02;20220205;19;1;1;2;110.40333399;2022;18
5032629;1;3;1;19;02;20220205;19;1;2;1;110.40333399;2022;18
5032629;1;4;1;19;02;20220205;19;1;1;2;110.40333399;2022;18
5032630;1;1;1;19;02;20220205;19;1;2;1;92.986804199;2022;18
5032630;1;2;1;19;02;20220205;19;1;1;2;92.986804199;2022;18
5032631;1;1;1;19;02;20220205;19;1;2;1;138.26015371;2022;18
5032631;1;2;1;19;02;20220205;19;1;1;2;138.26015371;2022;18
5032635;1;1;1;19;02;20220205;19;1;1;2;167.33026622;2022;18
5032635;1;2;1;19;02;20220205;19;1;2;1;167.33026622;2022;18
5032636;1;1;1;19;02;20220205;19;1;2;1;225.52840112;2022;18
5032636;1;2;1;19;02;20220205;19;1;1;2;225.52840112;2022;18
5032636;2;1;1;19;02;20220205;19;2;2;1;225.52840112;2022;18
5032637;1;1;1;19;02;20220205;19;1;1;2;171.62272177;2022;18
5032638;1;1;1;19;02;20220205;19;1;2;1;184.48442922;2022;18
5032638;1;2;1;19;02;20220205;19;1;1;2;184.48442922;2022;18
5032639;1;1;1;19;02;20220205;19;1;2;1;211.28158139;2022;18
5032639;1;2;1;19;02;20220205;19;1;1;2;211.28158139;2022;18
5032640;1;1;1;19;02;20220205;19;1;2;1;122.34744389;2022;18
5032640;1;2;1;19;02;20220205;19;1;1;2;122.34744389;2022;18
5032640;1;3;1;19;02;20220205;19;1;2;1;122.34744389;2022;18
5032641;1;1;1;19;02;20220205;19;1;1;2;137.85924878;2022;18
5032642;1;1;1;19;02;20220205;19;1;1;2;119.47697128;2022;18
5032642;1;2;1;19;02;20220205;19;1;1;2;119.47697128;2022;18
5032644;1;1;1;19;02;20220205;19;1;2;1;48.597796209;2022;18
5032644;1;2;1;19;02;20220205;19;1;1;1;48.597796209;2022;18
5032644;1;3;1;19;02;20220205;19;1;1;2;48.597796209;2022;18
5032645;1;1;1;19;02;20220205;19;1;1;2;93.298685372;2022;18
5032646;1;1;1;19;02;20220205;19;1;2;1;91.038577004;2022;18
5032646;1;2;1;19;02;20220205;19;1;1;2;91.038577004;2022;18
5032646;1;3;1;19;02;20220205;19;1;2;1;91.038577004;2022;18
5032646;1;4;1;19;02;20220205;19;1;1;2;91.038577004;2022;18
5032647;1;1;1;19;02;20220205;19;1;1;2;190.69191307;2022;18
5032648;1;1;1;19;02;20220205;19;1;1;2;80.996327014;2022;18
5032648;1;2;1;19;02;20220205;19;1;1;2;80.996327014;2022;18
5032649;1;1;1;19;02;20220205;19;1;1;2;137.85924878;2022;18
5032650;1;1;1;19;02;20220205;19;1;1;2;126.21847831;2022;18
5032650;1;2;1;19;02;20220205;19;1;2;1;126.21847831;2022;18
5032650;1;3;1;19;02;20220205;19;1;2;1;126.21847831;2022;18
5032651;1;1;1;19;02;20220205;19;1;1;2;171.78457374;2022;18
5032652;1;1;1;19;02;20220205;19;1;1;2;171.78457374;2022;18
5032653;1;1;1;19;02;20220205;19;1;2;1;207.23928884;2022;18
5032654;1;1;1;19;02;20220205;19;1;1;2;137.85924878;2022;18
5032655;1;1;1;19;02;20220205;19;1;1;2;103.08558174;2022;18
5032655;1;2;1;19;02;20220205;19;1;1;2;103.08558174;2022;18
5032657;1;1;1;20;02;20220205;20;1;1;2;126.55933323;2022;18
5032658;1;1;1;20;02;20220205;20;1;2;1;121.74368981;2022;18
5032658;1;2;1;20;02;20220205;20;1;1;2;121.74368981;2022;18
5032658;1;3;1;20;02;20220205;20;1;2;1;121.74368981;2022;18
5032658;1;4;1;20;02;20220205;20;1;1;2;121.74368981;2022;18
5032659;1;1;1;20;02;20220205;20;1;1;2;102.19686705;2022;18
5032659;1;2;1;20;02;20220205;20;1;2;1;102.19686705;2022;18
5032659;1;3;1;20;02;20220205;20;1;1;2;102.19686705;2022;18
5032660;1;1;1;20;02;20220205;20;1;2;1;152.94691253;2022;18
5032660;1;2;1;20;02;20220205;20;1;1;2;152.94691253;2022;18
5032661;1;1;1;20;02;20220205;20;1;1;2;149.26366504;2022;18
