Directorio;Secuencia_p;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090s1;P5100;P5110;P5130;P5140;P5210s1;P5210s10;P5210s11;P5210s14;P5210s15;P5210s16;P5210s17;P5210s18;P5210s19;P5210s2;P5210s20;P5210s21;P5210s22;P5210s24;P5210s3;P5210s4;P5210s5;P5210s6;P5210s7;P5210s8;P5210s9;P5220;P5220s1;P6006;P6007;P6007s1;P6008;Hogar;P4000;P4010;P4020;P4030s1;P4030s2;P4030s3;P4030s4;P4030s5;P4030s1a1;P4030s4a1;P4040;Regis;Clase;Mes;Dpto;Fex_c_2011
3251173;1;3;2;2;1;4;4;1;4;1; ; ;20000000;100000; ;2;2;1;2;2;2;2;2;2;2;1;2;2;2;2;2;1;1;1;2;2;1;1;2;2; ;2;1;1;1;2;1;2;2;2;2;1; ; ;01;2;07;73;737,216535823473
3251174;1;4;1;2;1;4;4;1;4;4; ; ; ;150000; ;2;2;1;2;2;2;2;2;2;2;1;2;2;2;2;2;1;1;1;2;2;1;1;2;2; ;2;1;1;1;2;1;2;2;2;1;1; ;2;01;2;07;73;737,216535823473
3251175;1;1;1;2;1;4;1;2;4;4; ; ; ;30000; ;2;2;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;1;1;2;2;1;1;2;2; ;1;1;1;1;2;1;2;2;2;1;1; ;2;01;2;07;73;879,081231685228
3251177;1;2;2;6; ;4;4;5;5;4; ; ; ;100000; ;2;2;1;2;2;2;2;2;2;2;1;1;2;2;2;2;2;1;2;2;2;2; ;2;2; ;7;1;1;1;2;1;2;2;2;2;1; ; ;01;2;07;73;933,069094487492
3251178;1;3;3;2;1;3;4;1;5;4; ; ; ;70000; ;2;2;1;2;2;2;2;2;2;2;1;2;2;2;2;2;1;1;2;2;2;1;2;2;2; ;4;1;1;1;2;1;2;2;2;1;1; ;2;01;2;07;73;595,81825549155
3251179;1;3;1;2;1;4;1;1;5;1; ; ;3000000;20000; ;2;2;1;2;2;2;2;2;2;2;1;1;2;2;2;2;1;1;2;2;2;2; ;2;2; ;2;1;1;4;2;1;2;2;2;1;1; ;2;01;2;07;73;892,692562300894
3251180;1;2;2;2;1;4;1;5;5;4; ; ; ;30000; ;2;2;1;2;1;2;2;2;2;2;1;2;2;2;2;2;1;1;2;2;2;1;2;2;2; ;3;1;1;4;2;1;2;2;2;1;1; ;2;01;2;07;73;919,911674139642
3251181;1;3;2;2;1;4;4;5;5;4; ; ; ;30000; ;2;2;1;2;1;2;2;2;1;2;2;1;2;2;2;2;1;1;2;2;2;1;3;2;2; ;3;1;1;1;2;1;2;2;2;2;1; ; ;01;2;07;73;628,295393324207
3251182;1;4;3;2;1;3;1;1;5;1; ; ;7000000;30000; ;2;2;1;2;2;2;2;2;2;2;1;1;2;2;2;2;1;1;2;2;2;1;3;2;2; ;4;1;1;3;2;1;2;2;2;1;1; ;2;01;2;07;73;689,57424090837
3251184;1;4;2;2;1;4;1;1;4;1; ; ;8000000;200000; ;2;2;1;2;2;2;2;2;1;2;1;1;2;2;2;2;1;1;1;2;2;1;1;2;2; ;2;1;1;1;2;1;2;2;2;1;1; ;2;01;2;07;73;873,976323264285
3251185;1;2;2;2;2;4;1;1;4;4; ; ; ;150000; ;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;2;2;1;2;2;1;2;2;2; ;3;1;4;1;2;1;2;2;2;1;1; ;2;01;2;07;73;937,857155558987
3251186;1;2;2;2;1;4;6;5;5;3; ; ; ; ;30000;2;2;1;2;1;2;2;2;2;2;1;1;2;2;2;1;1;1;2;2;2;1;4;2;2; ;5;1;1;1;2;1;2;2;2;2;1; ; ;01;2;07;73;1557,38676448577
3251187;1;1;1;6; ;4;4;5;5;1; ; ;3000000;30000; ;2;2;1;2;2;2;2;2;1;2;2;2;2;2;2;2;1;1;2;2;2;1;3;2;2; ;4;1;1;4;2;1;2;2;2;2;1; ; ;01;2;07;73;960,542872239238
3251188;1;3;2;2;1;4;4;1;4;4; ; ; ;50000; ;2;2;1;2;1;2;2;2;1;2;1;1;2;2;2;2;1;1;1;2;2;1;2;2;2; ;4;1;1;1;4;1;2;2;2;1;1; ;2;01;2;07;73;669,689753293475
3251189;1;2;2;2;1;4;6;1;5;1; ; ;20000000;70000; ;2;2;1;2;1;2;2;2;1;2;1;2;2;2;2;1;1;1;2;2;2;1;2;2;2; ;4;1;1;1;2;1;2;2;2;1;1; ;2;01;2;07;73;614,534494528158
3251191;1;3;2;2;1;4;1;1;4;1; ; ;20000000;30000; ;2;2;1;2;1;2;2;2;1;2;1;1;2;2;2;1;1;1;1;2;2;1;2;2;2; ;4;1;1;1;2;1;2;2;2;1;1; ;1;01;2;07;73;708,290479944979
3251192;1;1;1;3;1;4;1;5;5;1; ; ;8000000;30000; ;2;2;1;1;1;2;2;2;2;2;1;1;2;2;2;2;1;1;2;2;2;1;1;2;2; ;7;1;1;4;1;1;2;2;2;1;1; ;1;01;2;07;73;649,489270944366
3251198;1;1;1;6; ;4;4;5;5;1; ; ;3000000;50000; ;2;2;1;2;2;2;2;2;1;2;1;1;2;2;2;2;1;1;2;2;2;1;4;2;2; ;4;1;1;1;2;1;2;2;2;2;1; ; ;01;2;07;73;932,752247138044
3251199;1;2;2;2;1;4;4;5;5;1; ; ;10000000;30000; ;2;2;1;2;1;2;2;2;1;2;1;2;2;2;2;2;1;1;2;2;2;1;1;2;2; ;3;1;1;1;2;1;2;2;2;2;2; ; ;01;2;07;73;823,583840443609
3251206;1;3;1;2;1;4;4;1;5;1; ; ;20000000;150000; ;2;2;1;2;2;2;2;2;2;2;1;2;2;2;2;2;1;1;2;2;2;1;1;2;2; ;2;1;1;1;2;1;2;2;2;2;1; ; ;01;2;07;73;652,116540781758
3251208;1;2;1;2;1;4;1;6; ;4; ; ; ;150000; ;2;2;1;2;1;2;2;2;1;2;1;2;2;2;2;1;2;2;2;2;2;2; ;2;2; ;1;1;1;1;2;1;2;2;2;1;2; ;1;01;2;07;73;1189,41375153727
3251209;1;3;2;3;1;4;1;1;5;4; ; ; ;40000; ;2;2;1;2;2;2;2;2;1;2;1;2;2;2;2;2;1;2;1;2;2;2; ;2;2; ;2;1;1;1;2;1;2;2;2;1;2; ;1;01;2;07;73;718,500296786865
3251211;1;2;2;3;1;4;1;1;5;4; ; ; ;80000; ;2;2;1;2;2;2;2;2;2;2;2;1;2;2;2;2;1;1;2;2;2;1;1;2;2; ;2;1;1;1;2;1;2;2;2;1;1; ;1;01;2;07;73;718,500296786865
3251212;1;1;1;6; ;5;10;6; ;4; ; ; ;30000; ;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2; ;2;2; ;1;1;1;1;2;2;2;2;2;2; ; ; ;01;2;07;73;742,321444244416
3251214;1;3;1;2;1;4;1;1;4;4; ; ; ;100000; ;2;2;1;2;1;2;2;2;1;2;2;2;2;2;2;2;1;1;1;2;2;1;2;2;2; ;2;1;1;1;2;1;2;2;2;1;2; ;1;01;2;07;73;737,216535823473
3251215;1;3;1;2;1;4;1;1;4;1; ; ;60000000;200000; ;2;2;1;1;2;2;2;2;1;2;2;2;2;2;2;2;1;1;1;2;2;1;1;2;2; ;1;1;1;1;2;1;2;2;2;1;2; ;1;01;2;07;73;657,221449202701
3251216;1;4;1;2;1;4;1;1;4;4; ; ; ;150000; ;2;2;1;1;1;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;2;1;2;2;2; ;2;1;1;1;2;1;2;2;2;1;2; ;1;01;2;07;73;652,116540781758
3251217;1;3;2;2;1;4;1;1;4;1; ; ;20000000;100000; ;2;2;1;1;1;2;2;2;1;1;2;1;2;2;2;2;1;1;1;1;2;1;2;2;2; ;3;1;1;1;2;1;2;2;2;1;2; ;1;01;2;07;73;956,573394595596
3251219;1;2;1;3;1;5;1;1;4;1; ; ;25000000;50000; ;2;2;1;2;1;2;2;2;1;2;2;1;2;2;2;2;1;1;1;2;2;1;1;2;2; ;1;1;1;1;2;1;2;2;2;1;1; ;1;01;2;07;73;897,797470721836
3251220;1;2;2;2;1;4;1;1;5;4; ; ; ;150000; ;2;2;1;2;1;2;2;2;2;2;1;2;2;2;2;2;1;1;1;2;2;1;2;2;2; ;5;1;1;1;2;1;2;2;2;1;1; ;1;01;2;07;73;554,081763045979
3251221;1;5;2;3;1;4;1;1;5;4; ; ; ;150000; ;2;2;1;2;2;2;2;2;2;2;1;1;2;2;2;2;1;1;2;2;2;1;1;2;2; ;3;1;1;1;2;1;2;2;2;1;1; ;1;01;2;07;73;713,395388365922
3251222;1;2;1;6; ;4;1;6; ;1; ; ;10000000;50000; ;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2; ;2;2; ;1;1;1;1;1;1;2;2;2;1;1; ;1;01;2;07;73;897,797470721836
3251223;1;3;2;2;1;4;1;1;5;2; ;200000;25000000;150000; ;2;2;1;1;1;2;2;2;1;2;1;1;2;2;2;2;1;1;1;2;2;1;3;2;2; ;5;1;1;1;4;1;2;2;2;1;1; ;1;01;2;07;73;1102,25799992061
3251224;1;4;1;2;1;4;4;1;5;4; ; ; ;100000; ;2;2;1;1;1;2;2;2;2;2;1;2;2;2;2;2;1;1;1;2;2;1;2;2;2; ;2;1;1;1;2;1;2;2;2;2;2; ; ;01;2;07;73;737,216535823473
3251225;1;2;1;3;1;4;1;1;4;1; ; ;20000000;100000; ;2;2;1;1;1;2;2;2;1;2;1;2;2;2;2;2;1;1;1;2;2;2; ;2;2; ;5;1;1;4;2;1;2;2;2;1;1; ;1;01;2;07;73;1082,50383209172
3251226;1;3;1;2;1;4;1;1;5;1; ; ;10000000;100000; ;2;2;1;2;2;2;2;2;1;2;2;1;2;2;2;2;1;1;2;2;2;1;1;2;2; ;3;1;1;1;2;1;2;2;2;1;1; ;1;01;2;07;73;756,399190389913
3251231;1;4;4;3;1;4;4;1;5;1; ; ;12000000;350000; ;2;2;1;1;1;2;2;2;2;2;1;1;2;2;2;2;1;1;1;2;2;1;4;2;2; ;9;1;1;1;2;1;2;2;2;2;1; ; ;01;2;07;73;969,273760842173
3251232;1;3;2;6; ;4;4;1;5;4; ; ; ;50000; ;2;2;1;1;2;2;2;2;2;2;1;2;2;2;2;2;1;1;1;2;2;1;1;2;2; ;2;1;1;4;2;1;2;2;2;2;2; ; ;01;2;07;73;718,500296786865
3251237;1;3;3;3;1;4;4;1;5;1; ; ;15000000;150000; ;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;1;1;2;2;2;1;1;2;2; ;4;1;1;4;2;1;2;2;2;1;2; ;1;01;2;07;73;571,530692504168
3251238;1;3;2;2;1;4;1;1;4;1; ; ;25000000;100000; ;2;2;1;2;1;2;2;2;2;2;1;1;2;2;2;2;1;1;1;2;1;1;2;2;2; ;5;1;1;1;2;1;2;2;2;1;1; ;1;01;2;07;73;1224,5677723083
3251239;1;2;2;2;1;4;4;1;4;4; ; ; ;100000; ;2;2;1;2;1;2;1;2;1;2;1;1;1;2;2;2;1;1;1;2;2;2; ;2;2; ;4;1;1;4;2;1;2;2;2;2;2; ; ;01;2;07;73;1310,23928061246
3251241;1;1;1;2;1;4;1;5;5;4; ; ; ;50000; ;2;2;1;2;2;2;2;2;1;2;1;1;2;2;2;2;1;1;2;2;2;1;2;2;2; ;4;1;1;1;2;1;2;2;2;1;2; ;2;01;2;07;73;1206,42304653413
3251244;1;4;1;2;1;4;1;1;4;4; ; ; ;200000; ;2;2;1;1;1;2;2;2;1;1;1;2;1;2;2;2;1;1;1;1;1;1;2;2;2; ;3;1;1;1;4;1;2;2;2;1;2; ;2;01;2;07;73;860,215424468237
3251245;1;3;1;2;1;4;1;1;4;4; ; ; ;80000; ;2;2;1;2;2;2;2;2;1;2;1;1;2;2;2;2;1;1;1;2;2;1;1;2;2; ;1;1;1;1;2;1;2;2;2;1;2; ;2;01;2;07;73;879,081231685228
