Directorio;Secuencia_p;Orden;Hogar;Regis;Clase;P7430;P7440;P7450;P7450s1;P7460;P7470;P7472;P7472s1;P7454;P7456;P7458s1;P7458;P7452;Ini;Mes;Dpto;Fex_c_2011;Area
3246702;1;3;1;80;1;1;1;2; ;2; ;2; ; ; ; ;2;2;1;07;18;61,1704684181704;18
3246702;1;4;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;18;61,1704684181704;18
3246702;1;6;1;80;1;2; ; ; ; ; ;2; ;2; ;.; ; ;1;07;18;61,1704684181704;18
3246702;1;8;1;80;1;1;3;4; ;2; ;2; ; ; ; ;4;2;1;07;18;61,1704684181704;18
3246703;1;1;1;80;1;1;4;3; ;2; ;2; ; ; ; ;9;2;1;07;18;77,0528990142384;18
3246703;1;3;1;80;1;2; ; ; ; ; ;2; ;2; ;.; ; ;1;07;18;77,0528990142384;18
3246704;1;1;1;80;1;1;2;7; ;2; ;2; ; ; ; ;8;2;1;07;18;226,453138944485;18
3246705;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;18;111,167403080297;18
3246706;1;3;1;80;1;2; ; ; ; ; ;2; ;2; ;.; ; ;1;07;18;50,6377273435716;18
3246706;1;5;1;80;1;1;4;4; ;2; ;2; ; ; ; ;4;2;1;07;18;50,6377273435716;18
3246707;1;1;1;80;1;1;4;5; ;3; ;2; ; ; ; ;10;2;1;07;18;68,5009975497008;18
3246707;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;18;68,5009975497008;18
3246708;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;18;102,19132514358;18
3246709;1;1;1;80;1;1;4;5; ;3; ;2; ; ; ; ;10;2;1;07;18;60,0078008082954;18
3246709;1;2;1;80;1;1;4;3; ;2; ;2; ; ; ; ;9;2;1;07;18;60,0078008082954;18
3246709;1;3;1;80;1;1;1;8; ;2; ;2; ; ; ; ;4;2;1;07;18;60,0078008082954;18
3246709;1;4;1;80;1;1;1;2; ;2; ;2; ; ; ; ;2;2;1;07;18;60,0078008082954;18
3246709;1;5;1;80;1;2; ; ; ; ; ;2; ;2; ;.; ; ;1;07;18;60,0078008082954;18
3246710;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;18;32,2696987683641;18
3246711;1;4;1;80;1;1;1;2; ;2; ;2; ; ; ; ;2;2;1;07;18;66,301511926885;18
3246711;1;5;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;18;66,301511926885;18
3246711;1;6;1;80;1;2; ; ; ; ; ;2; ;2; ;.; ; ;1;07;18;66,301511926885;18
3246712;1;2;1;80;1;1;4;3; ;2; ;2; ; ; ; ;9;2;1;07;18;64,6330584372758;18
3246712;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;18;64,6330584372758;18
3246712;1;4;1;80;1;2; ; ; ; ; ;2; ;2; ;.; ; ;1;07;18;64,6330584372758;18
3246713;1;2;1;80;1;1;4;3; ;2; ;2; ; ; ; ;9;2;1;07;18;111,725358468916;18
3246713;2;2;2;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;18;111,725358468916;18
3246714;2;1;2;80;1;1;4;5; ;3; ;2; ; ; ; ;8;2;1;07;18;53,4372416167009;18
3246717;1;3;1;80;1;2; ; ; ; ; ;2; ;2; ;.; ; ;1;07;18;82,9021803996066;18
3246718;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;18;58,3393473186862;18
3246718;1;4;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;18;58,3393473186862;18
3246721;1;1;1;80;1;1;4;9;LA VEJES;2; ;2; ; ; ; ;8;2;1;07;76;1823,31858995972;76
3246724;1;3;1;80;1;1;1;2; ;2; ;2; ; ; ; ;11;2;1;07;76;1427,88545156141;76
3246727;1;2;1;80;1;1;4;3; ;2; ;2; ; ; ; ;9;2;1;07;20;174,388325614523;20
3246728;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;20;140,90442612539;20
3246728;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;20;140,90442612539;20
3246728;1;4;1;80;1;2; ; ; ; ; ;2; ;2; ;.; ; ;1;07;20;140,90442612539;20
3246730;1;3;1;80;1;2; ; ; ; ; ;2; ;2; ;.; ; ;1;07;20;176,125795519178;20
3246731;1;2;1;80;1;1;2;8; ;1;1;2; ; ;1; ;1;1;1;07;20;156,582148891936;20
3246732;1;1;1;80;1;1;4;4; ;2; ;2; ; ; ; ;4;2;1;07;20;111,839373000021;20
3246732;1;2;1;80;1;1;4;5; ;3; ;2; ; ; ; ;8;2;1;07;20;111,839373000021;20
3246733;2;3;2;80;1;2; ; ; ; ; ;2; ;2; ;.; ; ;1;07;20;168,900951814369;20
3246734;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;20;89,9230295703725;20
3246736;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;47;181,38586912513;47
3246736;1;4;1;80;1;2; ; ; ; ; ;2; ;2; ;.; ; ;1;07;47;181,38586912513;47
3246738;1;1;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;47;192,372570689462;47
3246738;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;47;192,372570689462;47
3246739;1;1;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;47;96,1573921324009;47
3246739;1;3;1;80;1;2; ; ; ; ; ;2; ;2; ;.; ; ;1;07;47;96,1573921324009;47
3246739;1;10;1;80;1;2; ; ; ;2; ;2; ;1;3; ;9; ;1;07;47;96,1573921324009;47
3246739;1;13;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;47;96,1573921324009;47
3246740;1;1;1;80;1;1;4;5; ;3; ;2; ; ; ; ;10;2;1;07;47;139,141241842367;47
3246740;1;3;1;80;1;2; ; ; ; ; ;2; ;2; ;.; ; ;1;07;47;139,141241842367;47
3246741;1;1;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;47;87,4483495145594;47
3246741;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;47;87,4483495145594;47
3246741;1;3;1;80;1;2; ; ; ;2; ;2; ;1;4; ;1; ;1;07;47;87,4483495145594;47
3246741;1;5;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;47;87,4483495145594;47
3246741;1;8;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;47;87,4483495145594;47
3246743;1;2;1;80;1;1;4;3; ;2; ;2; ; ; ; ;9;2;1;07;47;262,786329506583;47
3246743;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;47;262,786329506583;47
3246743;1;4;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;47;262,786329506583;47
3246745;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;47;90,8371769067176;47
3246746;1;1;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;47;158,36697930518;47
3246748;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;47;192,372570689462;47
3246750;1;1;1;80;1;1;4;4; ;2; ;2; ; ; ; ;4;2;1;07;47;172,149984028729;47
3246753;1;3;1;80;1;1;3;3; ;2; ;2; ; ; ; ;9;2;1;07;47;223,258928710753;47
3246754;1;2;1;80;1;1;4;3; ;2; ;2; ; ; ; ;9;2;1;07;47;126,981587062459;47
3246758;1;2;1;80;1;1;4;3; ;2; ;2; ; ; ; ;9;2;1;07;47;126,981587062459;47
3246759;1;2;1;80;1;1;3;2; ;2; ;2; ; ; ; ;2;2;1;07;47;145,471837951371;47
3246761;1;2;1;80;1;1;3;4; ;2; ;2; ; ; ; ;4;2;1;07;47;137,241502460728;47
3246761;1;3;1;80;1;1;2;3; ;2; ;2; ; ; ; ;9;2;1;07;47;137,241502460728;47
3246762;1;2;1;80;1;1;3;3; ;2; ;2; ; ; ; ;9;2;1;07;47;185,156614427388;47
3246763;1;4;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;47;176,122818106332;47
3246763;1;5;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;47;176,122818106332;47
3246764;1;1;1;80;1;1;2;3; ;2; ;2; ; ;1; ;9;1;1;07;47;158,23938896021;47
3246766;1;2;1;80;1;2; ; ; ; ; ;2; ;2; ;.; ; ;1;07;47;87,4483495145594;47
3246767;1;1;1;80;1;1;2;6; ;2; ;2; ; ;2; ;8;1;1;07;47;128,653450678785;47
3246768;1;3;1;80;1;2; ; ; ; ; ;2; ;2; ;.; ; ;1;07;47;198,989207309763;47
3246768;1;6;1;80;1;2; ; ; ; ; ;2; ;2; ;.; ; ;1;07;47;198,989207309763;47
3246769;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;47;174,210800614045;47
3246769;1;3;1;80;1;2; ; ; ; ; ;2; ;2; ;.; ; ;1;07;47;174,210800614045;47
3246771;1;3;1;80;1;1;2;8; ; ; ;2; ; ; ; ;2;2;1;07;73;271,683763056895;73
3246772;1;2;1;80;1;2; ; ; ; ; ;2; ;2; ;.; ; ;1;07;73;163,450812577185;73
3246773;1;1;1;80;1;1;4;7; ;3; ;2; ; ; ; ;10;2;1;07;73;182,28838048281;73
3246773;1;2;1;80;1;1;2;7; ;3; ;2; ; ; ; ;4;2;1;07;73;182,28838048281;73
3246773;1;6;1;80;1;2; ; ; ; ; ;2; ;2; ;.; ; ;1;07;73;182,28838048281;73
