DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;P1806;P1519;P1883;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;MES;RAMA4D_D;DPTO;fex_c_2011
4894026;1;1;1;70;2;12;40;1; ;2;12;1; ;9;2;3; ; ; ; ; ; ; ; ; ; ;1;1;480000;900000;2; ;95;95;02;1;1;04;0201;19;2405,54643027941
4894034;1;2;1;70;2;52;40;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;828116; ; ;45; ; ;1;2;04; ;19;2354,4099710167
4894057;1;5;1;70;2;12;40;1; ;2;104;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;53;53;55;1;1;04;5521;19;669,896911018292
4894059;1;2;1;70;2;12;40;1; ;2;24;4; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;45;53;55;1;1;04;5521;19;669,896911018292
4894060;1;1;1;70;2;26;20;1; ;2;104;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;500000;2; ;53;45;52;1;2;04;5211;19;928,622324216727
4894071;1;2;1;70;2;12;24;1; ;2;52;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;400000;2; ;53;71;13;1;1;04;1320;19;1360,56607888138
4894073;1;3;1;70;2;8;45;1; ;2;104;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;59;45;52;1;1;04;5236;19;669,896911018292
4894076;1;4;1;70;2;4;20;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;600000; ; ;53; ; ;1;1;04; ;19;1875,52518903983
4894083;1;3;1;70;2;17;40;1; ;2;20;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;03;39;75;1;2;04;7512;19;1258,06579019934
4894099;1;5;1;70;2;52;40;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;850000; ; ;45; ; ;1;2;04; ;19;2202,31822256626
4894101;1;2;1;70;2;3;40;1; ;2;3;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;1;200000;828116;2; ;45;45;52;1;1;04;5224;19;1756,38939331717
4894134;1;2;1;70;2;12;24;1; ;2;12;1; ;2;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;600000;2; ;95;95;45;1;1;04;4521;19;1266,17303267177
