DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P6290;P6290S1;P6230;P6240;P6240S1;P6250;P6260;P6270;P6280;P6300;P6310;P6310S1;P6320;P6330;P6340;P6350;P6351;MES;FT;DPTO;AREA;fex_c_2011
2259812;1;1;1;50;1; ; ;1;6;VER TV;2;1; ; ; ; ; ; ; ; ; ; ;04;1;05;05;924,459615228538
2259813;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;04;1;05;05;1232,90506886561
2259813;1;2;1;50;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;04;1;05;05;1232,90506886561
2259813;1;3;1;50;1; ; ;1;3; ;2;2;2;2;2; ; ; ; ; ; ; ;04;1;05;05;1232,90506886561
2259813;1;4;1;50;1; ; ;4;1; ; ; ; ; ; ; ; ; ; ; ; ; ;04;1;05;05;1232,90506886561
2259813;1;5;1;50;1; ; ;5;4; ;2;2;2;2;1;11; ; ; ; ; ; ;04;1;05;05;1232,90506886561
2259814;1;1;1;50;1; ; ;1;2; ;1; ; ; ; ; ; ; ; ; ; ; ;04;1;05;05;1093,28048723894
2259814;1;2;1;50;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;04;1;05;05;1093,28048723894
2259814;1;3;1;50;1; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;04;1;05;05;1093,28048723894
2259815;1;1;1;50;1; ; ;1;4; ;1; ; ; ; ; ; ; ; ; ; ; ;04;1;05;05;968,283627063238
2259817;1;1;1;50;1;1; ;1;4; ;2;2;2;1; ; ; ; ; ; ; ;1;04;1;05;05;946,947700287313
2259817;1;2;1;50;1; ; ;1;3; ;2;2;2;2;2; ; ; ; ; ; ; ;04;1;05;05;946,947700287313
2259818;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;04;1;05;05;1204,3786897568
2259818;1;2;1;50;1; ; ;2;4; ;2;2;2;2;1;6; ;2; ;2; ; ;04;1;05;05;1204,3786897568
2259819;1;1;1;50;1;1; ;1;6;VER TV;2;2;2;1; ; ; ; ; ; ; ;1;04;1;05;05;1223,60377318968
2259819;1;2;1;50;1; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;04;1;05;05;1223,60377318968
2259820;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;04;1;05;05;1088,68312525702
2259820;1;2;1;50;1; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;04;1;05;05;1088,68312525702
2259820;1;3;1;50;1; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;04;1;05;05;1088,68312525702
2259821;1;1;1;50;1; ; ;1;4; ;2;1; ; ; ; ; ; ; ; ; ; ;04;1;05;05;938,677834573111
2259821;1;3;1;50;1; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;04;1;05;05;938,677834573111
2259821;1;4;1;50;1; ; ;1;3; ;2;2;2;2;2; ; ; ; ; ; ; ;04;1;05;05;938,677834573111
2259822;1;1;1;50;1; ; ;1;4; ;2;2;2;2;1;2; ;1;1; ;5;1;04;1;05;05;944,141619961711
2259822;1;4;1;50;1;1; ;4;3; ;2;2;2;1; ; ; ; ; ; ; ;1;04;1;05;05;944,141619961711
2259823;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;04;1;05;05;1311,01243188549
2259823;1;2;1;50;1; ; ;2;6;EN PROCESIONES;2;2;2;2;2; ; ; ; ; ; ; ;04;1;05;05;1311,01243188549
2259823;1;4;1;50;1; ; ;4;6;EN PROCESIONES;2;2;2;2;2; ; ; ; ; ; ; ;04;1;05;05;1311,01243188549
2259824;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;04;1;05;05;1048,98408043409
2259824;1;2;1;50;1; ; ;2;3; ;2;2;2;2;1;12; ; ; ; ; ; ;04;1;05;05;1048,98408043409
2259824;1;3;1;50;1; ; ;1;6;PASEANDO;2;2;2;2;2; ; ; ; ; ; ; ;04;1;05;05;1048,98408043409
2259826;1;1;1;50;1;7;ESPERANDO QUE LA LLAMEN;1;6;PASEANDO;2;2;2;1; ; ; ; ; ; ; ;1;04;1;05;05;1034,23193862632
2259826;1;3;1;50;1; ; ;3;6;PASEANDO;2;2;2;2;2; ; ; ; ; ; ; ;04;1;05;05;1034,23193862632
2259826;1;4;1;50;1; ; ;4;4; ;2;2;2;2;2; ; ; ; ; ; ; ;04;1;05;05;1034,23193862632
2259826;1;5;1;50;1;7;ESPERANDO QUE LO LLAMEN;5;6;PASEANDO;2;2;2;1; ; ; ; ; ; ; ;1;04;1;05;05;1034,23193862632
2259827;1;1;1;50;1; ; ;1;4; ;2;2;2;2;1;9; ; ; ; ; ; ;04;1;15;15;115,144114844861
2259828;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;04;1;15;15;127,123863624107
2259828;1;2;1;50;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;04;1;15;15;127,123863624107
2259829;1;1;1;50;1; ; ;1;3; ;2;2;2;2;2; ; ; ; ; ; ; ;04;1;15;15;45,3978598588746
2259829;1;2;1;50;1; ; ;2;3; ;1; ; ; ; ; ; ; ; ; ; ; ;04;1;15;15;45,3978598588746
2259829;2;1;2;50;1; ; ;1;3; ;2;2;2;2;2; ; ; ; ; ; ; ;04;1;15;15;45,3978598588746
2259829;3;1;3;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;04;1;15;15;45,3978598588746
2259830;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;04;1;15;15;131,180739833038
2259830;1;3;1;50;1; ; ;3;4; ;2;2;2;2;2; ; ; ; ; ; ; ;04;1;15;15;131,180739833038
2259831;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;04;1;15;15;84,5640293015225
2259831;1;2;1;50;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;04;1;15;15;84,5640293015225
2259832;1;1;1;50;1; ; ;1;3; ;2;2;2;2;2; ; ; ; ; ; ; ;04;1;15;15;53,2512961964381
2259832;1;2;1;50;1; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;04;1;15;15;53,2512961964381
2259833;1;1;1;50;1;2; ;1;2; ;2;2;2;1; ; ; ; ; ; ; ;1;04;1;15;15;112,047793009184
2259833;1;2;1;50;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;04;1;15;15;112,047793009184
2259833;1;3;1;50;1; ; ;3;3; ;2;2;2;2;2; ; ; ; ; ; ; ;04;1;15;15;112,047793009184
2259834;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;04;1;15;15;120,359563148118
2259834;1;2;1;50;1; ; ;2;6;VACACIONES;2;1; ; ; ; ; ; ; ; ; ; ;04;1;15;15;120,359563148118
2259834;1;3;1;50;1; ; ;3;3; ;2;2;2;2;2; ; ; ; ; ; ; ;04;1;15;15;120,359563148118
2259835;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;04;1;15;15;126,196348169107
2259835;1;2;1;50;1; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;04;1;15;15;126,196348169107
2259835;1;5;1;50;1; ; ;5;1; ; ; ; ; ; ; ; ; ; ; ; ; ;04;1;15;15;126,196348169107
