DIRECTORIO;SECUENCIA_P;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5210S1;P5210S10;P5210S11;P5210S14;P5210S15;P5210S16;P5210S17;P5210S18;P5210S19;P5210S2;P5210S20;P5210S21;P5210S22;P5210S24;P5210S3;P5210S4;P5210S5;P5210S6;P5210S7;P5210S8;P5210S9;P5220;P5220S1;P6006;P6007;P6007S1;P6008;HOGAR;P4000;P4010;P4020;P4030S1;P4030S2;P4030S3;P4030S4;P4030S5;P4030S1A1;P4030S4A1;P4040;REGIS;clase;MES;DPTO;ORDEN;AREA;fex_c_2011
2259833;1;4;3;1;1;1;1;1;3;2; ;400000;55000000;280000; ;2;1;1;1;1;2;2;2;2;1;1;2;2;2;2;1;1;1;1;1;2;1;3;2;2; ;4;1;1;1;4;1;1;1;1;1;3;3;1;01;1;04;15;1;15;112,047793009184
2259834;1;4;2;1;1;1;1;1;4;2; ;330000;50000000;300000; ;1;1;1;2;1;1;2;2;2;2;1;2;2;2;2;1;1;1;1;2;1;1;2;2;2; ;3;1;1;1;4;1;2;1;1;1;2;3;1;01;1;04;15;1;15;120,359563148118
2259835;1;4;3;1;1;1;1;1;3;3; ; ; ; ;300000;2;1;1;1;1;2;2;2;2;2;1;2;1;2;1;2;1;1;1;2;2;1;2;2;2; ;5;1;1;1;4;1;1;1;1;1;3;3;1;01;1;04;15;1;15;126,196348169107
2259836;1;4;2;1;1;1;1;1;4;3; ; ; ; ;300000;2;1;1;1;1;1;2;2;2;1;2;1;2;2;2;1;1;1;1;2;2;1;2;2;2; ;2;1;1;1;4;1;2;1;1;1;3;3;1;01;1;04;15;1;15;72,3954204556403
2259837;1;5;3;1;1;1;1;1;3;3; ; ; ; ;250000;2;2;1;1;1;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;1;2;2;2; ;4;1;1;1;4;1;1;1;1;1;1;3;1;01;1;04;15;1;15;113,395225170145
2259838;1;3;1;1;1;1;1;1;3;3; ; ; ; ;300000;2;2;1;2;2;2;2;2;2;1;2;2;2;2;2;2;1;1;1;2;2;1;2;2;2; ;3;1;1;1;4;1;1;1;1;1;3;3;2;01;1;04;15;1;15;119,012130987156
2259839;1;3;2;1;1;1;1;1;3;2; ;157000;30000000;220000; ;2;2;1;1;2;2;2;2;2;1;2;1;2;2;2;1;1;1;1;2;2;1;2;2;2; ;3;1;1;1;4;1;1;1;1;1;2;2;1;01;1;04;17;1;17;159,898244102719
2259840;1;3;3;1;1;1;1;1;4;3; ; ; ; ;220000;2;2;1;1;1;2;2;2;2;1;1;2;2;2;2;1;1;1;1;1;2;1;2;2;2; ;3;1;2;1;4;1;2;1;1;1;2;2;1;01;1;04;17;1;17;186,973381169141
2259841;1;3;1;1;1;1;1;1;4;3; ; ; ; ;220000;2;1;1;1;1;1;2;2;2;1;2;2;2;2;2;1;1;1;1;1;1;1;2;2;2; ;2;1;2;1;4;1;2;1;1;1;2;2;1;01;1;04;17;1;17;136,525469420035
2259842;1;3;2;1;1;1;1;1;4;3; ; ; ; ;220000;2;2;1;2;2;1;2;2;2;1;2;2;2;2;1;2;1;1;1;2;2;1;1;2;2; ;3;1;2;1;3;1;2;1;1;1;2;2;1;01;1;04;17;1;17;156,550291870998
