DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S8;P7420S7A1;P7422;P7422S1;P9460;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;RAMA4D_D;DPTO;fex_c_2011
1938722;1;1;1;70;05;8;48;1; ;2;8;1; ;7;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;83;97;17;1;1;1720;05;852,844803404446
1938722;1;2;1;70;05;40;48;1; ;2;40;1; ;8;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;2;5234;05;852,844803404446
1938723;1;1;1;70;05;12;48;1; ;2;12;1; ;7;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;95;45;1;1;4521;05;805,421546367412
1938724;1;4;1;70;05;8;48;1; ;2;26;1; ;7;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;58;92;74;1;1;7430;05;971,326718427586
1938727;1;4;1;70;05;16;48;1; ;2;16;1; ;6;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;32;33;52;1;2;5241;05;1051,08592518179
1938728;1;3;1;70;05;40;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;03; ; ;1;2; ;05;1254,01118296738
1938729;1;4;1;70;05;8;48;1; ;2;5;1; ;6;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;79;77;15;1;1;1551;05;543,221089675677
1938729;1;5;1;70;05;36;48;1; ;2;36;1; ;5;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;2;5219;05;543,221089675677
1938741;1;8;1;70;05;4;48;1; ;2;7;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;1;5239;05;1123,2172342947
1938743;1;2;1;70;05;6;48;1; ;2;16;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;79;79;17;1;1;1730;05;813,099127386862
1938751;1;1;1;70;05;5;50;4; ;2;5;4; ;1;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;81;81;36;1;1;3611;05;894,571772178132
1938752;1;1;1;70;05;5;48;1; ;2;5;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;60;60;92;1;1;9242;05;1137,37663334083
1938760;1;2;1;70;05;2;24;4; ;2;3;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;280000;2;45;77;01;1;1;0115;05;909,901306672662
1938781;1;1;1;70;05;40;48;1; ;2;40;1; ;9;6; ; ; ; ; ; ; ; ; ;1; ;2; ;2;79;79;18;1;2;1810;05;1086,71269529372
1938784;1;3;1;70;05;8;48;1; ;2;8;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;1;50000;2;95;95;45;1;1;4521;05;886,120671760501
1938786;1;1;1;70;05;40;48;3; ;2;40;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;55;74;1;2;7493;05;1008,11038364768
1938799;1;4;1;70;05;48;48;2; ;2;52;1; ;6;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;13;13;80;1;2;8043;05;989,681544866635
1938802;1;2;1;70;05;52;48;1; ;2;52;1; ;4;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;92;92;17;1;2;1730;05;1008,11038364768
1938806;1;2;1;70;05;24;48;1; ;2;48;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;50;55;1;2;5530;05;1032,44808785871
1938814;1;2;1;70;05;48;48;2; ;2;18;1; ;8;9;SISBEN  - VINCULADO; ; ; ; ; ; ; ; ;1; ;2; ;2;13;13;80;1;2;8043;05;1055,03010432542
1938823;1;1;1;70;05;38;48;1; ;2;38;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;39;39;26;1;2;2691;05;870,234067967098
1938947;1;1;1;70;17;200;40;1; ;2;200;1; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;33;44;65;1;2;6599;17;176,473564653647
1938948;1;1;1;70;17;250;40;1; ;2;372;2; ;9;2; ; ; ; ; ; ; ; ;1; ;ESTA ESPERANDO LA PENSION;2; ;2;45;58;75;1;2;7524;17;146,131901198666
1938948;1;3;1;70;17;4;48;1; ;2;5;1; ;4;8; ; ; ; ; ; ; ; ; ;1; ;1;700000;2;53;33;55;1;1;5521;17;146,131901198666
1938949;1;2;1;70;17;108;40;2; ;2;12;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;13;32;93;1;2;9303;17;148,801570557363
1938958;1;3;1;70;17;52;48;1; ;2;52;1; ;7;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;51;1;2;5141;17;118,558123175051
1938963;1;3;1;70;17;24;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;58; ; ;1;2; ;17;179,494496675442
1938968;1;2;1;70;17;52;48;1; ;2;104;3; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;59;54;95;1;2;9500;17;185,975648922979
1938973;1;1;1;70;17;17;48;1; ;2;17;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;17;17;92;1;2;9213;17;154,589101239356
1938982;1;1;1;70;17;12;48;3; ;2;12;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;95;1;1;9500;17;197,454924195686
1938985;1;1;1;70;17;20;48;1; ;2;20;1; ;6;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;95;45;1;2;4521;17;157,356986670722
1938988;1;3;1;70;17;24;48;1; ;2;24;1; ;9;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;02;02;64;1;2;6425;17;136,679857140445
1938995;1;1;1;70;17;52;36;4; ;2;26;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;75;75;17;1;2;1743;17;166,817059589515
1939201;1;2;1;70;23;4;40;4; ;2;24;1; ;6;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;94;53;55;1;1;5521;23;115,708782477684
1939205;1;1;1;70;23;4;48;3; ;2;10;1; ;3;7; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;53;55;1;1;5521;23;140,378835101912
1939211;1;2;1;70;23;1;15;1; ;2;5;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;1;35000;2;55;81;36;1;1;3611;23;145,70607876689
1939367;1;2;1;70;50;150;48;1; ;2;48;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;45;52;1;2;5239;50;165,420673090442
1939368;1;1;1;70;50;4;48;1; ;2;4;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;54;95;1;1;9500;50;178,721442763682
