DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P6016;P6020;P6030;P6030S1;P6030S3;P6040;P6050;P6070;P6090;P6140;P6150;P6100;P6110;P6120;P6125;P6160;P6170;P6175;P6210;P6210S1;P6220;CLASE;ESC;DPTO;fex_c_2011
1950681;1;1;1;10;1;1;1;7;1960;49;1;2;1; ; ;3; ; ;2;1;2; ;3;2; ;2;2;63;721,625484922433
1950681;1;2;1;10;2;2;1;6;1963;46;2;2;1; ; ;3; ; ;2;1;2; ;3;3; ;2;3;63;721,625484922433
1950681;1;3;1;10;3;1;1;3;1995;14;3;6;1; ; ;3; ; ;2;1;1;1;3;3; ;2;3;63;721,625484922433
1950681;1;4;1;10;2;1;1;11;1999;9;3; ;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;63;721,625484922433
1950681;1;5;1;10;2;1;1;11;2001;7;3; ;1; ; ;3; ; ;2;2;1;1;3;0; ;2;0;63;721,625484922433
1950682;1;1;1;10;1;1;1;10;1979;30;1;2;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;63;664,8699400283
1950682;1;2;1;10;2;2;1;4;1980;29;2;2;1; ; ;3; ; ;2;1;2; ;3;3; ;2;3;63;664,8699400283
1950682;1;3;1;10;2;1;1;8;2000;9;3; ;1; ; ;3; ; ;2;1;1;1;3;3; ;2;3;63;664,8699400283
1950682;1;4;1;10;2;1;1;8;2002;7;3; ;1; ; ;3; ; ;2;1;1;1;3;1; ;2;1;63;664,8699400283
1950683;1;1;1;10;1;1;1;11;1936;72;1;2;2;1;6; ; ; ;2;2;2; ;1;0; ;2;0;63;581,750300090083
1950683;1;2;1;10;2;2;1;12;1938;70;2;2;2;1;6; ; ; ;2;2;2; ;1;0; ;2;0;63;581,750300090083
1950774;1;1;1;10;1;1;1;4;1936;73;1;3;1; ; ;3; ; ;2;1;2; ;3;1; ;2;1;63;581,750300090083
1950774;1;2;1;10;2;2;1;2;1939;70;2;3;1; ; ;1;5; ;2;1;2; ;3;3; ;2;3;63;581,750300090083
1950777;1;1;1;10;1;1;1;1;1970;39;1;2;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;63;475,568941723996
