DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7430;P7440;P7450;P7450S1;P7460;P7470;P7472;P7472S1;P7454;P7456;P7458S1;P7458;P7452;INI;DPTO;AREA;fex_c_2011
1929780;1;4;1;80;1;1;4;7; ;2; ;2; ; ;4; ;8;1;1;68;68;295,7246270909
1929780;2;1;2;80;1;1;4;4; ;2; ;2; ; ; ; ;8;2;1;68;68;295,7246270909
1929781;1;1;1;80;1;1;2;4; ;2; ;2; ; ; ; ;4;2;1;68;68;314,060169722811
1938723;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;05;805,421546367412
1938725;1;2;1;80;1;1;3;3; ;2; ;2; ; ; ; ;9;2;1;05;05;1032,44808785871
1938726;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;05;861,532324327405
1938727;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;05;1051,08592518179
1938727;1;5;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;05;1051,08592518179
1938727;1;6;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;05;1051,08592518179
1938728;1;2;1;80;1;1;4;3; ;2; ;2; ; ; ; ;9;2;1;05;05;1254,01118296738
1938728;1;4;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;05;1254,01118296738
1938729;1;1;1;80;1;1;2;3; ;2; ;2; ; ; ; ;1;2;1;05;05;543,221089675677
1938729;1;7;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;05;543,221089675677
1938733;1;1;1;80;1;1;1;8; ;2; ;2; ; ; ; ;8;2;1;05;05;779,277472964259
1938733;1;3;1;80;1;1;1;9;CAMBIO  DE  DOMICILIO;2; ;2; ; ; ; ;11;2;1;05;05;779,277472964259
1938733;1;4;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;05;779,277472964259
1938733;1;5;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;05;779,277472964259
1938734;1;2;1;80;1;1;4;8; ;2; ;2; ; ; ; ;9;2;1;05;05;931,447115050485
1938734;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;05;931,447115050485
1938735;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;05;1130,53068683826
1938736;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;05;1214,13157959028
1938738;1;1;1;80;1;1;4;3; ;2; ;2; ; ; ; ;9;2;1;05;05;737,470836903463
1938740;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;05;517,726490356482
1938740;1;4;1;80;1;1;1;2; ;2; ;2; ; ; ; ;2;2;1;05;05;517,726490356482
1938741;1;3;1;80;1;1;1;3; ;2; ;2; ; ; ; ;9;2;1;05;05;1123,2172342947
1938744;1;1;1;80;1;1;4;6; ;3; ;2; ; ; ; ;11;2;1;05;05;920,673595874028
1938744;1;2;1;80;1;1;1;4; ;2; ;2; ; ; ; ;4;2;1;05;05;920,673595874028
1938745;1;2;1;80;1;1;3;6; ;2; ;2; ; ; ; ;11;2;1;05;05;752,080251101547
1938745;1;3;1;80;1;1;1;9;EMBARAZO;2; ;2; ; ; ; ;9;2;1;05;05;752,080251101547
1938747;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;05;608,045621640513
1938747;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;05;608,045621640513
1938747;1;5;1;80;1;1;4;4; ;2; ;2; ; ; ; ;4;2;1;05;05;608,045621640513
1938748;1;1;1;80;1;1;2;6; ;2; ;2; ; ; ;POR   FALTA   DE DOCUMENTO;12;2;1;05;05;797,406694391531
1938748;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;05;797,406694391531
1938751;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;05;894,571772178132
1938755;1;1;1;80;1;1;4;5; ;3; ;2; ; ; ; ;10;2;1;05;05;785,028021300013
1938755;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;05;785,028021300013
1938757;1;1;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;05;475,420757853963
1938757;1;5;1;80;1;1;2;2; ;2; ;2; ; ; ; ;2;2;1;05;05;475,420757853963
1938757;1;6;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;05;475,420757853963
1938757;1;7;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;05;475,420757853963
1938758;1;1;1;80;1;1;4;5; ;3; ;2; ; ; ; ;10;2;1;05;05;903,284331311376
1938761;1;2;1;80;1;1;2;3; ;2; ;2; ; ; ; ;9;2;1;05;05;909,901306672662
1938762;1;1;1;80;1;1;4;4; ;2; ;2; ; ; ; ;4;2;1;05;05;870,470488472427
1938762;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;05;870,470488472427
1938765;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;05;849,974470259215
1938766;1;1;1;80;1;1;4;5; ;3; ;2; ; ; ; ;11;2;1;05;05;714,3288956852
1938769;1;1;1;80;1;1;4;5; ;3; ;2; ; ; ; ;10;2;1;05;05;658,141506856438
1938769;1;3;1;80;1;2; ; ; ;2; ;2; ;1;1; ;9; ;1;05;05;658,141506856438
1938769;1;4;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;05;658,141506856438
1938770;1;1;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;05;852,844803404446
1938770;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;05;852,844803404446
1938772;1;1;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;05;714,3288956852
1938773;1;3;1;80;1;1;4;4; ;2; ;2; ; ; ; ;8;2;1;05;05;827,816405294031
1938774;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;05;569,678523662908
1938778;1;1;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;05;907,243338198968
1938778;1;2;1;80;1;1;4;7; ;2; ;2; ; ; ; ;2;2;1;05;05;907,243338198968
1938778;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;05;907,243338198968
1938779;1;1;1;80;1;1;4;5; ;3; ;2; ; ; ; ;10;2;1;05;05;886,120671760501
1938779;1;2;1;80;1;1;3;5; ;3; ;2; ; ; ; ;10;2;1;05;05;886,120671760501
1938783;1;1;1;80;1;1;4;5; ;3; ;2; ; ; ; ;10;2;1;05;05;819,806550425317
1938783;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;05;819,806550425317
1938783;1;4;1;80;1;1;3;3; ;2; ;2; ; ; ; ;9;2;1;05;05;819,806550425317
1938784;1;1;1;80;1;1;4;8; ;2; ;2; ; ; ; ;8;2;1;05;05;886,120671760501
1938785;1;1;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;05;1214,35718460206
1938785;1;7;1;80;1;1;1;2; ;2; ;2; ; ; ; ;2;2;1;05;05;1214,35718460206
1938787;1;2;1;80;1;1;4;3; ;2; ;2; ; ; ; ;9;2;1;05;05;1032,44808785871
1938790;1;1;1;80;1;1;4;5; ;3; ;2; ; ; ; ;10;2;1;05;05;901,187517564327
1938790;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;05;901,187517564327
1938794;1;1;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;05;990,721119085027
1938795;1;2;1;80;1;1;2;2; ;2; ;2; ; ; ; ;2;2;1;05;05;914,057850487833
1938796;1;1;1;80;1;1;4;4; ;2; ;2; ; ; ; ;4;2;1;05;05;1008,11038364768
1938797;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;05;782,797280193447
1938798;1;4;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;05;1076,2552639097
1938799;1;1;1;80;1;2; ; ; ;3; ;2; ;2; ;.; ; ;1;05;05;989,681544866635
1938801;1;1;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;05;832,585205696563
1938803;1;1;1;80;1;1;4;3; ;2; ;2; ; ; ; ;9;2;1;05;05;870,234067967098
1938803;1;2;1;80;1;1;2;2; ;2; ;2; ; ; ; ;2;2;1;05;05;870,234067967098
1938803;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;05;870,234067967098
1938807;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;05;870,234067967098
1938807;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;05;870,234067967098
1938808;1;1;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;05;832,585205696563
1938815;1;1;1;80;1;1;4;3; ;2; ;2; ; ; ; ;9;2;1;05;05;933,677856157051
1938818;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;05;1036,3756605326
1938819;1;2;1;80;1;1;2;8; ;2; ;2; ; ; ; ;2;2;1;05;05;830,354464589998
1938820;1;2;1;80;1;1;1;8; ;2; ;2; ; ; ; ;2;2;1;05;05;830,354464589998
1938825;1;1;1;80;1;1;4;3; ;2; ;2; ; ; ; ;4;2;1;05;05;694,708890015982
1938827;1;1;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;13;13;314,57027758704
1938829;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;13;13;312,452933993295
1938831;1;1;1;80;1;1;4;4; ;2; ;2; ; ; ; ;8;2;1;13;13;529,969199368925
1938831;1;2;1;80;1;1;2;3; ;2; ;2; ; ; ; ;9;2;1;13;13;529,969199368925
1938832;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;13;13;373,405719168367
1938834;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;13;13;370,462942292223
1938835;1;2;1;80;1;1;2;3; ;2; ;2; ; ; ; ;9;2;1;13;13;430,683510555002
1938836;1;1;1;80;1;1;2;3; ;2; ;2; ; ; ; ;9;2;1;13;13;427,413165142436
1938837;1;2;1;80;1;1;4;4; ;2; ;2; ; ;2; ;5;1;1;13;13;376,616581141894
1938837;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;13;13;376,616581141894
1938837;1;5;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;13;13;376,616581141894
1938838;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;13;13;310,707391188637
1938838;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;13;13;310,707391188637
1938840;1;1;1;80;1;1;4;5; ;3; ;2; ; ; ; ;10;2;1;15;15;80,9608093941509
1938840;1;2;1;80;1;1;4;8; ;2; ;2; ; ; ; ;9;2;1;15;15;80,9608093941509
1938841;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;15;15;92,6288970352139
1938842;1;1;1;80;1;1;4;5; ;2; ;2; ; ; ; ;8;2;1;15;15;101,167592182839
1938842;1;2;1;80;1;1;4;4; ;2; ;2; ; ; ; ;8;2;1;15;15;101,167592182839
1938844;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;15;15;58,5188530270124
1938844;1;5;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;15;15;58,5188530270124
1938846;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;15;15;108,383906380081
1938848;1;2;1;80;1;1;4;6; ;2; ;2; ; ; ; ;8;2;1;15;15;87,4358235159188
1938849;1;1;1;80;1;1;4;3; ;2; ;2; ; ; ; ;9;2;1;15;15;87,1066053591016
1938852;1;1;1;80;1;1;2;4; ;2; ;2; ; ; ; ;8;2;1;15;15;59,1198256192595
1938852;1;4;1;80;1;1;2;2; ;2; ;2; ; ; ; ;2;2;1;15;15;59,1198256192595
1938852;1;7;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;15;15;59,1198256192595
1938854;1;1;1;80;1;1;4;7; ;2; ;2; ; ; ; ;8;2;1;15;15;101,167592182839
1938854;1;2;1;80;1;1;4;3; ;2; ;2; ; ; ; ;9;2;1;15;15;101,167592182839
1938857;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;15;15;83,127276104012
1938857;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;15;15;83,127276104012
1938857;1;4;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;15;15;83,127276104012
1938858;1;1;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;15;15;130,822299136771
1938860;1;1;1;80;1;1;4;4; ;2; ;2; ; ; ; ;4;2;1;15;15;78,838458296147
1938862;1;2;1;80;1;2; ; ; ;2; ;2; ;1;2; ;8; ;1;15;15;97,4081415499451
1938863;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;15;15;92,3617031415722
1938865;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;15;15;69,4800633968588
1938866;1;1;1;80;1;1;2;4; ;2; ;2; ; ; ; ;9;2;1;15;15;87,1066053591016
1938868;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;15;15;93,3144255872279
1938870;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;15;15;114,906155108672
1938872;1;1;1;80;1;1;4;5; ;3; ;2; ; ; ; ;10;2;1;15;15;42,358530183728
1938872;1;2;1;80;1;1;4;3; ;2; ;2; ; ; ; ;9;2;1;15;15;42,358530183728
1938872;1;5;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;15;15;42,358530183728
1938873;1;2;1;80;1;2; ; ; ;2; ;2; ;1;3; ;9; ;1;15;15;86,9927859473153
1938874;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;15;15;42,358530183728
1938874;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;15;15;42,358530183728
1938874;1;4;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;15;15;42,358530183728
1938876;1;1;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;15;15;98,1927805220156
1938877;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;15;15;63,8732157609797
1938878;1;1;1;80;1;1;4;3; ;2; ;2; ; ; ; ;9;2;1;15;15;90,867207454775
1938878;1;2;1;80;1;1;3;5; ;3; ;2; ; ; ; ;10;2;1;15;15;90,867207454775
1938880;1;1;1;80;1;1;4;5; ;3; ;2; ; ; ; ;10;2;1;15;15;87,7921339111155
1938881;1;2;1;80;1;1;1;8; ;2; ;2; ; ;1;POR EMBARAZO;12;1;1;15;15;69,7472572905005
1938881;1;3;1;80;1;1;1;6; ;2; ;2; ; ; ;SE TRASLADA DE CIUDAD;12;2;1;15;15;69,7472572905005
1938883;1;1;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;15;15;107,046194254148
1938884;1;1;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;15;15;87,7921339111155
1938885;1;1;1;80;1;1;4;5; ;3; ;2; ; ; ; ;10;2;1;15;15;81,9135318398065
1938885;1;2;1;80;1;1;4;5; ;3; ;2; ; ; ; ;10;2;1;15;15;81,9135318398065
1938887;1;1;1;80;1;1;4;4; ;2; ;2; ; ; ; ;4;2;1;15;15;66,1058226603213
1938887;1;3;1;80;1;1;1;2; ;2; ;2; ; ; ; ;2;2;1;15;15;66,1058226603213
1938887;1;4;1;80;1;1;2;2; ;2; ;2; ; ; ; ;2;2;1;15;15;66,1058226603213
1938887;2;3;2;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;15;15;66,1058226603213
1938888;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;15;15;89,1151370453191
1938891;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;15;15;122,382868940643
1938892;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;15;15;61,3121782167405
1938892;1;4;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;15;15;61,3121782167405
1938893;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;15;15;92,3617031415722
1938894;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;15;15;61,3844058178375
1938894;1;5;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;15;15;61,3844058178375
1938895;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;15;15;75,1161744847575
1938895;1;4;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;15;15;75,1161744847575
1938896;1;1;1;80;1;1;4;4; ;2; ;2; ; ; ; ;4;2;1;15;15;78,838458296147
1938898;1;4;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;15;15;86,1582340358142
1938901;1;1;1;80;1;1;4;5; ;3; ;2; ; ; ; ;10;2;1;15;15;110,06757103185
1938901;1;5;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;15;15;110,06757103185
1938907;1;1;1;80;1;1;4;5; ;3; ;2; ; ; ; ;10;2;1;15;15;80,9608093941509
1938907;1;2;1;80;1;1;3;1; ;2; ;2; ; ; ; ;9;2;1;15;15;80,9608093941509
1938908;1;1;1;80;1;1;4;4; ;2; ;2; ; ; ; ;8;2;1;15;15;87,7921339111155
1938909;1;2;1;80;1;1;4;3; ;2; ;2; ; ; ; ;9;2;1;15;15;53,4972720603109
1938910;1;1;1;80;1;1;3;3; ;2; ;2; ; ; ; ;9;2;1;15;15;87,640993146385
1938911;1;1;1;80;1;1;4;4; ;2; ;2; ; ; ; ;9;2;1;15;15;124,977664227378
1938911;1;7;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;15;15;124,977664227378
1938916;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;15;15;54,4808536997758
1938918;1;2;1;80;1;1;2;2; ;2; ;2; ; ; ; ;2;2;1;15;15;106,093471808492
1938919;1;2;1;80;1;1;2;1; ;2; ;2; ; ; ; ;8;2;1;15;15;70,3041142708904
1938919;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;15;15;70,3041142708904
1938919;1;4;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;15;15;70,3041142708904
1938920;1;1;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;15;15;72,6689563523046
1938921;1;1;1;80;1;1;3;3; ;2; ;2; ; ; ; ;9;2;1;15;15;77,8721783215413
1938922;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;15;15;62,7758147097285
1938922;1;4;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;15;15;62,7758147097285
1938923;1;2;1;80;1;1;2;3; ;2; ;2; ; ; ; ;9;2;1;15;15;106,093471808492
1938929;1;4;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;15;15;79,8807100077589
1938931;1;2;1;80;1;1;3;8; ;2; ;2; ; ;2; ;6;1;1;15;15;75,1161744847575
1938931;1;4;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;15;15;75,1161744847575
1938932;1;4;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;15;15;71,8696083885044
