DIRECTORIO;SECUENCIA_P;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5210S1;P5210S10;P5210S11;P5210S14;P5210S15;P5210S16;P5210S17;P5210S18;P5210S19;P5210S2;P5210S20;P5210S21;P5210S22;P5210S24;P5210S3;P5210S4;P5210S5;P5210S6;P5210S7;P5210S8;P5210S9;HOGAR;P4000;P4010;P4020;P4030S1;P4030S2;P4030S3;P4030S4;P4030S5;P4030S1A1;P4030S4A1;P4040;REGIS;AREA;DPTO;ORDEN;fex_c_2011
1929780;1;7;5;1;2;1;1;1;3;1; ; ;50000000;500000; ;1;2;1;1;2;2;2;2;1;1;2;2;2;2;2;2;1;1;1;1;2;1;1;1;4;1;1;1;1;1;2;3;1;01;68;68;1;295,7246270909
1929780;2;2;2;1;2;1;1;1;3;3; ; ; ; ;150000;2;2;1;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;01;68;68;1;295,7246270909
1929781;1;4;2;1;1;1;1;1;3;2; ;520000;30000000;300000; ;1;2;1;2;1;2;2;2;2;1;2;2;2;2;2;2;1;1;1;2;2;1;1;1;4;1;1;1;1;1;2;3;1;01;68;68;1;314,060169722811
1938720;1;3;1;1;1;1;1;1;1;1; ; ;50000000;200000; ;1;2;1;1;2;2;2;2;2;1;2;1;2;2;2;1;1;1;2;2;2;1;2;1;4;1;2;1;1;1;3;2;1;01;05;05;1;914,057850487833
1938722;1;3;1;1;1;1;1;1;4;4; ; ; ;120000; ;1;2;1;1;1;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;1;2;1;4;1;2;1;1;1;2;2;1;01;05;05;1;852,844803404446
1938723;1;4;3;1;1;1;1;1;1;1; ; ;15000000;150000; ;1;2;1;1;1;2;2;2;2;1;2;2;2;2;2;1;1;1;1;1;2;1;1;1;4;1;2;1;1;1;2;2;1;01;05;05;1;805,421546367412
1938724;1;5;3;1;1;1;1;1;1;1; ; ;25000000;130000; ;1;2;1;2;1;2;2;2;2;1;2;2;2;2;2;2;1;1;2;2;2;1;2;1;2;1;2;1;1;1;2;2;1;01;05;05;1;971,326718427586
1938725;1;1;1;1;1;1;1;2;4;3; ; ; ; ;120000;1;2;1;2;2;2;2;2;2;1;2;1;2;2;2;2;1;1;1;1;2;1;2;1;2;1;2;1;1;1;2;2;1;01;05;05;1;1032,44808785871
1938726;1;3;2;1;1;1;1;1;1;3; ; ; ; ;180000;1;2;1;2;2;2;2;2;2;1;2;2;2;2;2;2;1;1;1;2;2;1;2;1;4;1;2;1;1;1;2;2;1;01;05;05;1;861,532324327405
1938727;1;4;3;1;1;1;1;4;4;1; ; ;25000000;200000; ;1;2;1;2;2;1;2;2;2;2;1;1;2;2;1;1;1;1;2;2;2;1;2;1;4;1;2;1;1;1;2;2;1;01;05;05;1;1051,08592518179
1938728;1;4;3;1;1;1;1;1;4;1; ; ;50000000;200000; ;1;2;1;2;1;2;2;2;2;1;1;1;2;2;2;1;1;1;1;2;2;1;1;1;4;1;2;1;1;1;2;2;1;01;05;05;1;1254,01118296738
1938729;1;2;1;1;1;1;1;1;4;4; ; ; ;120000; ;1;2;1;2;2;2;2;2;2;1;2;2;2;2;2;2;1;1;2;2;2;1;2;1;2;1;2;1;1;1;1;2;1;01;05;05;1;543,221089675677
1938732;1;2;1;1;1;1;1;1;4;3; ; ; ; ;150000;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;1;2;1;2;1;2;1;1;1;2;2;1;01;05;05;1;1051,93416616841
1938733;1;4;3;1;1;1;1;1;4;3; ; ; ; ;180000;1;2;1;1;1;1;2;2;2;1;2;1;2;2;2;2;1;1;1;2;2;1;2;1;4;1;2;1;1;1;3;2;1;01;05;05;1;779,277472964259
1938734;1;3;2;1;1;1;1;1;1;1; ; ;25000000;150000; ;1;2;1;1;2;2;2;2;2;2;2;1;2;2;2;2;1;2;1;2;2;1;2;1;4;1;2;1;1;1;2;2;1;01;05;05;1;931,447115050485
1938735;1;4;2;3;1;1;1;1;1;1; ; ;20000000;150000; ;1;1;1;1;1;1;2;2;2;1;1;2;2;2;2;1;1;1;1;1;2;1;1;1;2;1;2;2;1;1;2;2;1;01;05;05;1;1130,53068683826
1938736;1;1;1;3;1;1;1;1;4;4; ; ; ;120000; ;1;2;1;1;2;1;2;2;2;2;1;2;2;2;2;1;1;1;1;2;2;1;2;1;2;1;2;2;1;1;2;2;1;01;05;05;1;1214,13157959028
1938738;1;4;3;1;1;1;1;1;1;3; ; ; ; ;450000;1;1;1;1;1;2;2;2;1;1;2;2;2;2;2;1;1;1;1;2;2;1;2;1;4;1;2;1;1;1;3;2;1;01;05;05;1;737,470836903463
1938740;1;4;3;1;1;1;1;1;4;3; ; ; ; ;200000;1;2;1;2;1;2;2;2;2;2;1;2;2;2;2;2;1;2;1;2;2;1;2;1;2;1;2;1;1;1;2;2;1;01;05;05;1;517,726490356482
1938741;1;3;3;1;1;1;1;1;4;1; ; ;30000000;140000; ;1;2;1;1;1;2;2;2;2;1;2;2;2;2;2;1;1;1;2;2;1;1;1;3;2;1;2;1;1;1;2;2;1;01;05;05;1;1123,2172342947
1938742;1;4;1;1;1;1;1;1;1;4; ; ; ;150000; ;1;2;1;1;1;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;2;1;4;1;2;1;1;1;3;2;1;01;05;05;1;1174,25197621318
1938743;1;4;1;1;1;1;1;1;1;1; ; ;25000000;120000; ;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;2;2;1;2;1;2;1;2;1;1;1;2;2;1;01;05;05;1;813,099127386862
1938744;1;2;1;1;1;1;1;1;4;3; ; ; ; ;200000;1;1;1;2;2;2;2;2;2;1;2;2;2;2;2;1;1;1;1;2;2;1;2;1;4;1;2;1;1;1;2;2;1;01;05;05;1;920,673595874028
1938745;1;3;2;1;1;1;1;1;4;1; ; ;20000000;200000; ;1;2;1;1;1;2;2;2;2;1;2;2;2;2;2;1;1;1;1;2;2;1;2;1;4;1;2;1;1;1;2;2;1;01;05;05;1;752,080251101547
