DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P6016;P6020;P6030;P6030S1;P6030S3;P6040;P6050;P6070;P6090;P6140;P6150;P6100;P6110;P6120;P6125;P6160;P6170;P6175;P6210;P6210S1;P6220;AREA;ESC;DPTO;fex_c_2011
1929780;1;1;1;10;1;2;1;1;1934;75;1;5;1; ; ;1;2;67000;2;1;2; ;3;2; ;68;2;68;295,7246270909
1929780;1;2;1;10;2;2;1;10;1976;33;3;4;1; ; ;1;3;13500;2;1;1;1;6;0;2;68;11;68;295,7246270909
1929780;1;3;1;10;2;2;1;7;2008;1;4; ;1; ; ;1;5; ;2; ; ; ; ; ; ;68; ;68;295,7246270909
1929780;1;4;1;10;4;1;1;10;1936;73;5;5;1; ; ;3; ; ;2;1;2; ;3;2; ;68;2;68;295,7246270909
1929780;1;5;1;10;5;2;1;4;1959;50;5;6;1; ; ;1;1;19400;2;1;2; ;3;5; ;68;5;68;295,7246270909
1929780;1;6;1;10;6;2;1;6;1981;28;5;4;1; ; ;1;1;19450;2;1;2; ;5;10;1;68;10;68;295,7246270909
1929780;1;7;1;10;6;1;1;2;2005;4;5; ;1; ; ;1;5; ;2;2;2; ;1;0; ;68;0;68;295,7246270909
1929780;1;8;1;10;8;1;1;10;1991;18;5;6;1; ; ;3; ; ;2;1;2; ;4;8; ;68;8;68;295,7246270909
1929780;1;9;1;10;9;2;1;5;1949;60;7;4;1; ; ;1;2;59640;2;1;2; ;3;5; ;68;5;68;295,7246270909
1929780;2;1;2;10;1;2;1;4;1954;55;1;4;1; ; ;3; ; ;2;1;2; ;3;5; ;68;5;68;295,7246270909
1929780;2;2;2;10;2;2;1;5;1990;19;3;6;1; ; ;3; ; ;2;1;2; ;5;11;2;68;11;68;295,7246270909
1929781;1;1;1;10;1;1;1;1;1968;41;1;3;1; ; ;1;3;62125;2;1;2; ;4;9; ;68;9;68;314,060169722811
1929781;1;2;1;10;2;2;1;11;1965;43;2;3;1; ; ;1;5; ;2;1;2; ;3;5; ;68;5;68;314,060169722811
1929781;1;3;1;10;3;2;1;6;1991;18;3;6;1; ; ;1;5; ;2;1;1;1;6;0;2;68;11;68;314,060169722811
1938720;1;1;1;10;1;1;1;3;1982;27;1;3;1; ; ;1;1;24000;2;1;2; ;5;11;2;05;11;05;914,057850487833
1938720;1;2;1;10;2;2;1;6;1989;20;2;3;1; ; ;1;5; ;2;1;2; ;5;11;2;05;11;05;914,057850487833
1938722;1;1;1;10;1;1;1;7;1987;22;1;3;2;1;2; ; ; ;2;1;2; ;5;11;2;05;11;05;852,844803404446
1938722;1;2;1;10;2;2;1;3;1987;22;2;3;2;1;2; ; ; ;2;1;2; ;5;11;2;05;11;05;852,844803404446
1938723;1;1;1;10;1;1;1;5;1946;63;1;3;1; ; ;3; ; ;1;1;2; ;3;2; ;05;2;05;805,421546367412
1938723;1;2;1;10;2;2;1;12;1951;57;2;3;1; ; ;3; ; ;1;1;2; ;3;3; ;05;3;05;805,421546367412
1938723;1;3;1;10;3;1;1;1;1988;21;3;6;1; ; ;1;4; ;2;1;1;1;6;1;3;05;12;05;805,421546367412
1938723;1;4;1;10;4;2;1;7;1978;31;3;6;1; ; ;1;1;32000;2;1;2; ;5;11;2;05;11;05;805,421546367412
1938723;1;5;1;10;4;2;1;8;1999;10;4;6;1; ; ;1;5; ;2;1;1;1;3;3; ;05;3;05;805,421546367412
1938724;1;1;1;10;1;1;1;8;1957;52;1;3;1; ; ;3; ; ;1;2;2; ;1;0; ;05;0;05;971,326718427586
1938724;1;2;1;10;2;2;1;3;1956;53;2;3;1; ; ;3; ; ;2;1;2; ;3;5; ;05;5;05;971,326718427586
1938724;1;3;1;10;3;2;1;2;1985;24;3;6;1; ; ;3; ; ;2;1;2; ;5;11;2;05;11;05;971,326718427586
1938724;1;4;1;10;4;1;1;6;1986;23;3;6;2;1;2; ; ; ;2;1;2; ;4;7; ;05;7;05;971,326718427586
1938725;1;1;1;10;1;1;1;1;1970;39;1;2;1; ; ;1;1;30000;2;1;2; ;1;0; ;05;0;05;1032,44808785871
1938725;1;2;1;10;2;2;1;11;1982;27;2;2;1; ; ;3; ; ;2;1;2; ;5;10;1;05;10;05;1032,44808785871
1938725;1;3;1;10;2;2;1;11;2007;2;3; ;1; ; ;3; ; ;1; ; ; ; ; ; ;05; ;05;1032,44808785871
1938726;1;1;1;10;1;2;1;8;1981;28;1;6;1; ; ;3; ; ;1;1;2; ;4;8; ;05;8;05;861,532324327405
1938726;1;2;1;10;2;2;1;3;1997;12;3;6;1; ; ;3; ; ;1;1;1;1;3;4; ;05;4;05;861,532324327405
1938726;1;3;1;10;1;1;1;7;2000;9;3; ;1; ; ;3; ; ;1;1;1;1;3;1; ;05;1;05;861,532324327405
1938726;1;4;1;10;1;2;1;7;2002;7;3; ;1; ; ;3; ; ;1;1;1;1;3;0; ;05;0;05;861,532324327405
1938726;1;5;1;10;1;2;1;3;2009;0;3; ;1; ; ;3; ; ;1; ; ; ; ; ; ;05; ;05;861,532324327405
1938727;1;1;1;10;1;1;1;5;1956;53;1;3;1; ; ;1;1;20800;2;1;2; ;3;5; ;05;5;05;1051,08592518179
1938727;1;2;1;10;2;2;1;5;1969;40;2;3;1; ; ;1;5; ;1;1;1;1;5;10;1;05;10;05;1051,08592518179
1938727;1;3;1;10;3;1;1;1;1988;21;3;6;1; ; ;3; ; ;2;1;2; ;6;2;3;05;13;05;1051,08592518179
1938727;1;4;1;10;4;2;1;12;1989;19;3;6;1; ; ;3; ; ;1;1;2; ;5;11;2;05;11;05;1051,08592518179
1938727;1;5;1;10;5;1;1;3;1993;16;3;6;1; ; ;1;5; ;1;1;1;1;4;9; ;05;9;05;1051,08592518179
1938727;1;6;1;10;6;1;1;11;1996;12;3;6;1; ; ;1;5; ;1;1;1;1;4;0; ;05;5;05;1051,08592518179
1938728;1;1;1;10;1;1;1;8;1955;54;1;3;1; ; ;1;1;30000;2;1;2; ;5;11;2;05;11;05;1254,01118296738
1938728;1;2;1;10;2;2;1;5;1966;43;2;3;1; ; ;1;5; ;1;1;2; ;5;11;2;05;11;05;1254,01118296738
1938728;1;3;1;10;3;1;1;11;1989;19;3;6;1; ; ;1;5; ;1;1;1;1;6;0;2;05;11;05;1254,01118296738
1938728;1;4;1;10;4;1;1;10;1994;15;3;6;1; ; ;1;5; ;1;1;1;1;4;8; ;05;8;05;1254,01118296738
1938728;1;5;1;10;2;1;1;4;2000;9;3; ;1; ; ;1;5; ;2;1;1;1;3;3; ;05;3;05;1254,01118296738
1938729;1;1;1;10;1;2;1;11;1985;23;1;4;1; ; ;3; ; ;2;1;2; ;4;8; ;05;8;05;543,221089675677
1938729;1;2;1;10;1;2;1;7;2003;6;3; ;1; ; ;3; ; ;1;2;1;1;2;0; ;05;0;05;543,221089675677
1938729;1;3;1;10;1;2;1;10;2006;3;3; ;1; ; ;3; ; ;2;2;2; ;1;0; ;05;0;05;543,221089675677
1938729;1;4;1;10;4;2;1;11;1985;23;5;6;1; ; ;3; ; ;2;1;2; ;4;6; ;05;6;05;543,221089675677
1938729;1;5;1;10;5;2;1;1;1988;21;5;6;1; ; ;3; ; ;2;1;2; ;5;11;2;05;11;05;543,221089675677
1938729;1;6;1;10;6;1;1;6;1989;20;5;6;1; ; ;1;1;20800;2;1;2; ;3;5; ;05;5;05;543,221089675677
1938729;1;7;1;10;7;1;1;8;1992;17;5;6;1; ; ;3; ; ;2;2;2; ;1;0; ;05;0;05;543,221089675677
1938732;1;1;1;10;1;1;1;1;1973;36;1;6;2;1;6; ; ; ;1;1;2; ;4;7; ;05;7;05;1051,93416616841
1938733;1;1;1;10;1;1;1;12;1957;51;1;4;1; ; ;3; ; ;2;1;2; ;5;11;2;05;11;05;779,277472964259
1938733;1;2;1;10;2;1;1;12;1983;25;3;2;1; ; ;3; ; ;2;1;2; ;4;7; ;05;7;05;779,277472964259
1938733;1;3;1;10;1;2;1;2;1992;17;3;6;1; ; ;3; ; ;2;1;1;1;4;9; ;05;9;05;779,277472964259
1938733;1;4;1;10;1;2;1;11;1994;14;3;6;1; ; ;3; ; ;2;1;1;1;4;8; ;05;8;05;779,277472964259
1938733;1;5;1;10;1;2;1;1;1997;12;3;6;1; ; ;3; ; ;2;1;1;1;4;0; ;05;5;05;779,277472964259
1938733;1;6;1;10;6;1;1;3;1991;18;5;6;1; ; ;3; ; ;2;1;1;1;4;9; ;05;9;05;779,277472964259
1938734;1;1;1;10;1;1;1;10;1964;45;1;3;2;1;5; ; ; ;2;1;2; ;3;5; ;05;5;05;931,447115050485
1938734;1;2;1;10;2;2;1;3;1965;44;2;3;2;1;5; ; ; ;1;1;2; ;4;7; ;05;7;05;931,447115050485
1938734;1;3;1;10;2;2;1;9;1992;17;3;6;2;1;5; ; ; ;1;1;1;1;4;9; ;05;9;05;931,447115050485
1938735;1;1;1;10;1;1;1;4;1943;66;1;2;1; ; ;1;2;60000;2;1;2; ;3;2; ;05;2;05;1130,53068683826
1938735;1;2;1;10;1;2;1;3;1980;29;2;2;1; ; ;1;5; ;2;1;2; ;4;6; ;05;6;05;1130,53068683826
1938735;1;3;1;10;1;1;1;9;2001;8;3; ;1; ; ;1;5; ;2;1;1;1;3;1; ;05;1;05;1130,53068683826
1938735;1;4;1;10;1;1;1;5;2009;0;3; ;1; ; ;1;5; ;2; ; ; ; ; ; ;05; ;05;1130,53068683826
1938736;1;1;1;10;1;1;1;9;1970;39;1;2;1; ; ;1;1;28000;2;1;2; ;5;11;2;05;11;05;1214,13157959028
1938736;1;2;1;10;2;2;1;1;1977;32;2;2;1; ; ;1;5; ;2;1;1;1;4;9; ;05;9;05;1214,13157959028
1938736;1;3;1;10;2;1;1;7;1995;14;3;6;1; ; ;1;5; ;2;1;2; ;4;6; ;05;6;05;1214,13157959028
1938736;1;4;1;10;2;1;1;10;2001;8;3; ;1; ; ;1;5; ;2;1;1;1;3;1; ;05;1;05;1214,13157959028
1938738;1;1;1;10;2;2;1;4;1913;96;1;5;2;1;18; ; ; ;2;1;2; ;4;9; ;05;9;05;737,470836903463
1938738;1;2;1;10;2;1;1;5;1948;61;3;6;2;2; ; ; ; ;2;1;2; ;5;11;2;05;11;05;737,470836903463
1938738;1;3;1;10;3;1;1;10;1952;57;3;6;2;1;14; ; ; ;2;1;2; ;6;5;4;05;16;05;737,470836903463
1938740;1;1;1;10;1;2;1;3;1974;35;1;4;1; ; ;3; ; ;2;1;2; ;3;2; ;05;2;05;517,726490356482
1938740;1;2;1;10;1;2;1;11;1996;12;3;6;1; ; ;3; ; ;1;1;1;1;3;4; ;05;4;05;517,726490356482
1938740;1;3;1;10;1;2;1;7;2001;8;3; ;1; ; ;3; ; ;1;1;1;1;3;2; ;05;2;05;517,726490356482
1938740;1;4;1;10;4;2;1;3;1991;18;5;6;1; ; ;3; ; ;2;1;1;1;5;10;1;05;10;05;517,726490356482
1938740;1;5;1;10;5;2;1;12;1991;17;5;6;1; ; ;3; ; ;2;1;2; ;5;11;2;05;11;05;517,726490356482
1938741;1;1;1;10;1;2;1;4;1952;57;1;4;1; ; ;1;1;20000;1;2;2; ;1;0; ;05;0;05;1123,2172342947
