DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S8;P7420S7A1;P7422;P7422S1;P9460;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;RAMA4D_D;DPTO;AREA;fex_c_2011
1938722;1;1;1;70;1;8;48;1; ;2;8;1; ;7;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;83;97;17;1;1;1720;05;05;852,844803404446
1938722;1;2;1;70;1;40;48;1; ;2;40;1; ;8;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;2;5234;05;05;852,844803404446
1938723;1;1;1;70;1;12;48;1; ;2;12;1; ;7;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;95;45;1;1;4521;05;05;805,421546367412
1938724;1;4;1;70;1;8;48;1; ;2;26;1; ;7;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;58;92;74;1;1;7430;05;05;971,326718427586
1938727;1;4;1;70;1;16;48;1; ;2;16;1; ;6;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;32;33;52;1;2;5241;05;05;1051,08592518179
1938728;1;3;1;70;1;40;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;03; ; ;1;2; ;05;05;1254,01118296738
1938729;1;4;1;70;1;8;48;1; ;2;5;1; ;6;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;79;77;15;1;1;1551;05;05;543,221089675677
1938729;1;5;1;70;1;36;48;1; ;2;36;1; ;5;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;2;5219;05;05;543,221089675677
1938741;1;8;1;70;1;4;48;1; ;2;7;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;1;5239;05;05;1123,2172342947
1938743;1;2;1;70;1;6;48;1; ;2;16;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;79;79;17;1;1;1730;05;05;813,099127386862
1938751;1;1;1;70;1;5;50;4; ;2;5;4; ;1;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;81;81;36;1;1;3611;05;05;894,571772178132
1938752;1;1;1;70;1;5;48;1; ;2;5;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;60;60;92;1;1;9242;05;05;1137,37663334083
1938760;1;2;1;70;1;2;24;4; ;2;3;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;280000;2;45;77;01;1;1;0115;05;05;909,901306672662
1938781;1;1;1;70;1;40;48;1; ;2;40;1; ;9;6; ; ; ; ; ; ; ; ; ;1; ;2; ;2;79;79;18;1;2;1810;05;05;1086,71269529372
1938784;1;3;1;70;1;8;48;1; ;2;8;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;1;50000;2;95;95;45;1;1;4521;05;05;886,120671760501
1938786;1;1;1;70;1;40;48;3; ;2;40;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;55;74;1;2;7493;05;05;1008,11038364768
1938799;1;4;1;70;1;48;48;2; ;2;52;1; ;6;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;13;13;80;1;2;8043;05;05;989,681544866635
1938802;1;2;1;70;1;52;48;1; ;2;52;1; ;4;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;92;92;17;1;2;1730;05;05;1008,11038364768
1938806;1;2;1;70;1;24;48;1; ;2;48;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;50;55;1;2;5530;05;05;1032,44808785871
1938814;1;2;1;70;1;48;48;2; ;2;18;1; ;8;9;SISBEN  - VINCULADO; ; ; ; ; ; ; ; ;1; ;2; ;2;13;13;80;1;2;8043;05;05;1055,03010432542
1938823;1;1;1;70;1;38;48;1; ;2;38;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;39;39;26;1;2;2691;05;05;870,234067967098
1938864;1;2;1;70;1;48;48;1; ;2;112;1; ;7;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;21;70;63;1;2;6331;15;15;89,1151370453191
1938864;1;3;1;70;1;8;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;33; ; ;1;1; ;15;15;89,1151370453191
1938868;1;1;1;70;1;24;48;1; ;2;24;2; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;33;33;75;1;2;7512;15;15;93,3144255872279
1938869;1;1;1;70;1;12;48;1; ;2;12;4; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;21;21;14;1;1;1411;15;15;119,468930080216
1938871;1;1;1;70;1;12;48;3; ;2;36;3; ;1;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;95;1;1;9500;15;15;75,4826333298958
1938872;1;3;1;70;1;52;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;03; ; ;1;2; ;15;15;42,358530183728
1938872;1;4;1;70;1;20;40;4; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;13; ; ;1;2; ;15;15;42,358530183728
1938877;1;3;1;70;1;24;48;1; ;2;24;1; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;32;32;74;1;2;7411;15;15;63,8732157609797
1938887;2;2;2;70;1;52;48;1; ;2;52;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;95;45;1;2;4530;15;15;66,1058226603213
1938894;1;4;1;70;1;16;50;2; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;58; ; ;1;2; ;15;15;61,3844058178375
1938905;1;3;1;70;1;52;50;1; ;2;52;2; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;58;58;75;1;2;7512;15;15;101,167592182839
1938909;1;4;1;70;1;36;50;1; ;2;36;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;39;45;1;2;4530;15;15;53,4972720603109
1938915;1;1;1;70;1;3;50;1; ;2;3;1; ;6;2; ; ; ; ; ; ; ; ; ;1; ;1;600000;2;95;95;45;1;1;4521;15;15;98,0925186391793
1938916;1;4;1;70;1;24;50;1; ;2;24;1; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;2;5233;15;15;54,4808536997758
1938920;1;3;1;70;1;36;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;33; ; ;1;2; ;15;15;72,6689563523046
1938927;1;1;1;70;1;24;48;1; ;2;24;1; ;3;7; ; ; ; ; ; ; ; ; ;1; ;1;100000;2;95;95;45;1;2;4521;15;15;90,2393520435684
1938927;1;2;1;70;1;8;48;1; ;2;8;1; ;2;5; ; ; ; ; ; ; ; ; ;1; ;2; ;2;83;83;28;1;1;2811;15;15;90,2393520435684
1938929;1;3;1;70;1;32;40;1; ;2;32;1; ;2;5; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;53;55;1;2;5522;15;15;79,8807100077589
1938931;1;3;1;70;1;4;40;1; ;2;4;1; ;6;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;95;45;1;1;4521;15;15;75,1161744847575
1938932;1;3;1;70;1;48;48;1; ;2;48;1; ;3;5; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;53;55;1;2;5530;15;15;71,8696083885044
1938947;1;1;1;70;1;200;40;1; ;2;200;1; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;33;44;65;1;2;6599;17;17;176,473564653647
1938948;1;1;1;70;1;250;40;1; ;2;372;2; ;9;2; ; ; ; ; ; ; ; ;1; ;ESTA ESPERANDO LA PENSION;2; ;2;45;58;75;1;2;7524;17;17;146,131901198666
1938948;1;3;1;70;1;4;48;1; ;2;5;1; ;4;8; ; ; ; ; ; ; ; ; ;1; ;1;700000;2;53;33;55;1;1;5521;17;17;146,131901198666
1938949;1;2;1;70;1;108;40;2; ;2;12;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;13;32;93;1;2;9303;17;17;148,801570557363
1938958;1;3;1;70;1;52;48;1; ;2;52;1; ;7;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;51;1;2;5141;17;17;118,558123175051
1938963;1;3;1;70;1;24;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;58; ; ;1;2; ;17;17;179,494496675442
1938968;1;2;1;70;1;52;48;1; ;2;104;3; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;59;54;95;1;2;9500;17;17;185,975648922979
1938973;1;1;1;70;1;17;48;1; ;2;17;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;17;17;92;1;2;9213;17;17;154,589101239356
1938982;1;1;1;70;1;12;48;3; ;2;12;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;95;1;1;9500;17;17;197,454924195686
1938985;1;1;1;70;1;20;48;1; ;2;20;1; ;6;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;95;45;1;2;4521;17;17;157,356986670722
1938988;1;3;1;70;1;24;48;1; ;2;24;1; ;9;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;02;02;64;1;2;6425;17;17;136,679857140445
1938995;1;1;1;70;1;52;36;4; ;2;26;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;75;75;17;1;2;1743;17;17;166,817059589515
1939028;1;3;1;70;1;20;48;1; ;2;20;1; ;8;7; ; ; ; ; ; ; ; ; ;1; ;2; ;2;58;58;74;1;2;7492;18;18;65,3439033326828
1939034;1;1;1;70;1;24;52;1; ;2;26;1; ;2;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;2;5234;18;18;54,8013377701903
1939035;1;5;1;70;1;8;48;1; ;2;9;1; ;2;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;32;45;52;1;1;5233;18;18;40,7493127283759
1939037;1;1;1;70;1;5;43;1; ;2;12;4; ;1;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;41;52;1;1;5233;18;18;50,45032764459
1939038;1;3;1;70;1;8;52;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;58; ; ;1;1; ;18;18;61,3594999418656
1939041;1;2;1;70;1;12;48;1; ;2;12;2; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;62;58;75;1;1;7522;18;18;64,8346726024465
1939044;1;3;1;70;1;48;50;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;2; ;18;18;69,4935020102212
1939044;1;4;1;70;1;12;54;4; ;2;12;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;77;62;92;1;1;9249;18;18;69,4935020102212
1939051;1;1;1;70;1;3;40;1; ;2;48;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;1;5233;18;18;49,9410969143537
1939059;1;3;1;70;1;12;48;1; ;2;12;1; ;7;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;37;37;41;1;1;4100;19;19;93,7551796335175
1939062;1;1;1;70;1;8;48;1; ;2;8;1; ;5;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;55;45;1;1;4530;19;19;186,378884352072
1939066;1;1;1;70;1;208;48;1; ;2;208;2; ;9;7; ; ; ; ; ; ; ; ; ;1; ;2; ;2;32;30;65;1;2;6512;19;19;58,2297645717927
1939067;1;3;1;70;1;52;48;1; ;2;52;1; ;9;7; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;2;5211;19;19;126,484261416833
1939071;1;3;1;70;1;52;48;1; ;2;24;1; ;2;7; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;33;74;1;2;7494;19;19;109,297688166352
1939079;1;1;1;70;1;3;40;1; ;2;3;4; ;1;8; ; ; ; ; ; ; ; ; ;1; ;1;250000;2;45;45;52;1;1;5262;19;19;96,2092758328376
1939084;1;5;1;70;1;150;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;03; ; ;1;2; ;19;19;64,5034453581542
1939087;1;2;1;70;1;48;48;1; ;2;48;1; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;51;1;2;5139;19;19;122,167676509338
1939093;1;2;1;70;1;40;24;4; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;54; ; ;1;2; ;19;19;90,32499430387
1939102;1;3;1;70;1;16;24;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;95; ; ;1;2; ;19;19;108,491597315436
1939104;1;1;1;70;1;12;48;1; ;2;16;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;97;97;10;1;1;1010;20;20;132,166613951514
1939107;1;3;1;70;1;3;54;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;1; ;20;20;114,646134174133
