DIRECTORIO;SECUENCIA_P;ORDEN;REGIS;P7250;P7260;P7280;P7280S1;P7290;P7300;P7310;P7320;P7350;P7350S1;P7360;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S8;P7420S7A1;P7422;P7422S1;P7424;P7424S1;CLASE;OFICIO1;OFICIO2;RAMA4D_D;RAMA2D_D;DSI;DPTO;AREA;fex_c_2011
525784;1;8;70;8;48;1; ;2;2;2;16;1; ;8;8; ; ; ; ; ; ; ; ; ;1; ;2; ;1;200000;1;45;45;5211;52;1;05;05;613,225799002252
525797;1;2;70;4;48;1; ;2;2;2;4;1; ;8;3; ; ; ; ; ; ; ; ; ;1; ;2; ;1;3000000;1;79;79;1810;18;1;05;05;439,675758994369
525799;1;1;70;153;48;1; ;1;1;2;153;1; ;9;1; ; ; ; ; ; ; ; ;1; ;ESPERA  RECIBIR  LA  PENSION;2; ;2; ;1;33;30;6512;65;1;05;05;689,209742413205
525806;1;5;70;200;48;1; ;1;1;2;200;1; ;9;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;97;97;5211;52;1;05;05;975,779404732486
525814;1;9;70;4;48;4; ;1;1;2;4;1; ;5;4; ; ; ; ; ; ; ; ; ;1; ;2; ;1;4250000;1;98;98;6042;60;1;05;05;988,649404578552
525822;1;1;70;48;48;1; ;1;1;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;37; ; ; ;1;05;05;1174,71710962201
525829;1;2;70;46;40;1; ;1;1;2;156;4; ;1;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;19;19;8515;85;1;08;08;492,398726183385
525832;1;4;70;32;56;1; ;1;1;2;32;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;3060000;1;45;45;5233;52;1;08;08;457,857872552621
525835;1;2;70;78;40;1; ;1;1;2;78;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;32;32;6042;60;1;08;08;912,411043315644
525836;1;2;70;56;40;1; ;2;2;2;56;1; ;9;1; ; ;1; ; ; ; ; ; ; ; ;2; ;2; ;1;05;05;8511;85;1;08;08;1016,69392274575
