Directorio;Secuencia_p;Orden;Regis;P7480;P7480s1;P7480s2;P7480s3;P7480s4;P7480s5;P7480s6;P7480s7;P7480s8;P7480s9;P7480s10;P7480s11;P7480s12;P7480s1a1;P7480s2a1;P7480s3a1;P7480s4a1;P7480s5a1;P7480s6a1;P7480s7a1;P7480s8a1;P7480s9a1;P7480s10a1;P7480s11a1;P7480s12a1;Clase;Dpto;Fex_c_2011
400722;1;1;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;4; ; ; ; ; ; ; ; ; ;2;47;1629,41964424884
400722;1;2;90; ;1;2;1;2;2;2;2;2;2;2;2;2;1; ;8; ; ; ; ; ; ; ; ; ;2;47;1629,41964424884
400722;1;3;90; ;2;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ;2;47;1629,41964424884
400723;1;1;90; ;2;1;1;2;2;2;2;2;2;2;2;2; ;28;28; ; ; ; ; ; ; ; ; ;2;47;2013,02565508353
400723;1;2;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;98; ; ; ; ; ; ; ; ; ;2;47;2013,02565508353
400724;1;1;90; ;2;2;1;2;2;2;2;2;1;2;2;2; ; ;30; ; ; ; ; ;30; ; ; ;2;47;1394,27043324845
400725;1;1;90; ;2;2;1;2;2;2;2;2;2;2;1;2; ; ;12; ; ; ; ; ; ; ;15; ;2;47;1358,90791976188
400725;1;2;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;10; ; ; ; ; ; ; ; ; ;2;47;1358,90791976188
400726;1;1;90; ;2;1;2;2;2;2;2;2;2;2;2;2; ;15; ; ; ; ; ; ; ; ; ; ;2;47;1140,19214353898
400726;1;2;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;10; ; ; ; ; ; ; ; ; ;2;47;1140,19214353898
405179;1;1;90; ;2;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ;2;23;1410,70386802595
405179;1;2;90; ;2;2;1;2;1;2;2;2;2;2;2;2; ; ;28; ;14; ; ; ; ; ; ; ;2;23;1410,70386802595
405179;1;3;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;14; ; ; ; ; ; ; ; ; ;2;23;1410,70386802595
405180;1;1;90; ;2;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ;2;23;2027,32677485255
405180;1;2;90; ;2;2;2;2;1;2;2;2;2;2;2;2; ; ; ; ;14; ; ; ; ; ; ; ;2;23;2027,32677485255
405180;1;4;90; ;2;2;1;2;1;2;2;2;2;2;2;2; ; ;21; ;35; ; ; ; ; ; ; ;2;23;2027,32677485255
405180;2;1;90; ;2;2;2;2;1;2;2;2;2;2;2;2; ; ; ; ;5; ; ; ; ; ; ; ;2;23;2027,32677485255
405180;2;2;90; ;2;2;1;2;1;2;2;2;2;2;2;2; ; ;14; ;49; ; ; ; ; ; ; ;2;23;2027,32677485255
