Directorio;Secuencia_p;Orden;Area;Regis;P7430;P7440;P7450;P7450s1;P7460;P7470;P7472;P7472s1;P7490;P7490s1;Ini;Dpto;Fex_c_2011
396049;1;2;05;80;1;4;3; ;2; ; ; ; ; ;1;05;695,442612622102
396049;1;3;05;80;2; ; ; ; ; ; ; ; ; ;1;05;695,442612622102
396049;1;4;05;80;2; ; ; ; ; ; ; ; ; ;1;05;695,442612622102
396054;1;6;05;80;2; ; ; ; ; ; ; ; ; ;1;05;774,532784195525
396058;1;1;05;80;1;4;2; ;2; ; ; ; ; ;1;05;604,030849403534
396060;1;2;05;80;2; ; ; ; ; ; ; ; ; ;1;05;734,469097222222
396060;1;3;05;80;2; ; ; ; ; ; ; ; ; ;1;05;734,469097222222
396064;1;2;05;80;1;3;3; ;2; ; ; ; ; ;1;05;670,173350538141
396064;1;3;05;80;1;1;3; ;2; ; ; ; ; ;1;05;670,173350538141
396067;1;1;05;80;1;4;4; ;3; ; ; ; ; ;1;05;1006,97094212779
396067;1;2;05;80;1;1;2; ;2; ; ; ; ; ;1;05;1006,97094212779
396069;1;3;05;80;1;4;1; ;2; ; ; ; ; ;1;05;937,271302694195
396072;1;1;05;80;2; ; ; ; ; ; ; ; ; ;1;05;693,846902289696
396073;1;2;05;80;1;4;2; ;2; ; ; ; ; ;1;05;847,695002748631
396075;1;2;05;80;1;4;6; ;2; ; ; ; ; ;1;05;799,581330246127
396081;1;2;05;80;2; ; ; ; ; ; ; ; ; ;1;05;607,965188674521
396081;1;3;05;80;2; ; ; ; ; ; ; ; ; ;1;05;607,965188674521
396083;1;2;05;80;1;4;2; ;2; ; ; ; ; ;1;05;881,895195719246
396088;1;4;05;80;2; ; ; ; ; ; ; ; ; ;1;05;573,699664967713
396088;1;5;05;80;2; ; ; ; ; ; ; ; ; ;1;05;573,699664967713
396091;1;2;05;80;2; ; ; ; ; ; ; ; ; ;1;05;1140,21870870118
396091;1;3;05;80;2; ; ; ; ; ; ; ; ; ;1;05;1140,21870870118
396091;1;5;05;80;2; ; ; ; ; ; ; ; ; ;1;05;1140,21870870118
396097;1;1;05;80;1;3;4; ;3; ; ; ; ; ;1;05;649,135181723206
396097;1;2;05;80;1;2;4; ;3; ; ; ; ; ;1;05;649,135181723206
396097;1;4;05;80;1;2;8;PROBLEMAS PERSONALES;2; ; ; ; ; ;1;05;649,135181723206
396101;1;1;05;80;2; ; ; ; ; ; ; ; ; ;1;05;842,759721593429
396101;1;2;05;80;1;1;7; ;2; ; ; ; ; ;1;05;842,759721593429
396101;1;4;05;80;2; ; ; ; ; ; ; ; ; ;1;05;842,759721593429
396101;1;6;05;80;2; ; ; ; ; ; ; ; ; ;1;05;842,759721593429
396101;1;7;05;80;2; ; ; ; ; ; ; ; ; ;1;05;842,759721593429
396109;1;2;05;80;2; ; ; ; ; ; ; ; ; ;1;05;996,408092705589
