Directorio;Secuencia_p;Orden;Hogar;Regis;Area;P6290;P6290s1;P6230;P6240;P6240s1;P6250;P6260;P6270;P6280;P6300;P6310;P6310s1;P6320;P6330;P6340;P6350;P6351;Mes;Ft;Dpto;Fex_c_2011
3181767;1;1;1;50;66; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;04;1;66;253,017688879522
3181767;1;2;1;50;66; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;04;1;66;253,017688879522
3181767;1;3;1;50;66; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;04;1;66;253,017688879522
3181768;1;1;1;50;66; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;04;1;66;387,202557913468
3181768;1;2;1;50;66; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;04;1;66;387,202557913468
3181768;1;3;1;50;66; ; ;3;4; ;2;2;2;2;1;2; ;1;1; ;4;1;04;1;66;387,202557913468
3181769;1;1;1;50;66; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;04;1;66;424,722074080082
3181770;1;1;1;50;66; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;04;1;66;184,057076720961
3181770;1;2;1;50;66; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;04;1;66;184,057076720961
3181770;1;3;1;50;66; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;04;1;66;184,057076720961
3181771;1;1;1;50;66; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;04;1;66;368,040637258784
3181771;1;2;1;50;66; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;04;1;66;368,040637258784
3181771;1;3;1;50;66; ; ;3;3; ;2;2;2;2;1;6; ;2; ;2; ; ;04;1;66;368,040637258784
3181771;1;4;1;50;66; ; ;4;3; ;2;2;2;2;1;4; ;2; ;2; ; ;04;1;66;368,040637258784
