DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;P1806;P1519;P1883;RAMA2D_D_R4;OFICIO1;OFICIO2;DSI;DSCY;MES;RAMA4D_D_R4;DPTO;fex_c_2011
5273789;1;2;1;70;2;20;60;1; ;2;36;4; ;8;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;600000;2; ;01;59;62;1;2;11;0123;44;1476,12788420735
5273791;1;1;1;70;2;6;60;4; ;2;8;4; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;450000;2; ;01;61;61;1;1;11;0111;44;1743,02270688053
5277094;1;4;1;70;2;15;40;3; ;2;15;3; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;300000;2; ;97;54;54;1;2;11;9700;18;850,730864754791
5277096;1;2;1;70;2;2;40;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;877802; ; ; ;45; ;1;1;11;.;18;728,146681936377
5277099;1;1;1;70;2;5;48;1; ;2;8;1; ;2;2;5; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;3; ;01;60;60;1;1;11;0141;18;361,759205714999
5277102;1;3;1;70;2;4;42;1; ;2;40;2; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;84;39;39;1;1;11;8412;18;304,079454095974
5277107;1;2;1;70;2;12;40;3; ;2;40;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;400000;2; ;97;54;54;1;1;11;9700;18;884,823153227244
5278807;1;2;1;70;2;3;48;8; ;2;3;8; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;300000;2; ;01;62;62;1;1;11;0123;05;4741,46572820107
5278809;1;1;1;70;2;3;48;8; ;2;4;8; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;1;200000;400000;2; ;01;62;62;1;1;11;0123;05;2672,00808413178
5278813;1;4;1;70;2;32;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;878000; ; ; ;59; ;1;2;11;.;05;3450,59102086941
5278895;1;3;1;70;2;36;36;1; ;2;36;1; ;8;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;28;39;00;1;2;11;2829;05;3149,25734730468
5279242;1;1;1;70;2;30;20;1; ;2;30;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;400000;2; ;97;53;54;1;2;11;9700;17;5098,96360172044
5279242;1;2;1;70;2;4;50;1; ;2;5;8; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;500000;2; ;01;37;62;1;1;11;0124;17;5098,96360172044
5279242;1;5;1;70;2;3;50;8; ;2;3;8; ;3;2;8; ; ; ; ; ; ; ; ; ; ;1;1;200000;600000;2; ;01;62;62;1;1;11;0124;17;5098,96360172044
5279497;1;1;1;70;2;8;40;1; ;2;8;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;480000;2; ;01;62;61;1;1;11;0161;15;3440,23848475894
5284754;1;6;1;70;2;24;48;1; ;2;25;1; ;9;2;7; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;86;53;53;1;2;11;8610;68;1411,30734021029
5285861;1;2;1;70;2;28;48;8; ;2;28;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;01;62;62;1;2;11;0161;41;957,263511737886
5286959;1;2;1;70;2;5;40;2; ;2;60;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1200000;2; ;96;11;59;1;1;11;9609;70;1341,80926016301
5287203;1;4;1;70;2;8;48;1; ;2;10;1; ;4;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;1500000;2; ;47;21;45;1;1;11;4771;50;3356,28489775057
5287207;1;1;1;70;2;8;48;3; ;2;28;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;700000;2; ;56;54;45;1;1;11;5619;50;1329,38152355961
5287274;1;2;1;70;2;12;50;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;300000; ; ; ;45; ;1;1;11;.;44;657,146103641031
