Secuencia_p;Orden;Hogar;Regis;Clase;P7250;P7260;P7280;P7280s1;P7310;P7320;P7350;P7350s1;P7360;P7390;P7390s1;P7420;P7420s1;P7420s2;P7420s3;P7420s4;P7420s5;P7420s6;P7420s7;P7420s8;P7420s7a1;P7422;P7422s1;P9460;Oficio1;Oficio2;Rama2d_d;Dsi;Dscy;Rama4d_d;Mes;Dpto;Fex_c_2011;Area;Directorio
1;2;1;70;1;1;48;1; ;2;4;1; ;9;3; ; ; ; ;1; ; ; ; ; ; ;1;1500000;2;32;40;52;1;1;5235;04;05;1220,37247529138;05;4026112
1;2;1;70;1;24;48;1; ;2;72;1; ;6;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;19;13;80;1;2;8041;04;05;833,180863118979;05;4026114
1;1;1;70;1;36;48;1; ;2;36;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;54;95;1;2;9500;04;05;932,854003872814;05;4026122
1;1;1;70;1;20;48;1; ;2;20;1; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;98;98;60;1;2;6031;04;05;1217,09439535866;05;4026132
1;4;1;70;1;4;48;1; ;2;12;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;39;18;1;1;1810;04;05;963,11107281512;05;4026136
1;1;1;70;1;12;40;4; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;79; ; ;1;1; ;04;05;875,456740493101;05;4026142
1;4;1;70;1;2;24;1; ;2;48;1; ;3;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;33;33;74;1;1;7499;04;05;1484,33353640194;05;4026146
1;1;1;70;1;16;48;1; ;2;16;2; ;9;1; ; ; ; ;1; ; ; ; ; ; ;2; ;2;03;03;11;1;2;1120;04;05;1448,91628371797;05;4026150
1;1;1;70;1;64;48;1; ;2;64;1; ;4;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;13;13;80;1;2;8012;04;05;887,300046565966;05;4026151
1;1;1;70;1;8;48;1; ;2;60;1; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;55;75;1;1;7512;04;05;1267,1924256121;05;4026179
1;3;1;70;1;2;48;1; ;2;6;1; ;8;8; ; ; ; ;1; ; ; ; ; ; ;2; ;2;58;58;74;1;1;7492;04;05;1811,99870204243;05;4026180
1;9;1;70;1;4;48;1; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;39; ; ;1;1; ;04;05;1264,67928261151;05;4026191
1;11;1;70;1;16;48;1; ;2;16;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;59;59;95;1;2;9500;04;05;1264,67928261151;05;4026191
1;4;1;70;1;4;48;4; ;2;8;4; ;2;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;41;41;52;1;1;5221;04;05;1005,13952980751;05;4026203
1;3;1;70;1;12;48;1; ;2;12;1; ;8;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;15;1;1;1589;04;05;954,545846674982;05;4026209
1;1;1;70;1;72;48;1; ;2;104;1; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;55;1;2;5523;04;05;1478,66786964159;05;4026217
1;2;1;70;1;12;48;1; ;2;12;4; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;19;19;75;1;1;7512;04;05;1223,70559966708;05;4026223
1;4;1;70;1;12;48;1; ;2;4;1; ;5;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;03;59;85;1;1;8513;04;05;897,148583295269;05;4026224
2;2;2;70;1;54;48;1; ;2;108;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;13;13;85;1;2;8532;04;05;1082,43756691676;05;4026230
1;2;1;70;1;24;48;1; ;2;64;1; ;5;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;59;59;85;1;2;8532;04;05;1284,06447421695;05;4026239
1;2;1;70;1;60;48;1; ;2;52;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;50;1;2;5051;04;05;1613,85882300964;05;4026243
1;2;1;70;1;4;48;1; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;34; ; ;1;1; ;04;05;1072,33062651203;05;4026246
1;1;1;70;1;2;48;1; ;2;2;1; ;8;2; ; ; ; ; ; ; ; ; ;1; ;1;700000;2;93;99;45;1;1;4522;04;05;1274,49165873837;05;4026257
1;1;1;70;1;3;30;1; ;2;3;1; ;2;1; ; ; ; ; ; ; ; ;1; ;PENSIONADA;1;120000;2;79;79;18;1;1;1810;04;05;880,931153625372;05;4026261
1;2;1;70;1;8;48;4; ;2;34;1; ;7;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;59;85;1;1;8531;04;05;872,495129322947;05;4026269
