PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;FFT;DSCY;DSI;P7250;P7280;P744;P3074;P7260;P1806;P7430;P7440;P7440S1;P7440S2;P7450;P7330;P7350;P7360;P9460;P1519;P1883;P7422;P7422S1;OFICIO1_C8;OFICIO2_C8;RAMA2D_D_R4;RAMA4D_D_R4
20221252;12;2022;7277093;1;2;1;70;;2;382.91506446;05;1;;;;;;;;;1;;156;0;3;CHEQUEADORA ( ENLISTADORA DE VEHICULOS DE CARGA PESADA);1;10;2;2;;2;;.;9313;42;4210
20221252;12;2022;7277093;1;3;1;70;;2;382.91506446;05;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20221248;12;2022;7277105;1;1;1;70;05;1;965.14583436;05;1;;;;;;;;;1;;72;0;4;MANEJABA UNA CENTRAL PARA DESPACHAR  DE TAXIS;1;7;2;2;;2;;.;4323;49;4921
20221248;12;2022;7277107;1;1;1;70;05;1;852.00478651;05;1;;;;;;;;;1;;120;0;7;ELECTRICISTA INSTALACIONES DE ALUMBRADO PUBLICO;5;2;2;2;;2;;.;7411;43;4321
20221248;12;2022;7277107;1;2;1;70;05;1;852.00478651;05;1;;;;;;;;;1;;360;0;3;DOCENTE DE PRIMARIA;2;4;2;2;;2;;.;2341;85;8513
20221248;12;2022;7277108;1;2;1;70;05;1;877.12655557;05;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20221248;12;2022;7277108;1;4;1;70;05;1;877.12655557;05;1;;;;;;;;;1;;180;0;5;ASEADOR;1;4;2;3;;2;;.;9112;55;5511
20221248;12;2022;7277112;1;1;1;70;05;1;905.94536359;05;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20221248;12;2022;7277112;1;3;1;70;05;1;905.94536359;05;1;;;;;;;;;1;;324;0;5;VIGILANTE;2;10;2;3;;2;;.;5414;84;8412
20221248;12;2022;7277113;1;2;1;70;05;1;880.82359453;05;1;;;;;;;;;1;;60;0;2;VENDEDORA DE MOSTRADOR;1;3;2;2;;2;;.;5223;47;4771
20221252;12;2022;7277116;1;2;1;70;;2;190.52842922;05;1;;;;;;;;;1;;48;0;7;PREPARACION Y VENTA DE COMIDAS RAPIDAS;4;1;2;2;;2;;.;5120;56;5611
20221252;12;2022;7277118;1;2;1;70;;2;411.47040637;05;1;;;;;;;;;1;;12;0;3;PROFESORA DE ARTES AUDIO VISUALES;1;4;2;2;;2;;.;2355;90;9005
20221252;12;2022;7277119;1;3;1;70;;2;162.51215192;05;;2;1;20;1;;;48;1800000;1;;5;0;9;GERONTOLOGA;4;4;2;2;;2;;5322;5322;86;8699
20221252;12;2022;7277122;1;3;1;70;;2;230.13901196;05;1;;;;;2;5;;1000000;2;;;;;.;;;;2;;2;;.;.;;.
20221252;12;2022;7277125;1;1;1;70;;2;451.43909071;05;;2;1;104;1;;;48;1000000;1;;24;0;1;AYUDANTE DE COCINA;1;8;2;2;;2;;9412;9412;56;5611
20221248;12;2022;7277126;1;2;1;70;05;1;1516.9265384;05;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20221248;12;2022;7277128;1;2;1;70;05;1;1366.7993243;05;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20221248;12;2022;7277130;1;1;1;70;05;1;1049.8845082;05;1;;;;;2;4;;1000000;1;;12;0;7;CONDUCTOR CAMION;1;5;2;2;;2;;.;8332;71;7112
20221248;12;2022;7277130;1;3;1;70;05;1;1049.8845082;05;;1;1;4;1;;;48;1500000;2;;;;;.;;;;2;;2;;2166;;;
20221248;12;2022;7277131;1;1;1;70;05;1;823.11853146;05;1;;;;;;;;;1;;120;0;7;EMPLEADA DOMESTICA;3;1;2;2;;2;;.;9111;97;9700
20221248;12;2022;7277132;1;1;1;70;05;1;936.32702634;05;1;;;;;;;;;1;;120;0;5;CONDUCTOR DE BUS;1;10;2;3;;2;;.;8331;49;4921
20221248;12;2022;7277134;1;3;1;70;05;1;850.44193178;05;1;;;;;;;;;1;;170;0;5;EMPLEADA DOMESTICA;3;1;2;3;;2;;.;9111;97;9700
20221248;12;2022;7277135;1;2;1;70;05;1;1038.8863093;05;1;;;;;;;;;1;;180;0;4;MANIPULADORA DE ALIMENTOS;1;4;2;2;;2;;.;5120;88;8891
20221248;12;2022;7277135;1;5;1;70;05;1;1038.8863093;05;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20221248;12;2022;7277135;1;8;1;70;05;1;1038.8863093;05;1;;;;;;;;;1;;12;0;5;PARQUEAR CARROS Y CONTROLAR  TIEMPO DE ESTADIAS PARQUIMETRO;1;10;2;3;;2;;.;8323;52;5221
20221248;12;2022;7277136;1;2;1;70;05;1;1163.9338346;05;1;;;;;;;;;1;;12;0;6;AYUDANTE DE CONSTRUCCION HACER MEZCLA Y PEGAR LADRILLO;1;2;2;2;;2;;.;9313;43;4330
20221248;12;2022;7277141;1;1;1;70;05;1;1357.2363296;05;1;;;;;;;;;1;;72;0;4;MODISTA;5;4;2;2;;2;;.;7531;14;1410
20221248;12;2022;7277142;1;2;1;70;05;1;1114.7862216;05;1;;;;;;;;;1;;108;0;5;SUPERVISORA DE CONTROL DE CALIDAD;1;10;2;3;;2;;.;7543;14;1410
20221248;12;2022;7277142;1;3;1;70;05;1;1114.7862216;05;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20221248;12;2022;7277144;1;2;1;70;05;1;1069.8551012;05;;2;1;24;1;;;48;1000000;1;;12;0;7;VENDEDORA DE MOSTRADOR;1;3;2;2;;2;;5223;5223;47;4711
20221252;12;2022;7277145;1;1;1;70;;2;200.59109692;05;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20221252;12;2022;7277147;1;2;1;70;;2;327.01788832;05;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20221252;12;2022;7277147;1;4;1;70;;2;327.01788832;05;1;;;;;;;;;1;;104;0;4;AYUDANTE DE CONSTRUCCION;1;3;2;2;;2;;.;9313;41;4111
20221252;12;2022;7277148;1;2;1;70;;2;350.95861645;05;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20221252;12;2022;7277150;1;2;1;70;;2;307.643779;05;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20221252;12;2022;7277151;1;2;1;70;;2;162.51215192;05;1;;;;;;;;;1;;3;0;9;ELABORACION Y VENTA DE COMIDAS RAPIDAS;1;2;2;2;;2;;.;9411;56;5619
20221252;12;2022;7277153;1;1;1;70;;2;269.67720012;05;1;;;;;;;;;1;;6;0;5;QUEMADOR (HORNEAR LADRILLOS);1;8;2;3;;2;;.;7314;23;2395
20221252;12;2022;7277153;1;2;1;70;;2;269.67720012;05;1;;;;;;;;;1;;240;0;3;EMPLEADA DOMESTICA;3;1;2;2;;2;;.;9111;97;9700
20221252;12;2022;7277154;1;1;1;70;;2;225.97533711;05;1;;;;;;;;;1;;240;0;4;EMPLEADA DOMESTICA;3;1;2;2;;2;;.;9111;97;9700
20221252;12;2022;7277158;1;2;1;70;;2;269.67720012;05;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20221252;12;2022;7277159;1;2;1;70;;2;184.92633847;05;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20221252;12;2022;7277160;1;1;1;70;;2;282.4345902;05;1;;;;;;;;;1;;5;0;4;SEMBRAR CEBOLLA;7;2;2;2;;2;;.;9211;01;0113
20221252;12;2022;7277160;1;2;1;70;;2;282.4345902;05;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20221252;12;2022;7277162;1;2;1;70;;2;319.56424539;05;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20221248;12;2022;7277163;1;1;1;70;05;1;1004.2961348;05;;1;1;8;1;;;48;1300000;1;;1;1;9;INSPECTORA DE SEGURIDAD SALUD EN EL TRABAJO Y MEDIO AMBIENTE;1;10;2;2;;2;;3257;3257;41;4111
20221248;12;2022;7277164;1;1;1;70;05;1;1085.7890637;05;;2;1;102;1;;;48;1000000;1;;36;0;1;AUXILIAR DE COCINA;1;10;2;2;;2;;9412;9412;56;5629
