DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;P1806;P1519;P1883;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;MES;RAMA4D_D;DPTO;fex_c_2011
4614053;1;2;1;70;2;2;24;1; ;2;152;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;58;58;85;1;1;05;8531;68;763,155662301645
4614056;1;1;1;70;2;12;48;8; ;2;12;1; ;3;2;6; ; ; ; ; ; ; ; ; ; ;1;2; ;700000;2; ;62;95;45;1;1;05;4521;68;1146,42027774168
4614056;1;7;1;70;2;16;48;3; ;2;28;3; ;1;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;400000;2; ;54;54;95;1;2;05;9500;68;1146,42027774168
4614063;1;2;1;70;2;4;48;4; ;2;158;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;03;32;60;1;1;05;6022;68;608,294037707221
4614066;1;4;1;70;2;4;48;1; ;2;8;1; ;3;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;95;95;45;1;1;05;4521;68;1066,52639626914
4614067;1;3;1;70;2;4;48;4; ;2;310;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;41;83;11;1;1;05;1120;68;506,684653028624
4614068;1;4;1;70;2;16;48;1; ;2;17;1; ;4;2;7; ; ; ; ; ; ; ; ; ; ;1;2; ;1500000;2; ;97;97;90;1;2;05;9000;68;826,64083403619
4614068;1;5;1;70;2;16;48;1; ;2;73;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;03;53;55;1;2;05;5530;68;826,64083403619
4614070;1;1;1;70;2;1;40;1; ;2;260;4; ;7;2;1; ; ; ; ; ; ; ; ;1;YA ES PENSIONADO; ;2; ;1000000;3; ;39;44;70;1;1;05;7020;76;1448,50187377347
4614072;1;3;1;70;2;17;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;800000; ; ;39; ; ;1;2;05; ;76;1476,64973647505
4614075;1;4;1;70;2;16;50;4; ;2;16;5; ;2;2;1; ; ; ; ; ; ; ;1; ; ; ;2; ;960000;2; ;93;93;45;1;2;05;4552;76;1909,74666604199
4614076;1;4;1;70;2;3;48;1; ;2;3;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;1;420000;781242;2; ;97;97;15;1;1;05;1594;76;884,752300077576
4614082;1;3;1;70;2;4;48;8; ;2;17;1; ;3;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;62;62;01;1;1;05;0114;76;1178,92904711058
4620383;1;3;1;70;2;20;48;8; ;2;20;8; ;2;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;62;62;01;1;2;05;0121;05;3475,72977544754
4620387;1;1;1;70;2;24;48;1; ;2;24;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;787000;2; ;95;71;13;1;2;05;1320;05;4216,37858022633
4620420;1;1;1;70;2;40;48;1; ;2;40;2; ;9;1;1; ; ;1; ; ; ; ; ; ; ; ;2; ;900000;1;1;39;39;75;1;2;05;7512;05;4918,2685962509
4620425;1;2;1;70;2;18;48;1; ;2;18;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781242; ; ;39;45;92;1;2;05;9242;05;5114,87608605349
4620426;1;2;1;70;2;4;48;1; ;2;45;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;787000;2; ;44;54;95;1;1;05;9500;05;1932,66884818935
4620426;1;3;1;70;2;24;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;787000; ; ;95; ; ;1;2;05; ;05;1932,66884818935
4620427;1;2;1;70;2;32;24;1; ;2;32;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;400000;2; ;45;53;55;1;2;05;5521;05;2715,36834853318
