DIRECTORIO;SECUENCIA_P;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5210S1;P5210S10;P5210S11;P5210S14;P5210S15;P5210S16;P5210S17;P5210S18;P5210S19;P5210S2;P5210S20;P5210S21;P5210S22;P5210S24;P5210S3;P5210S4;P5210S5;P5210S6;P5210S7;P5210S8;P5210S9;P5220;P5220S1;P6006;P6007;P6007S1;P6008;HOGAR;P4000;P4010;P4020;P4030S1;P4030S2;P4030S3;P4030S4;P4030S5;P4030S1A1;P4030S4A1;P4040;REGIS;clase;MES;DPTO;ORDEN;fex_c_2011
2212583;1;2;1;2;1;4;2;1;4;3; ; ; ; ;150000;2;2;1;1;1;2;2;2;2;2;1;2;2;2;2;2;1;1;1;2;2;1;2;2;2; ;9;1;1;5;2;1;2;2;2;2;1; ; ;01;2;03;50;1;1393,35196304852
2212584;1;1;1;2;2;4;2;1;4;1; ; ;1000000;100000; ;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2; ;2;1;1;8;1;2;2;2;2;2; ; ; ;01;2;03;50;1;1262,20408157146
2212585;1;3;2;2;1;4;2;4;5;1; ; ;8000000;200000; ;2;2;1;2;1;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;1;2;2;2; ;4;1;1;3;1;1;2;2;2;2;1; ; ;01;2;03;50;1;1340,27245036477
2212586;1;4;1;2;1;4;2;1;5;4; ; ; ;150000; ;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2; ;2;1;1;1;4;1;2;2;2;2;0; ; ;01;2;03;50;1;1482,08557975865
2212587;1;3;2;2;1;4;6;1;4;4; ; ; ;150000; ;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;2;2;1;2;2;2; ;5;1;1;1;4;1;2;2;2;2;2; ; ;01;2;03;50;1;1176,44646754936
2212589;1;5;3;2;1;4;6;1;4;3; ; ; ; ;500000;2;2;1;2;2;2;2;2;1;2;2;1;2;2;2;1;1;1;1;2;2;1;2;2;2; ;3;1;1;1;4;1;2;2;2;2;2; ; ;01;2;03;50;1;1243,31809123743
2212590;1;3;2;6; ;4;6;1;4;1; ; ;3000000;100000; ;2;2;1;2;2;2;2;2;2;2;1;2;2;2;2;2;1;1;1;2;2;1;2;2;2; ;5;1;1;7;1;1;2;2;2;2;1; ; ;01;2;03;50;1;1309,05028215081
2212591;1;3;1;2;1;4;6;1;4;1; ; ;2000000;150000; ;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;1;1;2;2; ;2;1;1;1;2;1;2;2;2;2;1; ; ;01;2;03;50;1;1482,08557975865
2212592;1;4;2;2;1;4;2;5;5;1; ; ;50000000;300000; ;2;2;1;1;2;2;2;2;2;2;2;1;2;2;2;1;1;1;2;2;2;1;3;2;2; ;5;1;1;1;4;1;2;2;2;2;2; ; ;01;2;03;50;1;1309,05028215081
2212593;1;3;2;2;1;4;2;5;4;1; ; ;3000000;100000; ;2;2;2;2;2;2;2;1;2;2;2;1;2;2;2;2;2;1;2;2;2;1;2;2;2; ;5;1;1;5;1;1;2;2;2;2;1; ; ;01;2;03;50;1;1091,8655728731
