DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7430;P7440;P7450;P7450S1;P7460;P7470;P7472;P7472S1;P7454;P7456;P7458S1;P7458;P7452;INI;MES;DPTO;fex_c_2011
2229280;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;63;2015,26399362346
2229281;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;63;1519,07534084739
2229281;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;63;1519,07534084739
2230701;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;44;1603,23002343679
2230702;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;44;1204,84968640031
2230703;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;44;1587,83424232745
2230703;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;44;1587,83424232745
2230704;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;44;1968,49628494862
2230705;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;44;1968,49628494862
2230708;1;2;1;80;2;1;2;3; ;2; ;2; ; ; ; ;9;2;1;03;44;1697,44819269481
2237381;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;63;2086,51264698967
2237381;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;63;2086,51264698967
2237382;1;1;1;80;2;1;3;5; ;3; ;2; ; ; ; ;10;2;1;03;63;1701,25724141814
2237383;1;2;1;80;2;1;1;8; ;2; ;2; ; ; ; ;9;2;1;03;63;1879,51374541175
2237384;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;63;1328,81755656406
2237387;1;2;1;80;2;1;2;7; ;2; ;2; ; ; ; ;1;2;1;03;63;1563,9911080921
2237388;1;3;1;80;2;1;1;2; ;2; ;2; ; ; ; ;2;2;1;03;63;2295,51085570403
2237388;1;4;1;80;2;1;1;2; ;2; ;2; ; ; ; ;2;2;1;03;63;2295,51085570403
2237391;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;63;1845,08337334243
2237392;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;63;1483,08181022659
2237393;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;63;1129,40735156115
