DIRECTORIO;SECUENCIA_P;ORDEN;AREA;REGIS;P7480;P7480S1;P7480S2;P7480S3;P7480S4;P7480S5;P7480S6;P7480S7;P7480S8;P7480S9;P7480S10;P7480S11;P7480S12;P7480S1A1;P7480S2A1;P7480S3A1;P7480S4A1;P7480S5A1;P7480S6A1;P7480S7A1;P7480S8A1;P7480S9A1;P7480S10A1;P7480S11A1;P7480S12A1;DPTO;fex_c_2011
502668;1;3;05;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;14; ; ; ; ; ; ; ; ; ;05;714,561114654478
502668;1;4;05;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;3; ; ; ; ; ; ; ; ; ;05;714,561114654478
502669;1;1;05;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;5; ; ; ; ; ; ; ; ; ;05;1006,43064862592
502669;1;2;05;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;30; ; ; ; ; ; ; ; ; ;05;1006,43064862592
502669;1;3;05;90; ;2;2;1;2;2;2;2;1;2;2;2;2; ; ;1; ; ; ; ;4; ; ; ; ;05;1006,43064862592
502670;1;1;05;90; ;2;2;1;2;2;2;2;2;2;2;1;2; ; ;21; ; ; ; ; ; ; ;6; ;05;695,604124125559
502671;1;1;05;90; ;2;2;1;2;1;2;2;2;2;2;2;2; ; ;28; ;42; ; ; ; ; ; ; ;05;768,899650874651
502672;1;1;05;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;3; ; ; ; ; ; ; ; ; ;05;924,994015039673
502672;1;2;05;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;21; ; ; ; ; ; ; ; ; ;05;924,994015039673
502673;1;1;05;90; ;2;2;2;2;2;2;2;2;1;2;2;2; ; ; ; ; ; ; ; ;60; ; ; ;05;674,228568151868
502673;1;2;05;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;1; ; ; ; ; ; ; ; ; ;05;674,228568151868
502673;1;3;05;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;1; ; ; ; ; ; ; ; ; ;05;674,228568151868
502673;1;5;05;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;35; ; ; ; ; ; ; ; ; ;05;674,228568151868
502674;1;1;05;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;10; ; ; ; ; ; ; ; ; ;05;766,687017596852
502674;1;2;05;90; ;2;2;1;2;2;2;2;1;2;2;2;2; ; ;10; ; ; ; ;4; ; ; ; ;05;766,687017596852
502675;1;1;05;90; ;2;2;1;2;1;2;2;1;2;2;2;2; ; ;2; ;7; ; ;6; ; ; ; ;05;812,68870883137
502675;1;2;05;90; ;2;2;1;2;1;2;2;2;2;2;2;2; ; ;42; ;70; ; ; ; ; ; ; ;05;812,68870883137
502676;1;1;05;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;1; ; ; ; ; ; ; ; ; ;05;769,612251332617
502676;1;2;05;90; ;2;2;1;2;1;2;2;2;2;2;2;2; ; ;30; ;30; ; ; ; ; ; ; ;05;769,612251332617
502677;1;1;05;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;30; ; ; ; ; ; ; ; ; ;05;719,283086900732
502677;1;2;05;90; ;2;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ;05;719,283086900732
502678;1;1;05;90; ;2;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ;05;708,731628881298
502678;1;2;05;90; ;2;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ;05;708,731628881298
502678;1;3;05;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;1; ; ; ; ; ; ; ; ; ;05;708,731628881298
502678;1;4;05;90; ;2;2;1;2;1;2;2;2;2;2;2;1; ; ;40; ;35; ; ; ; ; ; ;3;05;708,731628881298
502679;1;1;05;90; ;2;2;2;2;2;2;2;2;1;2;2;2; ; ; ; ; ; ; ; ;16; ; ; ;05;759,148916157914
502679;1;2;05;90; ;2;2;1;2;2;1;2;2;2;2;2;1; ; ;49; ; ;6; ; ; ; ; ;40;05;759,148916157914
502680;1;1;05;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;1; ; ; ; ; ; ; ; ; ;05;830,238600815392
502680;1;2;05;90; ;2;2;1;2;2;2;2;1;2;2;2;2; ; ;14; ; ; ; ;2; ; ; ; ;05;830,238600815392
502681;1;1;05;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;35; ; ; ; ; ; ; ; ; ;05;811,698606506239
502681;1;2;05;90; ;2;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ;05;811,698606506239
502681;1;4;05;90; ;2;2;1;2;1;2;2;2;2;2;2;2; ; ;6; ;10; ; ; ; ; ; ; ;05;811,698606506239
502682;1;1;05;90; ;2;2;2;1;2;2;2;2;2;2;2;2; ; ; ;60; ; ; ; ; ; ; ; ;05;593,274899026225
502682;1;2;05;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;14; ; ; ; ; ; ; ; ; ;05;593,274899026225
502683;1;1;05;90; ;2;2;1;2;1;2;2;2;2;2;2;2; ; ;15; ;20; ; ; ; ; ; ; ;05;560,609014493622
502683;1;2;05;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;35; ; ; ; ; ; ; ; ; ;05;560,609014493622
502683;1;3;05;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;7; ; ; ; ; ; ; ; ; ;05;560,609014493622
502684;1;1;05;90; ;2;2;1;2;2;2;2;1;2;2;2;2; ; ;40; ; ; ; ;9; ; ; ; ;05;669,898951554349
502684;1;2;05;90; ;2;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ;05;669,898951554349
502684;1;3;05;90; ;2;2;1;2;2;2;2;1;2;2;2;2; ; ;1; ; ; ; ;10; ; ; ; ;05;669,898951554349
502684;1;4;05;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;1; ; ; ; ; ; ; ; ; ;05;669,898951554349
502685;1;1;05;90; ;2;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ;05;1119,62322441991
502685;1;2;05;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;42; ; ; ; ; ; ; ; ; ;05;1119,62322441991
502685;1;3;05;90; ;2;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ;05;1119,62322441991
502685;1;4;05;90; ;2;2;1;2;1;2;2;2;2;2;2;2; ; ;3; ;28; ; ; ; ; ; ; ;05;1119,62322441991
502686;1;1;05;90; ;2;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ;05;1052,38442484432
502686;1;2;05;90; ;2;2;1;2;1;2;2;1;2;2;2;2; ; ;30; ;30; ; ;32; ; ; ; ;05;1052,38442484432
502687;1;1;05;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;5; ; ; ; ; ; ; ; ; ;05;886,959507727495
502687;1;2;05;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;28; ; ; ; ; ; ; ; ; ;05;886,959507727495
502687;1;3;05;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;2; ; ; ; ; ; ; ; ; ;05;886,959507727495
502687;1;4;05;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;1; ; ; ; ; ; ; ; ; ;05;886,959507727495
502688;1;1;05;90; ;2;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ;05;714,561114654478
502688;1;2;05;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;50; ; ; ; ; ; ; ; ; ;05;714,561114654478
502688;1;3;05;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;1; ; ; ; ; ; ; ; ; ;05;714,561114654478
502688;1;4;05;90; ;2;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ;05;714,561114654478
502689;1;1;05;90; ;2;2;2;2;1;2;2;2;2;2;2;2; ; ; ; ;20; ; ; ; ; ; ; ;05;660,658006908567
502689;1;4;05;90; ;2;2;1;2;1;2;2;2;2;2;2;2; ; ;21; ;14; ; ; ; ; ; ; ;05;660,658006908567
502691;1;1;05;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;21; ; ; ; ; ; ; ; ; ;05;545,870968330105
502691;1;2;05;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;8; ; ; ; ; ; ; ; ; ;05;545,870968330105
502692;1;1;05;90; ;2;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ;05;540,629837307401
502692;1;2;05;90; ;2;2;1;2;1;2;2;2;2;2;2;2; ; ;42; ;21; ; ; ; ; ; ; ;05;540,629837307401
502692;1;3;05;90; ;2;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ;05;540,629837307401
502695;1;1;05;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;6; ; ; ; ; ; ; ; ; ;05;766,687017596852
502695;1;2;05;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;4; ; ; ; ; ; ; ; ; ;05;766,687017596852
502698;1;1;05;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;8; ; ; ; ; ; ; ; ; ;05;811,698606506239
502698;1;2;05;90; ;2;2;2;2;1;2;2;2;2;2;2;2; ; ; ; ;42; ; ; ; ; ; ; ;05;811,698606506239
502698;1;3;05;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;14; ; ; ; ; ; ; ; ; ;05;811,698606506239
502699;1;1;05;90; ;2;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ;05;766,687017596852
502699;1;2;05;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;15; ; ; ; ; ; ; ; ; ;05;766,687017596852
502700;1;1;05;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;8; ; ; ; ; ; ; ; ; ;05;790,313108135307
502700;1;2;05;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;18; ; ; ; ; ; ; ; ; ;05;790,313108135307
502700;1;3;05;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;5; ; ; ; ; ; ; ; ; ;05;790,313108135307
502700;1;5;05;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;8; ; ; ; ; ; ; ; ; ;05;790,313108135307
502700;1;6;05;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;15; ; ; ; ; ; ; ; ; ;05;790,313108135307
502701;1;1;05;90; ;2;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ;05;651,065720397255
502701;1;2;05;90; ;2;2;2;2;1;2;2;2;2;2;2;2; ; ; ; ;5; ; ; ; ; ; ; ;05;651,065720397255
502702;1;1;05;90; ;2;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ;05;1119,65960403878
502702;1;2;05;90; ;2;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ;05;1119,65960403878
502702;1;3;05;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;20; ; ; ; ; ; ; ; ; ;05;1119,65960403878
502702;1;4;05;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;15; ; ; ; ; ; ; ; ; ;05;1119,65960403878
502703;1;1;05;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;10; ; ; ; ; ; ; ; ; ;05;1131,84946471157
502703;1;2;05;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;18; ; ; ; ; ; ; ; ; ;05;1131,84946471157
502703;1;3;05;90; ;2;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ;05;1131,84946471157
502703;1;4;05;90; ;2;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ;05;1131,84946471157
502703;1;5;05;90; ;2;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ;05;1131,84946471157
502703;1;6;05;90; ;2;2;2;1;2;2;2;2;2;2;2;2; ; ; ;8; ; ; ; ; ; ; ; ;05;1131,84946471157
502703;1;7;05;90; ;2;2;2;1;2;2;2;2;2;2;2;2; ; ; ;10; ; ; ; ; ; ; ; ;05;1131,84946471157
502705;1;1;05;90; ;2;2;1;2;1;2;2;1;2;2;2;2; ; ;5; ;10; ; ;8; ; ; ; ;05;740,664503548555
502705;1;2;05;90; ;2;2;1;2;1;2;2;1;2;2;2;2; ; ;14; ;35; ; ;12; ; ; ; ;05;740,664503548555
502706;1;1;05;90; ;2;2;2;1;2;2;2;2;2;2;2;2; ; ; ;10; ; ; ; ; ; ; ; ;05;556,669996141485
502706;1;2;05;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;5; ; ; ; ; ; ; ; ; ;05;556,669996141485
502706;1;3;05;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;2; ; ; ; ; ; ; ; ; ;05;556,669996141485
502707;1;1;05;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;8; ; ; ; ; ; ; ; ; ;05;353,051561951406
502707;1;2;05;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;5; ; ; ; ; ; ; ; ; ;05;353,051561951406
502707;1;3;05;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;4; ; ; ; ; ; ; ; ; ;05;353,051561951406
502707;1;4;05;90; ;2;2;1;2;1;2;2;2;2;2;2;2; ; ;10; ;8; ; ; ; ; ; ; ;05;353,051561951406
502708;1;1;05;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;15; ; ; ; ; ; ; ; ; ;05;539,282775549442
502708;1;2;05;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;10; ; ; ; ; ; ; ; ; ;05;539,282775549442
502708;1;3;05;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;10; ; ; ; ; ; ; ; ; ;05;539,282775549442
502709;1;1;05;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;8; ; ; ; ; ; ; ; ; ;05;1075,7273619166
502709;1;2;05;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;10; ; ; ; ; ; ; ; ; ;05;1075,7273619166
502709;1;3;05;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;10; ; ; ; ; ; ; ; ; ;05;1075,7273619166
502710;1;1;05;90; ;2;2;1;2;1;2;2;2;2;2;2;2; ; ;5; ;5; ; ; ; ; ; ; ;05;875,200724314679
502710;1;2;05;90; ;2;2;1;2;1;2;2;2;2;2;2;2; ; ;10; ;5; ; ; ; ; ; ; ;05;875,200724314679
502711;1;1;05;90; ;2;2;1;2;1;2;2;2;2;2;2;2; ; ;20; ;8; ; ; ; ; ; ; ;05;739,499986628866
502711;1;2;05;90; ;2;2;1;2;1;2;2;2;2;2;2;2; ; ;15; ;8; ; ; ; ; ; ; ;05;739,499986628866
502712;1;1;05;90; ;2;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ;05;963,202169569759
502712;1;2;05;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;20; ; ; ; ; ; ; ; ; ;05;963,202169569759
502712;1;3;05;90; ;2;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ;05;963,202169569759
502712;1;4;05;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;10; ; ; ; ; ; ; ; ; ;05;963,202169569759
502712;1;5;05;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;5; ; ; ; ; ; ; ; ; ;05;963,202169569759
502712;1;7;05;90; ;2;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ;05;963,202169569759
502713;1;1;05;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;15; ; ; ; ; ; ; ; ; ;05;549,556231364612
502713;1;2;05;90; ;2;2;1;2;1;2;2;2;2;2;2;2; ; ;10; ;12; ; ; ; ; ; ; ;05;549,556231364612
502714;1;1;05;90; ;2;1;2;1;2;2;2;2;2;2;2;2; ;5; ;6; ; ; ; ; ; ; ; ;05;497,644264842287
502714;1;2;05;90; ;2;2;1;2;1;2;2;2;2;2;2;2; ; ;10; ;10; ; ; ; ; ; ; ;05;497,644264842287
502714;1;3;05;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;10; ; ; ; ; ; ; ; ; ;05;497,644264842287
502714;1;4;05;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;15; ; ; ; ; ; ; ; ; ;05;497,644264842287
502714;1;5;05;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;5; ; ; ; ; ; ; ; ; ;05;497,644264842287
502715;1;1;05;90; ;2;2;1;2;1;2;2;2;2;2;2;2; ; ;25; ;8; ; ; ; ; ; ; ;05;742,912230759247
502715;1;2;05;90; ;2;2;1;2;1;2;2;2;2;2;2;2; ; ;12; ;5; ; ; ; ; ; ; ;05;742,912230759247
502715;1;4;05;90; ;2;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ;05;742,912230759247
502715;1;5;05;90; ;2;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ;05;742,912230759247
502715;1;6;05;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;8; ; ; ; ; ; ; ; ; ;05;742,912230759247
502715;1;7;05;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;2; ; ; ; ; ; ; ; ; ;05;742,912230759247
502716;1;1;05;90; ;2;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ;05;665,647922856776
502716;1;2;05;90; ;2;2;1;2;2;2;2;1;2;2;1;2; ; ;35; ; ; ; ;3; ; ;15; ;05;665,647922856776
502716;1;3;05;90; ;2;2;1;2;2;2;2;1;2;2;2;2; ; ;4; ; ; ; ;3; ; ; ; ;05;665,647922856776
502716;1;4;05;90; ;2;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ;05;665,647922856776
502717;1;1;05;90; ;2;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ;05;734,021133064249
502717;1;2;05;90; ;2;2;1;2;1;2;2;2;2;2;2;2; ; ;15; ;5; ; ; ; ; ; ; ;05;734,021133064249
502717;1;3;05;90; ;2;2;1;2;1;2;2;2;2;2;2;2; ; ;15; ;15; ; ; ; ; ; ; ;05;734,021133064249
502719;1;1;05;90; ;2;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ;05;640,61551113361
502719;1;2;05;90; ;2;2;1;2;1;2;2;2;2;2;2;2; ; ;35; ;10; ; ; ; ; ; ; ;05;640,61551113361
502719;1;3;05;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;10; ; ; ; ; ; ; ; ; ;05;640,61551113361
502720;1;1;05;90; ;2;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ;05;885,663591774118
502720;1;2;05;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;30; ; ; ; ; ; ; ; ; ;05;885,663591774118
502721;1;1;05;90; ;2;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ;05;640,61551113361
502721;1;2;05;90; ;2;2;1;2;1;2;2;2;2;2;2;2; ; ;40; ;10; ; ; ; ; ; ; ;05;640,61551113361
502721;1;3;05;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;2; ; ; ; ; ; ; ; ; ;05;640,61551113361
502723;1;1;05;90; ;2;2;1;2;1;2;2;2;2;2;2;2; ; ;40; ;25; ; ; ; ; ; ; ;05;927,475747409832
502723;1;3;05;90; ;2;2;1;2;1;2;2;2;2;2;2;2; ; ;14; ;20; ; ; ; ; ; ; ;05;927,475747409832
502724;1;1;05;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;10; ; ; ; ; ; ; ; ; ;05;766,687017596852
502724;1;2;05;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;25; ; ; ; ; ; ; ; ; ;05;766,687017596852
502725;1;1;05;90; ;2;2;1;2;2;2;2;2;2;1;2;2; ; ;28; ; ; ; ; ; ;6; ; ;05;497,476935308854
