DIRECTORIO;SECUENCIA_P;ORDEN;AREA;REGIS;P7480;P7480S1;P7480S2;P7480S3;P7480S4;P7480S5;P7480S6;P7480S7;P7480S8;P7480S9;P7480S10;P7480S11;P7480S12;P7480S1A1;P7480S2A1;P7480S3A1;P7480S4A1;P7480S5A1;P7480S6A1;P7480S7A1;P7480S8A1;P7480S9A1;P7480S10A1;P7480S11A1;P7480S12A1;DPTO;fex_c_2011
502651;1;1;05;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;8; ; ; ; ; ; ; ; ; ;05;874,134463318699
502651;1;2;05;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;10; ; ; ; ; ; ; ; ; ;05;874,134463318699
502651;1;3;05;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;6; ; ; ; ; ; ; ; ; ;05;874,134463318699
502652;1;1;05;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;6; ; ; ; ; ; ; ; ; ;05;595,977295415678
502652;1;2;05;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;10; ; ; ; ; ; ; ; ; ;05;595,977295415678
502654;1;1;05;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;5; ; ; ; ; ; ; ; ; ;05;767,237690304403
502654;1;2;05;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;4; ; ; ; ; ; ; ; ; ;05;767,237690304403
502655;1;1;05;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;12; ; ; ; ; ; ; ; ; ;05;879,873223733001
502655;1;2;05;90; ;2;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ;05;879,873223733001
502655;1;3;05;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;3; ; ; ; ; ; ; ; ; ;05;879,873223733001
502655;1;4;05;90; ;2;2;2;2;1;2;2;2;2;2;2;2; ; ; ; ;8; ; ; ; ; ; ; ;05;879,873223733001
502655;1;5;05;90; ;2;2;1;2;1;2;2;2;2;2;2;2; ; ;25; ;20; ; ; ; ; ; ; ;05;879,873223733001
502656;1;1;05;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;6; ; ; ; ; ; ; ; ; ;05;817,802041060034
502656;1;2;05;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;6; ; ; ; ; ; ; ; ; ;05;817,802041060034
502657;1;1;05;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;14; ; ; ; ; ; ; ; ; ;05;893,201693213056
502657;1;2;05;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;6; ; ; ; ; ; ; ; ; ;05;893,201693213056
502658;1;1;05;90; ;2;2;1;2;2;2;1;2;2;2;2;2; ; ;15; ; ; ;3; ; ; ; ; ;05;593,274899026225
502658;1;2;05;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;25; ; ; ; ; ; ; ; ; ;05;593,274899026225
502659;1;1;05;90; ;2;2;1;2;1;2;2;2;2;2;2;2; ; ;4; ;12; ; ; ; ; ; ; ;05;740,664503548555
502659;1;2;05;90; ;2;2;1;2;1;2;2;2;2;2;2;2; ; ;3; ;20; ; ; ; ; ; ; ;05;740,664503548555
502660;1;1;05;90; ;2;1;2;2;2;2;2;2;2;2;2;2; ;6; ; ; ; ; ; ; ; ; ; ;05;825,660582990402
502660;1;2;05;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;6; ; ; ; ; ; ; ; ; ;05;825,660582990402
502661;1;1;05;90; ;2;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ;05;927,763072858798
502661;1;2;05;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;2; ; ; ; ; ; ; ; ; ;05;927,763072858798
502661;1;3;05;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;2; ; ; ; ; ; ; ; ; ;05;927,763072858798
502661;1;4;05;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;25; ; ; ; ; ; ; ; ; ;05;927,763072858798
502662;1;1;05;90; ;2;2;1;2;1;2;2;1;2;2;2;2; ; ;2; ;5; ; ;3; ; ; ; ;05;953,498261458129
502662;1;2;05;90; ;2;2;1;2;1;2;2;2;2;2;2;2; ; ;6; ;12; ; ; ; ; ; ; ;05;953,498261458129
502663;1;1;05;90; ;2;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ;05;669,898951554349
502663;1;2;05;90; ;2;2;1;1;2;2;2;2;2;1;1;1; ; ;25;3; ; ; ; ; ;2;3;8;05;669,898951554349
502663;1;3;05;90; ;2;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ;05;669,898951554349
502663;1;4;05;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;3; ; ; ; ; ; ; ; ; ;05;669,898951554349
502664;1;1;05;90; ;2;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ;05;640,61551113361
502664;1;2;05;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;8; ; ; ; ; ; ; ; ; ;05;640,61551113361
502664;1;3;05;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;6; ; ; ; ; ; ; ; ; ;05;640,61551113361
502665;1;1;05;90; ;2;2;1;2;1;2;2;2;2;2;2;2; ; ;6; ;6; ; ; ; ; ; ; ;05;805,499425940167
502665;1;2;05;90; ;2;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ;05;805,499425940167
502665;1;3;05;90; ;2;2;1;2;1;2;2;2;2;2;2;2; ; ;3; ;3; ; ; ; ; ; ; ;05;805,499425940167
502665;1;5;05;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;3; ; ; ; ; ; ; ; ; ;05;805,499425940167
502666;1;1;05;90; ;2;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ;05;669,898951554349
502666;1;2;05;90; ;2;2;1;2;2;2;1;2;2;2;2;2; ; ;30; ; ; ;3; ; ; ; ; ;05;669,898951554349
502666;1;3;05;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;3; ; ; ; ; ; ; ; ; ;05;669,898951554349
502666;1;4;05;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;2; ; ; ; ; ; ; ; ; ;05;669,898951554349
502667;1;1;05;90; ;2;2;1;2;1;2;2;2;2;2;2;2; ; ;3; ;6; ; ; ; ; ; ; ;05;865,81455260201
502667;1;2;05;90; ;2;2;1;2;1;2;2;2;2;2;2;2; ; ;30; ;30; ; ; ; ; ; ; ;05;865,81455260201
502667;1;3;05;90; ;2;2;1;2;1;2;2;2;2;2;2;2; ; ;6; ;10; ; ; ; ; ; ; ;05;865,81455260201
502668;1;1;05;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;10; ; ; ; ; ; ; ; ; ;05;714,561114654478
502668;1;2;05;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;5; ; ; ; ; ; ; ; ; ;05;714,561114654478
