DIRECTORIO;AREA;SECUENCIA_P;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5210S1;P5210S2;P5210S3;P5210S4;P5210S5;P5210S6;P5210S7;P5210S8;P5210S9;P5210S10;P5210S11;P5210S14;P5210S15;P5210S16;P5210S17;P5210S18;P5210S19;P5210S20;P5210S21;P5210S22;P5210S24;HOGAR;P4000;P4010;P4020;P4030S1;P4030S2;P4030S3;P4030S4;P4030S5;P4030S1A1;P4030S4A1;P4040;REGIS;DPTO;ORDEN;fex_c_2011
502676;05;1;4;2;1;1;1;1;1;3;3; ; ; ; ;180000;1;2;2;2;1;1;1;2;2;2;1;2;2;2;2;2;2;1;2;2;2;1;2;1;4;1;1;1;1;1;2;2;1;01;05;1;769,612251332617
502677;05;1;2;1;1;1;1;1;1;4;3; ; ; ; ;150000;1;1;2;1;1;1;1;1;1;1;1;2;1;2;2;2;2;1;2;2;2;1;2;1;4;1;2;1;1;1;2;2;1;01;05;1;719,283086900732
502678;05;1;3;2;1;1;1;1;1;3;1; ; ;15000000;150000; ;1;1;2;1;1;1;1;1;2;1;1;1;1;1;2;2;2;1;2;2;2;1;2;1;2;1;1;1;1;1;2;2;1;01;05;1;708,731628881298
502679;05;1;3;1;1;1;1;1;1;3;1; ; ;30000000;400000; ;1;1;2;1;1;1;1;1;2;2;1;1;1;2;2;2;2;2;2;1;2;1;2;1;4;1;1;1;1;1;2;2;1;01;05;1;759,148916157914
502680;05;1;5;3;1;1;1;1;1;3;6;PRESTADA; ; ;250000; ;1;1;2;1;1;1;1;1;2;2;1;1;1;2;2;2;2;2;2;2;2;1;2;1;4;1;1;1;1;1;2;2;1;01;05;1;830,238600815392
502681;05;1;5;2;1;1;1;1;1;3;3; ; ; ; ;250000;1;1;2;1;1;1;1;2;1;2;1;1;1;2;2;2;2;2;2;2;2;1;2;1;4;1;1;1;1;1;3;2;1;01;05;1;811,698606506239
502682;05;1;4;2;1;1;1;1;1;3;1; ; ;30000000;250000; ;1;1;2;1;1;1;1;1;1;1;1;2;1;2;2;2;2;1;2;2;2;1;2;1;4;1;1;1;1;1;3;1;1;01;05;1;593,274899026225
502683;05;1;3;2;1;1;1;1;1;3;1; ; ;25000000;250000; ;1;2;2;2;1;2;1;2;2;2;2;2;1;2;2;2;2;1;2;2;2;1;2;1;2;1;1;1;1;1;3;2;1;01;05;1;560,609014493622
502684;05;1;3;2;1;1;1;1;1;1;1; ; ;30000000;250000; ;1;1;2;1;1;1;1;2;2;2;1;2;1;2;2;2;2;1;2;2;2;1;2;1;2;1;2;1;1;1;3;2;1;01;05;1;669,898951554349
502685;05;1;4;3;1;1;1;1;1;3;1; ; ;40000000;250000; ;1;1;2;1;1;1;2;1;1;1;1;1;1;2;2;2;1;2;2;2;2;1;2;1;4;1;1;1;1;1;2;2;1;01;05;1;1119,62322441991
502686;05;1;1;1;1;1;1;1;2;4;3; ; ; ; ;120000;1;1;2;2;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;1;2;1;2;1;1;1;2;2;1;01;05;1;1052,38442484432
502687;05;1;4;3;1;1;1;1;1;4;1; ; ;35000000;280000; ;1;2;2;1;1;1;1;2;1;2;1;1;1;2;2;2;2;2;2;2;2;1;2;1;4;1;2;1;1;1;3;2;1;01;05;1;886,959507727495
502688;05;1;3;2;1;1;1;1;1;4;1; ; ;22000000;220000; ;1;1;2;1;1;1;1;1;1;2;1;1;1;2;2;2;2;2;1;2;2;1;2;1;4;1;2;1;1;1;3;2;1;01;05;1;714,561114654478
502689;05;1;8;4;1;1;1;1;1;4;2; ;500000;50000000;320000; ;1;1;2;1;1;1;1;1;2;2;1;1;1;1;2;2;2;2;2;2;2;1;2;1;4;1;1;1;1;1;3;2;1;01;05;1;660,658006908567
502691;05;1;4;2;1;1;1;1;1;3;1; ; ;60000000;350000; ;1;1;2;1;1;1;1;2;1;1;1;2;2;1;2;2;2;2;2;2;2;1;2;1;4;1;1;1;1;1;3;2;1;01;05;1;545,870968330105
502692;05;1;4;3;1;1;1;1;1;3;4; ; ; ;350000; ;1;1;2;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;1;2;1;4;1;1;1;1;1;2;2;1;01;05;1;540,629837307401
502695;05;1;4;1;1;1;1;1;1;1;3; ; ; ; ;310000;1;1;1;1;1;1;1;1;1;1;1;2;2;1;2;2;2;2;1;2;2;1;2;1;4;1;1;1;1;1;2;2;1;01;05;1;766,687017596852
502698;05;1;4;3;1;1;1;1;1;3;3; ; ; ; ;200000;1;1;2;1;1;1;1;1;2;2;1;1;1;2;2;2;2;2;2;2;2;1;2;1;4;1;1;1;1;1;2;2;1;01;05;1;811,698606506239
502699;05;1;3;1;1;1;1;1;1;4;3; ; ; ; ;300000;1;2;2;1;1;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;1;4;1;2;1;1;1;3;2;1;01;05;1;766,687017596852
502700;05;1;7;5;1;1;1;1;1;3;1; ; ;30000000;250000; ;1;1;1;1;1;1;1;2;2;2;1;1;1;1;2;1;2;1;1;2;2;1;2;1;4;1;1;1;1;1;2;2;1;01;05;1;790,313108135307
502701;05;1;4;1;1;1;1;1;1;1;3; ; ; ; ;190000;2;1;2;2;1;1;1;2;2;2;1;1;2;2;2;2;2;2;2;2;2;1;2;1;4;1;2;1;1;1;2;2;1;01;05;1;651,065720397255
502702;05;1;5;3;1;1;1;1;1;1;3; ; ; ; ;230000;1;1;2;1;1;1;1;2;1;2;1;1;1;2;2;2;1;1;2;1;2;1;2;1;4;1;2;1;1;1;2;2;1;01;05;1;1119,65960403878
502703;05;1;7;6;1;1;1;1;1;4;1; ; ;80000000;300000; ;1;1;2;2;1;1;2;2;2;2;1;1;2;1;2;2;2;1;2;2;2;1;1;1;4;1;2;1;1;1;2;2;1;01;05;1;1131,84946471157
502705;05;1;5;1;1;1;1;1;1;1;3; ; ; ; ;260000;1;1;2;1;1;1;1;2;1;2;1;1;2;2;2;2;2;2;1;2;2;1;2;1;5;1;2;1;1;1;3;2;1;01;05;1;740,664503548555
502706;05;1;6;3;1;1;1;1;1;4;3; ; ; ; ;270000;1;1;2;1;1;1;1;2;1;1;1;2;1;1;2;2;2;1;1;2;2;1;2;1;4;1;2;1;1;1;3;2;1;01;05;1;556,669996141485
