DIRECTORIO;SECUENCIA_P;ORDEN;REGIS;P6016;P6020;P6030;P6030S1;P6030S3;P6040;P6050;P6060;P6060S1;P6070;P6090;P6140;P6150;P6100;P6110;P6120;P6125;P6160;P6170;P6175;P6180;P6180S1;P6180S2;P6190;P6190S1;P6200;P6200S1;P6210;P6210S1;P6220;P6177S1;CLASE;DPTO;fex_c_2011
509869;1;1;10;1;2;1;10;1973;33;1;2; ;3;1; ; ;3; ; ;2;2;2; ; ; ; ;2; ;2; ;3;1; ;POR QUE YA VAN A TERMINAR LAS CLASES;2;25;2315,3048342038
509869;1;2;10;1;1;1;11;1998;8;3;2; ; ;1; ; ;3; ; ;2;2;1;1;1;200;5000;2; ;2; ;2;0; ; ;2;25;2315,3048342038
509869;1;3;10;1;2;1;10;2000;7;3;2; ; ;1; ; ;3; ; ;2;2;1;1;1;200;5000;2; ;2; ;2;0; ; ;2;25;2315,3048342038
509869;2;1;10;1;2;1;1;1987;20;1;2; ;3;1; ; ;3; ; ;1;1;2; ; ; ; ;2; ;2; ;4;9; ; ;2;25;2315,3048342038
509869;2;2;10;1;2;1;10;2004;2;3;2; ; ;1; ; ;3; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;25;2315,3048342038
509869;2;3;10;1;1;1;8;2006;1;3;2; ; ;1; ; ;3; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;25;2315,3048342038
509869;3;1;10;1;2;1;9;1979;28;1;2; ;5;1; ; ;3; ; ;2;1;2; ; ; ; ;2; ;2; ;3;4; ;PORQUE ESTA  VALIDANDO;2;25;2315,3048342038
509869;3;2;10;1;1;1;2;2001;6;3;2; ; ;1; ; ;3; ; ;2;2;1;1;1;200;3000;2; ;2; ;3;0; ; ;2;25;2315,3048342038
509870;1;1;10;1;1;1;3;1939;68;1;2; ;5;1; ; ;3; ; ;2;2;2; ; ; ; ; ; ; ; ;1;0; ; ;2;25;1997,50969298321
509871;1;1;10;1;1;1;8;1944;63;1;2; ;2;1; ; ;3; ; ;2;1;2; ; ; ; ; ; ; ; ;3;4; ; ;2;25;1548,57891547544
509871;1;2;10;2;2;1;11;1944;62;2;2; ;2;1; ; ;3; ; ;2;2;2; ; ; ; ; ; ; ; ;1;0; ; ;2;25;1548,57891547544
509872;1;1;10;1;2;1;6;1952;55;1;2; ;2;1; ; ;3; ; ;2;1;2; ; ; ; ; ; ; ; ;3;5; ; ;2;25;1842,07761709951
509872;1;2;10;2;1;1;12;1925;81;2;2; ;2;1; ; ;3; ; ;2;1;2; ; ; ; ; ; ; ; ;1;0; ; ;2;25;1842,07761709951
509872;1;3;10;3;2;1;7;1930;77;5;2; ;4;1; ; ;3; ; ;2;2;2; ; ; ; ; ; ; ; ;1;0; ; ;2;25;1842,07761709951
