DIRECTORIO;SECUENCIA_P;ORDEN;REGIS;P7430;P7440;P7450;P7450S1;P7460;P7470;P7472;P7472S1;P7490;P7490S1;P7454;P7456;P7458S1;P7458;P7452;CLASE;DPTO;AREA;fex_c_2011
502715;1;6;80;2; ; ; ;2; ;2; ;1;20000;1;1; ;8; ;1;05;05;742,912230759247
502715;1;7;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;05;742,912230759247
502716;1;2;80;1;4;7; ;2; ;2; ;2; ; ;4; ;9;1;1;05;05;665,647922856776
502717;1;3;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;05;734,021133064249
502719;1;3;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;05;640,61551113361
502720;1;1;80;1;4;4; ;3; ;2; ;2; ; ; ; ;8;2;1;05;05;885,663591774118
502720;1;2;80;1;4;2; ;2; ;2; ;2; ; ; ; ;8;2;1;05;05;885,663591774118
502721;1;2;80;1;4;2; ;2; ;2; ;2; ; ; ; ;9;2;1;05;05;640,61551113361
502721;1;3;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;05;640,61551113361
502725;1;1;80;1;4;4; ;3; ;2; ;2; ; ; ; ;4;2;1;05;05;497,476935308854
502725;1;3;80;1;1;1; ;2; ;2; ;1;1200000; ; ; ;2;2;1;05;05;497,476935308854
502726;1;1;80;1;4;2; ;2; ;2; ;2; ; ; ; ;9;2;1;05;05;408,22697070529
502728;1;2;80;1;1;2; ;2; ;2; ;1;2280000; ; ; ;9;2;1;05;05;1548,38621297063
502729;1;2;80;2; ; ; ;2; ;2; ;2; ;1;4; ;5; ;1;05;05;1556,29667796057
502729;1;3;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;05;1556,29667796057
502730;1;2;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;05;1702,29296248492
502730;1;3;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;05;1702,29296248492
502731;1;4;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;05;641,058680286573
502732;1;2;80;2; ; ; ;2; ;2; ;2; ;1;1; ;2; ;1;05;05;470,791069049591
502732;1;5;80;2; ; ; ;2; ;2; ;2; ;1;1; ;2; ;1;05;05;470,791069049591
502733;1;1;80;1;3;2; ;2; ;2; ;2; ; ;1; ;4;1;1;05;05;473,33925454032
502733;1;3;80;2; ; ; ;2; ;2; ;2; ;1;1; ;8; ;1;05;05;473,33925454032
502733;1;4;80;1;1;2; ;2; ;2; ;1;1500000; ; ; ;9;2;1;05;05;473,33925454032
502734;1;2;80;1;3;6; ;2; ;2; ;2; ; ; ; ;8;2;1;05;05;950,498514165731
502735;1;1;80;1;4;3; ;1;2;2; ;2; ; ; ; ;4;2;1;05;05;837,269558752867
502737;1;1;80;1;1;4; ;3; ;2; ;1;98; ; ; ;8;2;1;05;05;897,452721910629
502737;1;2;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;05;897,452721910629
502739;1;1;80;1;4;4; ;3; ;2; ;2; ; ; ; ;10;2;1;05;05;645,91996074505
502740;1;1;80;1;2;6; ;2; ;2; ;2; ; ;1; ;5;1;1;05;05;827,270911290891
502741;1;1;80;2; ; ; ;3; ;2; ;2; ;2; ;.; ; ;1;05;05;527,386555720746
502741;1;2;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;05;527,386555720746
502742;1;1;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;05;1052,1137026211
502742;1;3;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;05;1052,1137026211
502742;1;5;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;05;1052,1137026211
502747;1;2;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;05;1807,14637807075
502748;1;2;80;1;4;2; ;2; ;2; ;2; ; ; ; ;9;2;1;05;05;737,282059436691
502748;1;6;80;1;1;5; ;2; ;1;240000;1;5000000; ;1; ;5;1;1;05;05;737,282059436691
502749;1;2;80;1;1;2; ;2; ;2; ;1;3000000; ;1; ;6;1;1;05;05;514,987173823331
502749;1;3;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;05;514,987173823331
502749;1;4;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;05;514,987173823331
502749;1;5;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;05;514,987173823331
502750;1;2;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;05;553,409069769043
502751;1;3;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;05;601,681585050873
502751;1;4;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;05;601,681585050873
502754;1;2;80;1;3;4; ;3; ;2; ;2; ; ; ; ;10;2;1;05;05;666,638025181907
502754;1;3;80;1;1;1; ;2; ;2; ;2; ; ; ; ;2;2;1;05;05;666,638025181907
502755;1;2;80;1;3;2; ;2; ;2; ;1;3000000; ;3; ;8;1;1;05;05;744,75866777686
502755;1;3;80;1;1;1; ;2; ;2; ;1;1600000; ; ; ;2;2;1;05;05;744,75866777686
502756;1;2;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;05;586,536157171421
502756;1;4;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;05;586,536157171421
502756;1;5;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;05;586,536157171421
502758;1;1;80;1;4;3; ;2; ;2; ;2; ; ; ; ;8;2;1;05;05;667,08119433487
502758;1;3;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;05;667,08119433487
502758;1;4;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;05;667,08119433487
502759;1;2;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;05;597,525927723798
502760;1;1;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;05;946,247485468157
502761;1;2;80;1;4;2; ;2; ;2; ;2; ; ; ; ;9;2;1;05;05;718,2929845756
502761;1;3;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;05;718,2929845756
502762;1;1;80;1;3;0; ;2; ;2; ;2; ; ;1; ;9;1;1;05;05;1477,61034758922
502762;1;3;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;05;1477,61034758922
502765;1;2;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;05;621,504918533098
502765;1;5;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;05;621,504918533098
502767;1;1;80;1;1;4; ;3; ;2; ;2; ; ;1; ;10;1;1;05;05;686,680520956864
502768;1;3;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;05;876,57858335838
502769;1;4;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;05;1339,52452805481
502771;1;2;80;1;2;7; ;2; ;2; ;2; ; ; ; ;9;2;1;05;05;718,2929845756
502772;1;4;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;05;451,979906326067
502774;1;1;80;1;4;4; ;3; ;2; ;2; ; ; ; ;10;2;1;05;05;645,91996074505
502775;1;5;80;1;4;3; ;2; ;2; ;2; ; ;3; ;4;1;1;05;05;857,987623189724
502777;1;1;80;1;4;4; ;3; ;2; ;2; ; ; ; ;8;2;1;05;05;938,709384029219
502777;1;2;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;05;938,709384029219
502777;1;4;80;1;4;2; ;2; ;2; ;2; ; ; ; ;11;2;1;05;05;938,709384029219
502778;1;1;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;05;467,604123099261
502778;1;2;80;1;4;4; ;3; ;1;680000;1;680000; ; ; ;10;2;1;05;05;467,604123099261
502778;1;6;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;05;467,604123099261
502779;1;1;80;1;4;2; ;3; ;2; ;2; ; ; ; ;9;2;1;05;05;645,91996074505
502780;1;2;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;05;692,270470527303
502780;1;3;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;05;692,270470527303
502781;1;1;80;1;3;4; ;3; ;2; ;2; ; ; ; ;10;2;1;05;05;645,91996074505
502784;1;2;80;1;4;2; ;2; ;2; ;2; ; ; ; ;9;2;1;05;05;1323,99385556287
502786;1;2;80;1;4;6; ;2; ;2; ;2; ; ; ; ;9;2;1;05;05;1287,43914607357
502786;1;4;80;1;2;7; ;2; ;2; ;1;800000; ; ; ;2;2;1;05;05;1287,43914607357
502787;1;1;80;1;3;4; ;3; ;2; ;2; ; ; ; ;10;2;1;05;05;1771,32718354824
502787;1;2;80;1;3;8;CAMBIO DE PAIS;2; ;2; ;2; ; ; ; ;8;2;1;05;05;1771,32718354824
502789;1;2;80;1;2;6; ;2; ;2; ;2; ; ; ; ;1;2;1;05;05;1771,13644080724
502789;1;3;80;1;2;7; ;2; ;2; ;2; ; ; ; ;11;2;1;05;05;1771,13644080724
502790;1;3;80;1;1;7; ;2; ;2; ;1;600000; ; ; ;2;2;1;05;05;1236,48798432131
502790;1;4;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;05;1236,48798432131
502791;1;3;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;05;1414,79717078744
502792;1;1;80;1;4;2; ;3; ;2; ;2; ; ; ; ;9;2;1;05;05;1134,50476995586
502793;1;2;80;1;1;8;FALTA LIBRETA MILITAR;2; ;2; ;1;800000; ; ;FALTA LIBRETA MILITAR;12;2;1;05;05;508,275963120234
502793;1;3;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;05;508,275963120234
502793;1;4;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;05;508,275963120234
502797;1;3;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;05;505,015036747792
502798;1;1;80;1;4;4; ;3; ;2; ;2; ; ; ; ;8;2;1;05;05;885,663591774118
502798;1;2;80;1;4;3; ;2; ;2; ;2; ; ; ; ;4;2;1;05;05;885,663591774118
502799;1;2;80;1;2;4; ;3; ;2; ;2; ; ; ; ;10;2;1;05;05;1465,9390752807
502799;1;3;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;05;1465,9390752807
502800;1;1;80;1;4;3; ;3; ;2; ;2; ; ; ; ;4;2;1;05;05;680,481340390792
502801;1;2;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;05;1000,18800867789
502801;1;4;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;05;1000,18800867789
502803;1;2;80;1;4;5; ;2; ;2; ;2; ; ; ; ;9;2;1;05;05;921,817681252826
502803;1;3;80;1;1;1; ;2; ;2; ;1;1000000; ; ; ;2;2;1;05;05;921,817681252826
502803;1;4;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;05;921,817681252826
502804;1;2;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;05;1602,18306554665
502804;1;3;80;1;3;1; ;2; ;2; ;2; ; ; ; ;2;2;1;05;05;1602,18306554665
502804;1;4;80;1;3;1; ;2; ;2; ;2; ; ; ; ;2;2;1;05;05;1602,18306554665
502804;1;5;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;05;1602,18306554665
502805;1;2;80;1;4;4; ;3; ;2; ;2; ; ; ; ;10;2;1;05;05;1674,53911750573
502805;1;3;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;05;1674,53911750573
502806;1;2;80;1;4;3; ;3; ;2; ;2; ; ; ; ;4;2;1;05;05;1518,29783231583
502807;1;2;80;1;4;2; ;2; ;2; ;2; ; ; ; ;9;2;1;05;05;1079,15283278707
502807;1;3;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;05;1079,15283278707
502807;1;4;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;05;1079,15283278707
502808;1;3;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;05;1333,27605036381
502810;1;2;80;1;3;2; ;2; ;2; ;2; ; ; ; ;9;2;1;05;05;1481,32900709711
502811;1;2;80;1;1;2; ;2; ;2; ;1;1000000; ; ; ;9;2;1;05;05;1616,09522286179
502812;1;2;80;1;4;2; ;2; ;2; ;2; ; ; ; ;7;2;1;05;05;1131,19786088366
502812;1;4;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;05;1131,19786088366
502813;1;1;80;1;3;5; ;2; ;2; ;2; ; ; ; ;11;2;1;05;05;605,064029162737
502813;1;2;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;05;605,064029162737
502814;1;4;80;1;2;7; ;2; ;2; ;1;175000; ; ; ;7;2;1;05;05;518,194999745712
502814;1;5;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;05;518,194999745712
502815;1;1;80;1;4;2; ;2; ;2; ;2; ; ; ; ;9;2;1;05;05;946,247485468157
502815;1;2;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;05;946,247485468157
502815;1;3;80;1;4;3; ;2; ;2; ;2; ; ; ; ;4;2;1;05;05;946,247485468157
502817;1;1;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;05;665,248273043648
502817;1;2;80;1;4;2; ;2; ;2; ;2; ; ; ; ;9;2;1;05;05;665,248273043648
502817;1;3;80;1;4;3; ;2; ;2; ;2; ; ; ; ;4;2;1;05;05;665,248273043648
502817;1;4;80;1;4;2; ;3; ;2; ;2; ; ; ; ;9;2;1;05;05;665,248273043648
502818;1;3;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;05;1666,03706011059
502819;1;1;80;1;4;2; ;2; ;2; ;2; ; ; ; ;9;2;1;05;05;994,953870617708
502819;1;2;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;05;994,953870617708
502820;1;3;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;05;597,4305563533
502820;1;4;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;05;597,4305563533
502821;1;1;80;1;4;6; ;2; ;2; ;2; ; ; ; ;8;2;1;05;05;645,91996074505
502822;1;1;80;1;3;6; ;2; ;2; ;2; ; ; ; ;8;2;1;05;05;597,525927723798
502824;1;2;80;1;4;0; ;2; ;2; ;2; ; ; ; ;9;2;1;05;05;740,664503548555
502825;1;2;80;1;4;0; ;2; ;2; ;2; ; ; ; ;9;2;1;05;05;759,148916157914
502828;1;2;80;1;3;5; ;2; ;2; ;2; ; ; ; ;11;2;1;05;05;566,589032766963
502828;1;3;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;05;566,589032766963
502828;1;4;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;05;566,589032766963
502829;1;1;80;2; ; ; ;3; ;2; ;2; ;2; ;.; ; ;1;05;05;645,91996074505
502831;1;4;80;1;1;0; ;2; ;2; ;1;3903300; ; ; ;2;2;1;05;05;1236,48798432131
502832;1;1;80;1;1;3; ;2; ;2; ;1;3200000; ; ; ;7;2;1;05;05;830,575046773197
502835;1;4;80;1;4;3; ;2; ;2; ;2; ; ; ; ;4;2;1;05;05;1118,12114940649
502835;1;5;80;1;4;3; ;2; ;2; ;2; ; ; ; ;4;2;1;05;05;1118,12114940649
502836;1;1;80;1;4;4; ;3; ;2; ;2; ; ; ; ;10;2;1;05;05;765,376820629498
502837;1;2;80;1;3;2; ;2; ;2; ;2; ; ; ; ;9;2;1;05;05;688,61947545196
502838;1;1;80;1;4;4; ;3; ;2; ;2; ; ; ; ;10;2;1;05;05;645,91996074505
502839;1;1;80;1;4;5; ;2; ;2; ;2; ; ; ; ;11;2;1;05;05;1291,8399214901
502842;1;3;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;05;1333,27605036381
502843;1;2;80;1;4;2; ;2; ;2; ;2; ; ;2; ;1;1;1;05;05;618,243992160656
502843;1;4;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;05;618,243992160656
502844;1;4;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;05;618,243992160656
502845;1;3;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;05;710,659511766164
502845;1;5;80;2; ; ; ;2; ;2; ;1;100000;2; ;.; ; ;1;05;05;710,659511766164
502846;1;1;80;1;4;8;EDAD;2; ;2; ;2; ; ; ; ;8;2;1;05;05;885,663591774118
502846;1;2;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;05;885,663591774118
502847;1;1;80;1;4;4; ;3; ;2; ;2; ; ; ; ;10;2;1;05;05;945,84675493188
502849;1;1;80;1;4;4; ;3; ;2; ;2; ; ; ; ;10;2;1;05;05;987,008045679972
502849;1;2;80;1;1;4; ;3; ;2; ;2; ; ; ; ;11;2;1;05;05;987,008045679972
502849;1;3;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;05;987,008045679972
502849;1;5;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;05;987,008045679972
502853;1;1;80;1;4;4; ;3; ;2; ;2; ; ; ; ;4;2;1;05;05;634,546244930236
502853;1;2;80;1;1;4; ;3; ;1;433700;1;4000000; ; ; ;10;2;1;05;05;634,546244930236
502855;1;3;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;05;823,378084226434
502856;1;1;80;1;4;2; ;3; ;2; ;2; ; ; ; ;9;2;1;05;05;945,07311960877
502857;1;3;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;05;760,043647112546
502862;1;1;80;1;3;4; ;3; ;2; ;2; ; ;1; ;1;1;1;05;05;897,853452446906
502862;1;2;80;1;4;2; ;2; ;2; ;2; ; ; ; ;9;2;1;05;05;897,853452446906
502862;1;5;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;05;897,853452446906
502863;1;3;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;05;692,270470527303
502864;1;1;80;1;4;2; ;3; ;2; ;2; ; ; ; ;9;2;1;05;05;619,897446696753
502866;1;1;80;2; ; ; ;2; ;2; ;2; ;1;1; ;2; ;1;05;05;619,234094485787
502866;1;3;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;05;619,234094485787
502868;1;3;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;05;1333,27605036381
502871;1;1;80;1;4;4; ;3; ;2; ;2; ; ; ; ;10;2;1;05;05;762,289786263387
502871;1;2;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;05;762,289786263387
502872;1;1;80;1;1;3; ;2; ;1;120000;1;3200000; ; ; ;4;2;1;05;05;1018,33544929732
502872;1;2;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;05;1018,33544929732
502872;1;4;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;05;1018,33544929732
502872;1;5;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;05;1018,33544929732
502872;2;1;80;1;4;3; ;2; ;2; ;2; ; ; ; ;4;2;1;05;05;1018,33544929732
502876;1;1;80;1;4;3; ;2; ;2; ;2; ; ; ; ;4;2;1;05;05;642,712496362081
502878;1;2;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;05;644,709675361916
502878;1;4;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;05;644,709675361916
502878;1;5;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;05;644,709675361916
502880;1;2;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;05;670,88905387948
502880;1;3;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;05;670,88905387948
502882;1;4;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;05;431,989322539652
502882;1;5;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;05;431,989322539652
502882;1;7;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;05;431,989322539652
502889;1;1;80;1;4;4; ;3; ;2; ;2; ; ; ; ;10;2;1;05;05;545,870968330105
502892;1;3;80;1;2;8;POR SER MENOR DE EDAD;2; ;2; ;2; ; ; ; ;2;2;1;05;05;518,194999745712
502892;1;4;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;05;518,194999745712
502892;1;5;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;05;518,194999745712
502893;1;3;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;05;905,104228436878
502896;1;1;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;05;544,880866004974
502897;1;5;80;2; ; ; ;2; ;2; ;2; ;1;1; ;2; ;1;05;05;609,715788396587
502898;1;2;80;1;4;2; ;2; ;2; ;2; ; ; ; ;4;2;1;05;05;640,61551113361
502898;1;3;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;05;640,61551113361
502900;1;2;80;1;2;6; ;2; ;2; ;2; ; ; ; ;11;2;1;05;05;766,687017596852
502901;1;2;80;1;4;2; ;2; ;2; ;2; ; ; ; ;9;2;1;05;05;605,064029162737
502903;1;2;80;2; ; ; ;2; ;2; ;2; ;1;4; ;9; ;1;05;05;785,676092457942
