DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P7430;P7440;P7450;P7450S1;P7452;P7454;P7456;P7458;P7458S1;P7460;P7470;P7472;P7472S1;INI;MES;DPTO;fex_c_2011
4343286;1;1;1;80;05;1;4;6; ;2; ; ;8; ;2; ;2; ;1;06;05;1166,82877466154
4343288;1;1;1;80;05;1;1;4; ;2; ; ;4; ;2; ;2; ;1;06;05;1079,54512050267
4343288;1;2;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ;1;06;05;1079,54512050267
4343288;1;5;1;80;05;2; ; ; ; ;2; ; ;.; ; ;2; ;1;06;05;1079,54512050267
4343289;1;3;1;80;05;1;1;3; ;1; ;1;9; ;2; ;2; ;1;06;05;878,826657205256
4343292;1;2;1;80;05;1;3;6; ;2; ; ;6; ;2; ;2; ;1;06;05;1022,91120412128
4343295;1;6;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ;1;06;05;862,35707526469
4343296;1;1;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ;1;06;05;1107,99886329924
4343297;1;2;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ;1;06;05;784,575133322184
4343297;1;3;1;80;05;2; ; ; ; ;2; ; ;.; ; ;2; ;1;06;05;784,575133322184
4343298;1;2;1;80;05;1;1;2; ;2; ; ;2; ;2; ;2; ;1;06;05;976,999989403756
4343299;1;1;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ;1;06;05;1138,67084804103
4343299;1;2;1;80;05;2; ; ; ; ;2; ; ;.; ; ;2; ;1;06;05;1138,67084804103
4343301;1;3;1;80;05;2; ; ; ; ;2; ; ;.; ; ;2; ;1;06;05;1022,91120412128
4343302;1;3;1;80;05;2; ; ; ; ;1;1;2; ;2; ;2; ;1;06;05;878,826657205256
4343303;1;3;1;80;05;2; ; ; ; ;1;1;8; ;2; ;2; ;1;06;05;1022,91120412128
4343304;1;5;1;80;05;1;4;8; ;2; ; ;9; ;2; ;2; ;1;06;05;1053,66014049851
4343305;1;3;1;80;05;1;4;2; ;2; ; ;2; ;2; ;2; ;1;06;05;845,996054441216
4343305;1;4;1;80;05;2; ; ; ; ;2; ; ;.; ; ;2; ;1;06;05;845,996054441216
4343305;1;6;1;80;05;2; ; ; ; ;2; ; ;.; ; ;2; ;1;06;05;845,996054441216
4343306;1;1;1;80;05;1;1;7; ;2; ; ;9; ;2; ;2; ;1;06;05;1212,31409055025
4343307;1;2;1;80;05;1;3;7; ;2; ; ;9; ;1;2;2; ;1;06;05;1537,81258105519
4343307;1;4;1;80;05;1;4;1; ;2; ; ;9; ;3; ;2; ;1;06;05;1537,81258105519
4343310;1;3;1;80;05;2; ; ; ; ;2; ; ;.; ; ;2; ;1;06;05;588,59939194483
4343310;1;4;1;80;05;1;4;5; ;2; ; ;10; ;3; ;2; ;1;06;05;588,59939194483
4343310;1;6;1;80;05;1;1;8; ;2; ; ;2; ;2; ;2; ;1;06;05;588,59939194483
4343311;1;1;1;80;05;1;4;4; ;2; ; ;4; ;2; ;2; ;1;06;05;1057,21102579429
4343312;1;1;1;80;05;1;1;4; ;2; ; ;8; ;2; ;2; ;1;06;05;1026,80951747829
4343314;1;2;1;80;05;2; ; ; ; ;1;1;2; ;2; ;2; ;1;06;05;1073,69904162622
4343315;1;1;1;80;05;1;4;5; ;2; ; ;10; ;3; ;2; ;1;06;05;1322,75781408919
4343315;1;2;1;80;05;1;4;3; ;2; ; ;9; ;2; ;2; ;1;06;05;1322,75781408919
4343315;1;3;1;80;05;1;2;4; ;2; ; ;4; ;2; ;2; ;1;06;05;1322,75781408919
4343316;1;3;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ;1;06;05;816,445860547171
4343316;1;4;1;80;05;2; ; ; ; ;2; ; ;.; ; ;2; ;1;06;05;816,445860547171
4343319;1;3;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ;1;06;05;928,659680238204
4343320;1;2;1;80;05;1;1;2; ;2; ; ;2; ;2; ;2; ;1;06;05;738,311429476374
4343320;1;3;1;80;05;2; ; ; ; ;2; ; ;.; ; ;2; ;1;06;05;738,311429476374
4343322;1;1;1;80;05;1;4;5; ;2; ; ;10; ;3; ;2; ;1;06;05;1331,0957041226
