DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;RAMA4D_D;MES;DPTO;fex_c_2011
4356622;1;2;1;70;2;6;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;1; ;06;18;1043,29880677754
4356662;1;2;1;70;2;24;48;1; ;2;24;3; ;1;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;32;54;95;1;2;9500;06;18;1336,16415691523
4357633;1;5;1;70;2;7;48;1; ;2;2;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;59;33;52;1;1;5241;06;25;1610,17599279101
4357735;1;1;1;70;2;48;40;3; ;2;48;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;54;54;95;1;2;9500;06;44;793,316498366195
4357804;1;4;1;70;2;4;48;3; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;54; ; ;1;1; ;06;44;382,76381520125
4357816;1;2;1;70;2;48;48;4; ;2;20;4; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;95;95;45;1;2;4522;06;44;563,794382847928
4357851;1;3;1;70;2;24;40;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;13; ; ;1;2; ;06;44;670,595759518339
4357914;1;7;1;70;2;8;40;1; ;2;8;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;95;95;45;1;1;4530;06;44;1835,17162835099
4358055;1;5;1;70;2;17;24;4; ;2;17;7; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;61;61;01;1;2;0116;06;52;2588,92289237572
4358069;1;2;1;70;2;6;48;1; ;2;260;1; ;3;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;45;53;55;1;1;5521;06;52;3277,42237884985
4358069;1;3;1;70;2;26;40;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;2; ;06;52;3277,42237884985
4358071;1;3;1;70;2;16;40;1; ;2;16;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;32;45;52;1;2;5234;06;52;856,150633439554
4358195;1;2;1;70;2;20;48;1; ;2;20;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;45;45;52;1;2;5233;06;66;801,935552329489
4358202;1;1;1;70;2;1;40;4; ;2;13;4; ;4;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;06;06;85;1;1;8520;06;66;994,362122854042
4358202;1;2;1;70;2;5;48;1; ;2;52;1; ;9;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;33;38;74;1;1;7499;06;66;994,362122854042
4358208;1;1;1;70;2;10;48;1; ;2;30;1; ;9;1;5; ; ;1; ; ; ; ; ; ; ; ;2; ;98;98;90;1;1;9000;06;66;1016,6524377217
4358211;1;4;1;70;2;24;48;1; ;2;28;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;39;32;01;1;2;0117;06;66;644,326482068688
4358269;1;1;1;70;2;4;48;1; ;2;4;4; ;4;2;5; ; ;1; ; ; ; ; ; ; ; ;1;300000;97;97;60;1;1;6042;06;66;305,230184774326
4358270;1;1;1;70;2;52;48;2; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;58; ; ;1;2; ;06;66;552,437353875559
4358293;1;3;1;70;2;24;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;53; ; ;1;2; ;06;66;615,997897947987
4358315;1;1;1;70;2;48;40;1; ;2;48;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;39;39;85;1;2;8512;06;66;349,319826625569
