DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P7480;P7480S1;P7480S3;P7480S4;P7480S5;P7480S6;P7480S7;P7480S8;P7480S9;P7480S10;P7480S11;P7480S1A1;P7480S3A1;P7480S4A1;P7480S5A1;P7480S6A1;P7480S7A1;P7480S8A1;P7480S9A1;P7480S10A1;P7480S11A1;clase;DPTO;fex_c_2011
1802679;1;1;1;90; ;1;1;2;2;2;2;2;2;2;2;10;10; ; ; ; ; ; ; ; ;2;18;719,491029763497
1802679;1;2;1;90; ;1;1;2;2;1;2;2;2;2;2;6;40; ; ;18; ; ; ; ; ;2;18;719,491029763497
1802679;1;3;1;90; ;1;1;2;2;1;2;2;2;2;2;14;20; ; ;10; ; ; ; ; ;2;18;719,491029763497
1802679;1;4;1;90; ;1;1;2;2;2;2;2;2;2;2;5;12; ; ; ; ; ; ; ; ;2;18;719,491029763497
1802679;1;5;1;90; ;2;1;2;2;2;2;2;2;2;2; ;10; ; ; ; ; ; ; ; ;2;18;719,491029763497
1802679;1;6;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;2;18;719,491029763497
1802679;1;7;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;2;18;719,491029763497
1802680;1;1;1;90; ;1;1;2;1;2;2;2;2;2;2;6;30; ;20; ; ; ; ; ; ;2;18;510,741335935576
1802680;1;2;1;90; ;1;1;2;1;2;2;2;2;2;2;10;22; ;30; ; ; ; ; ; ;2;18;510,741335935576
1802681;1;1;1;90; ;2;1;2;1;2;2;2;2;2;2; ;3; ;8; ; ; ; ; ; ;2;18;654,094379173281
1802681;1;2;1;90; ;1;1;2;1;2;2;2;2;2;2;10;40; ;50; ; ; ; ; ; ;2;18;654,094379173281
1802681;1;3;1;90; ;1;1;2;1;2;2;2;2;2;2;5;10; ;15; ; ; ; ; ; ;2;18;654,094379173281
1802682;1;1;1;90; ;1;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ;2;18;773,102144715799
1802682;1;2;1;90; ;1;1;2;2;2;2;2;2;2;2;3;35; ; ; ; ; ; ; ; ;2;18;773,102144715799
1802682;1;3;1;90; ;1;1;2;2;2;2;2;2;2;2;20;30; ; ; ; ; ; ; ; ;2;18;773,102144715799
1802683;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;2;18;1272,72725846397
1802683;1;2;1;90; ;1;1;2;2;1;2;2;2;2;2;3;35; ; ;8; ; ; ; ; ;2;18;1272,72725846397
1802683;1;3;1;90; ;2;1;2;2;2;2;2;2;2;2; ;28; ; ; ; ; ; ; ; ;2;18;1272,72725846397
1802683;1;4;1;90; ;1;1;2;2;2;2;2;2;2;2;20;3; ; ; ; ; ; ; ; ;2;18;1272,72725846397
1802683;1;5;1;90; ;1;1;2;2;2;2;2;2;2;2;6;4; ; ; ; ; ; ; ; ;2;18;1272,72725846397
1802684;1;1;1;90; ;1;1;2;2;2;2;2;2;2;2;2;20; ; ; ; ; ; ; ; ;2;18;1065,96120660587
1802684;1;2;1;90; ;1;1;2;2;2;2;2;1;2;2;3;9; ; ; ; ; ;6; ; ;2;18;1065,96120660587
1802685;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;2;18;1104,72355455145
1802685;1;2;1;90; ;1;1;2;2;2;2;2;2;2;2;5;21; ; ; ; ; ; ; ; ;2;18;1104,72355455145
1802685;1;3;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;2;18;1104,72355455145
1802686;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;2;18;1148,56910692323
1802686;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;28; ; ; ; ; ; ; ; ;2;18;1148,56910692323
1802686;1;3;1;90; ;2;1;2;1;2;2;2;2;2;2; ;14; ;21; ; ; ; ; ; ;2;18;1148,56910692323
1802686;1;4;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;2;18;1148,56910692323
1802686;1;5;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;2;18;1148,56910692323
1802686;1;6;1;90; ;2;1;2;2;2;2;2;2;2;2; ;21; ; ; ; ; ; ; ; ;2;18;1148,56910692323
1802687;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;2;18;1138,22883860038
1802688;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;2;18;1420,57632301401
1802688;1;2;1;90; ;2;1;2;1;2;2;2;2;2;2; ;28; ;28; ; ; ; ; ; ;2;18;1420,57632301401
1802689;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;2;18;714,598712571724
1802689;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;28; ; ; ; ; ; ; ; ;2;18;714,598712571724
1802689;1;3;1;90; ;2;1;2;2;2;2;2;2;2;2; ;21; ; ; ; ; ; ; ; ;2;18;714,598712571724
1802690;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;2;18;1196,41273865268
1802690;1;2;1;90; ;2;1;2;1;2;2;2;2;2;2; ;28; ;28; ; ; ; ; ; ;2;18;1196,41273865268
1802690;1;3;1;90; ;2;1;2;2;2;2;2;2;2;2; ;14; ; ; ; ; ; ; ; ;2;18;1196,41273865268
1802690;1;4;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;2;18;1196,41273865268
1802691;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;2;18;719,210723915196
1802691;1;2;1;90; ;2;1;2;1;2;2;2;2;2;2; ;35; ;18; ; ; ; ; ; ;2;18;719,210723915196
1802691;1;3;1;90; ;2;1;2;1;2;2;2;2;2;2; ;25; ;56; ; ; ; ; ; ;2;18;719,210723915196
1802692;1;1;1;90; ;2;2;2;2;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;8;2;18;835,749833173384
1802692;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;38; ; ; ; ; ; ; ; ;2;18;835,749833173384
1802693;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;2;18;719,74909856995
1802693;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;30; ; ; ; ; ; ; ; ;2;18;719,74909856995
1802694;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;2;18;1146,06672344591
1802694;1;2;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;2;18;1146,06672344591
1802694;1;3;1;90; ;2;1;2;2;2;2;2;2;2;2; ;24; ; ; ; ; ; ; ; ;2;18;1146,06672344591
1802695;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;2;18;1519,53278439898
1802695;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;40; ; ; ; ; ; ; ; ;2;18;1519,53278439898
1802695;1;3;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;2;18;1519,53278439898
1802695;1;4;1;90; ;2;1;2;2;2;2;2;2;2;2; ;18; ; ; ; ; ; ; ; ;2;18;1519,53278439898
1802695;1;5;1;90; ;2;1;2;2;2;2;2;2;2;2; ;8; ; ; ; ; ; ; ; ;2;18;1519,53278439898
