DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S8;P7420S7A1;P7422;P7422S1;P9460;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;RAMA4D_D;DPTO;fex_c_2011
1796282;1;4;1;70;05;2;48;1; ;2;3;1; ;9;3; ; ;1; ; ; ; ; ; ; ; ;1;900000;2;19;39;74;1;1;7421;05;972,716712319844
1796287;1;5;1;70;05;4;48;1; ;2;50;1; ;5;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;03;80;19;1;1;1925;05;819,549860516466
1796292;1;3;1;70;05;52;48;1; ;2;52;1; ;6;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;2;5233;05;1006,77066608198
1796296;1;5;1;70;05;12;48;1; ;2;12;1; ;8;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;1;5234;05;929,54811825077
1796304;1;3;1;70;05;2;25;1; ;2;2;4; ;9;4; ; ; ; ; ; ; ; ; ;1; ;1;700000;2;45;44;64;1;1;6421;05;899,705829786039
1796309;1;1;1;70;05;52;48;1; ;2;52;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;77;77;15;1;2;1551;05;692,53742004757
1796321;1;3;1;70;05;14;48;1; ;2;14;1; ;4;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;93;93;36;1;2;3611;05;1047,06430074477
1796322;1;3;1;70;05;8;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;1; ;05;822,892259959351
1796326;1;1;1;70;05;20;24;1; ;2;48;1; ;8;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;03;03;45;1;2;4542;05;805,75978034416
1796326;1;2;1;70;05;28;24;1; ;2;30;1; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;39;39;18;1;2;1810;05;805,75978034416
1796331;1;2;1;70;05;16;48;1; ;2;208;1; ;5;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;79;18;1;2;1810;05;885,8370794317
1796333;1;3;1;70;05;2;24;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;53; ; ;1;1; ;05;1053,6236941718
1796335;1;1;1;70;05;8;48;4; ;2;8;5; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;95;45;1;1;4522;05;617,950334358579
1796336;1;3;1;70;05;28;24;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;2; ;05;912,745946458072
