DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7430;P7440;P7450;P7450S1;P7460;P7470;P7472;P7472S1;P7454;P7456;P7458S1;P7458;P7452;INI;DPTO;fex_c_2011
1802679;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;18;719,491029763497
1802679;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;18;719,491029763497
1802679;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;18;719,491029763497
1802679;1;5;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;18;719,491029763497
1802679;1;6;1;80;2;1;4;4; ;2; ;2; ; ; ; ;4;2;1;18;719,491029763497
1802679;1;7;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;18;719,491029763497
1802681;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;18;654,094379173281
1802681;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;18;654,094379173281
1802682;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;18;773,102144715799
1802682;1;3;1;80;2;1;4;3; ;2; ;2; ; ; ; ;9;2;1;18;773,102144715799
1802683;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;18;1272,72725846397
1802683;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;18;1272,72725846397
1802683;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;18;1272,72725846397
1802683;1;5;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;18;1272,72725846397
1802684;1;1;1;80;2;1;4;4; ;2; ;2; ; ; ; ;4;2;1;18;1065,96120660587
1802685;1;2;1;80;2;2; ; ; ;2; ;2; ;1;3; ;9; ;1;18;1104,72355455145
1802686;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;18;1148,56910692323
1802686;1;6;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;18;1148,56910692323
1802688;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;18;1420,57632301401
1802689;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;18;714,598712571724
1802689;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;18;714,598712571724
1802690;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;18;1196,41273865268
1802690;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;18;1196,41273865268
1802690;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;18;1196,41273865268
1802692;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;18;835,749833173384
1802693;1;2;1;80;2;1;4;3; ;2; ;2; ; ; ; ;9;2;1;18;719,74909856995
1802695;1;2;1;80;2;1;4;3; ;2; ;2; ; ; ; ;9;2;1;18;1519,53278439898
1802695;1;6;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;18;1519,53278439898
1802696;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;18;1295,03436744353
1802697;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;18;1118,52929944165
1802698;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;18;1411,03510204696
1802699;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;18;821,058226208107
1802699;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;18;821,058226208107
1802700;1;1;1;80;2;1;4;4; ;2; ;2; ; ; ; ;4;2;1;18;1203,34518334229
1802701;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;18;1058,02496604321
1802702;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;18;1128,2556357787
1820436;1;2;1;80;2;1;4;3; ;2; ;2; ; ; ; ;9;2;1;70;1530,27861198977
1820436;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;70;1530,27861198977
1820437;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;70;1601,96515904191
1820437;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;70;1601,96515904191
1820437;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;70;1601,96515904191
1820438;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;70;1267,94531649045
1820439;1;1;1;80;2;1;4;3; ;2; ;2; ; ; ; ;9;2;1;70;1333,81699034177
1820439;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;70;1333,81699034177
1820440;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;70;1884,48521964195
1820440;1;5;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;70;1884,48521964195
1820441;1;4;1;80;2;1;2;3; ;2; ;2; ; ; ; ;9;2;1;70;1740,18012073663
1820442;1;2;1;80;2;1;4;3; ;2; ;2; ; ; ; ;9;2;1;70;1602,01497073906
1820442;1;4;1;80;2;1;3;4; ;2; ;2; ; ; ; ;4;2;1;70;1602,01497073906
1820443;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;70;2211,14228950256
1820445;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;70;1802,23928763893
1820445;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;70;1802,23928763893
1820445;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;70;1802,23928763893
1828394;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;23;1778,70667856332
1828394;1;4;1;80;2;1;4;3; ;2; ;2; ; ; ; ;9;2;1;23;1778,70667856332
1828395;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;23;708,006916344906
1828396;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;23;1444,87144125082
1828398;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;23;1444,87144125082
1828399;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;23;1303,14499037571
1828399;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;23;1303,14499037571
1828401;1;8;1;80;2;1;4;3; ;2; ;2; ; ; ; ;9;2;1;23;708,006916344906
1828402;1;2;1;80;2;1;4;4; ;2; ;2; ; ; ; ;4;2;1;23;1072,99834904797
1828403;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;23;1525,14446409923
1828403;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;23;1525,14446409923
1828403;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;23;1525,14446409923
1828404;1;2;1;80;2;1;4;3; ;2; ;2; ; ; ; ;9;2;1;23;1844,50000466683
1828404;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;23;1844,50000466683
1828405;1;2;1;80;2;1;4;3; ;2; ;2; ; ; ; ;9;2;1;23;1353,17530816368
1828406;1;2;1;80;2;1;1;3; ;2; ;2; ; ; ; ;9;2;1;23;2227,76206873005
1828408;1;2;1;80;2;1;4;3; ;2; ;2; ; ; ; ;9;2;1;23;923,124730568641
1828409;1;1;1;80;2;1;4;4; ;2; ;2; ; ; ; ;4;2;1;23;1375,31299875389
1828409;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;23;1375,31299875389
1828420;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;23;1703,56226257894
1828421;1;1;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;23;1814,35139755789
1828423;1;2;1;80;2;1;3;3; ;2; ;2; ; ; ; ;9;2;1;23;1303,14499037571
1828423;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;23;1303,14499037571
1828423;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;23;1303,14499037571
1828424;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;23;1864,91503796328
1828424;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;23;1864,91503796328
1828424;1;9;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;23;1864,91503796328
1828424;1;13;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;23;1864,91503796328
1828424;1;14;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;23;1864,91503796328
1828424;1;15;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;23;1864,91503796328
1828425;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;23;2340,3655143942
1828427;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;23;1795,48632034759
1828427;1;5;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;23;1795,48632034759
1828427;1;6;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;23;1795,48632034759
1828428;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;23;2353,18115223573
1828429;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;23;1192,59363553712
1828429;1;7;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;23;1192,59363553712
1828430;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;23;833,915831328786
1828432;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;23;1353,17530816368
1828433;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;23;2489,89225867512
1828433;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;23;2489,89225867512
1828433;1;5;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;23;2489,89225867512
1828433;1;7;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;23;2489,89225867512
1828434;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;23;1456,5849417445
1828435;1;2;1;80;2;1;1;4; ;2; ;2; ; ; ; ;4;2;1;23;999,172500396906
1828436;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;23;1871,17850848126
1828447;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;23;1764,22698181841
1828447;1;5;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;23;1764,22698181841
1828448;1;2;1;80;2;1;1;8; ;2; ;2; ; ; ; ;9;2;1;23;1711,70943018316
1828448;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;23;1711,70943018316
1828449;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;23;2429,88784219467
1828449;1;5;1;80;2;1;4;3; ;2; ;2; ; ; ; ;9;2;1;23;2429,88784219467
1828449;1;6;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;23;2429,88784219467
1828449;1;7;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;23;2429,88784219467
1828449;1;8;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;23;2429,88784219467
1828451;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;23;1545,79384098436
1828452;1;1;1;80;2;1;4;3; ;2; ;2; ; ; ; ;9;2;1;23;1814,35139755789
1828453;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;23;1622,50053094331
1828453;1;5;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;23;1622,50053094331
1828454;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;23;1453,57437555538
1828454;2;2;2;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;23;1453,57437555538
1828455;1;1;1;80;2;1;3;4; ;2; ;2; ; ; ; ;4;2;1;23;1624,81801841882
1828455;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;23;1624,81801841882
1828456;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;23;1312,98293148537
1828456;1;3;1;80;2;1;3;6; ;2; ;2; ; ; ; ;9;2;1;23;1312,98293148537
1828456;1;4;1;80;2;1;2;8; ;2; ;2; ; ; ; ;11;2;1;23;1312,98293148537
1828456;1;5;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;23;1312,98293148537
1828457;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;23;1355,66254201096
1828457;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;23;1355,66254201096
1828458;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;23;752,64388833817
1828950;1;2;1;80;2;1;1;8; ;2; ;2; ; ; ; ;2;2;1;63;1100,23488000959
1828950;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;63;1100,23488000959
1828956;1;2;1;80;2;1;2;3; ;2; ;2; ; ; ; ;9;2;1;63;1498,85222542849
