DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P6290;P6290S1;P6230;P6240;P6240S1;P6250;P6260;P6270;P6280;P6300;P6310;P6310S1;P6320;P6330;P6340;P6350;P6351;FT;DPTO;fex_c_2011
1796276;1;1;1;50;05; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;956,756712012695
1796280;1;1;1;50;05; ; ;1;6;GIMNAVIA DE LA TERCERA EDAD;2;2;2;2;2; ; ; ; ; ; ; ;1;05;946,555414766351
1796280;1;2;1;50;05; ; ;2;6;GIMNACIA DE LA TERCERA EDAD;2;2;2;2;2; ; ; ; ; ; ; ;1;05;946,555414766351
1796281;1;1;1;50;05; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;533,437543906572
1796281;1;3;1;50;05; ; ;3;4; ;2;2;2;2;2; ; ; ; ; ; ; ;1;05;533,437543906572
1796282;1;1;1;50;05; ; ;1;6;CAMINAR;2;2;2;2;2; ; ; ; ; ; ; ;1;05;972,716712319844
1796282;1;2;1;50;05; ; ;2;6;HACER CROCHE;2;2;2;2;2; ; ; ; ; ; ; ;1;05;972,716712319844
1796282;1;3;1;50;05; ; ;3;4; ;2;2;2;2;2; ; ; ; ; ; ; ;1;05;972,716712319844
1796282;1;4;1;50;05;2; ;4;2; ;2;2;2;1; ; ; ; ; ; ; ;1;1;05;972,716712319844
1796282;1;5;1;50;05; ; ;5;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;972,716712319844
1796282;1;6;1;50;05; ; ;3;3; ;2;2;2;2;2; ; ; ; ; ; ; ;1;05;972,716712319844
1796284;1;1;1;50;05; ; ;1;6;CAMINAR Y VER TELEVICION;2;2;2;2;2; ; ; ; ; ; ; ;1;05;1179,96379224035
1796284;1;2;1;50;05; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;1179,96379224035
1796284;1;3;1;50;05; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;1179,96379224035
1796285;1;1;1;50;05; ; ;1;2; ;1; ; ; ; ; ; ; ; ; ; ; ;1;05;1065,5895990171
1796285;1;2;1;50;05; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;1;05;1065,5895990171
1796286;1;1;1;50;05; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;645,687835067258
1796286;1;2;1;50;05; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;1;05;645,687835067258
1796286;1;3;1;50;05; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;645,687835067258
1796286;1;4;1;50;05; ; ;4;3; ;2;2;2;2;2; ; ; ; ; ; ; ;1;05;645,687835067258
1796286;1;5;1;50;05; ; ;5;3; ;2;2;2;2;2; ; ; ; ; ; ; ;1;05;645,687835067258
1796287;1;1;1;50;05; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;819,549860516466
1796287;1;2;1;50;05; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;1;05;819,549860516466
1796287;1;3;1;50;05; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;819,549860516466
1796287;1;5;1;50;05;2; ;5;2; ;2;2;2;1; ; ; ; ; ; ; ;1;1;05;819,549860516466
1796288;1;1;1;50;05; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;968,751609256178
1796288;1;2;1;50;05; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;1;05;968,751609256178
1796289;1;1;1;50;05; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;1057,26215488161
1796289;1;2;1;50;05; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;1057,26215488161
1796291;1;1;1;50;05; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;1164,24832099552
1796291;1;2;1;50;05; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;1164,24832099552
1796291;1;3;1;50;05; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;1164,24832099552
1796291;1;4;1;50;05; ; ;4;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;1164,24832099552
1796291;1;5;1;50;05; ; ;1;3; ;2;2;2;2;2; ; ; ; ; ; ; ;1;05;1164,24832099552
1796292;1;1;1;50;05; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;1006,77066608198
1796292;1;2;1;50;05; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;1;05;1006,77066608198
1796292;1;3;1;50;05;1; ;3;2; ;2;2;2;1; ; ; ; ; ; ; ;1;1;05;1006,77066608198
1796292;1;4;1;50;05; ; ;4;3; ;2;2;2;2;2; ; ; ; ; ; ; ;1;05;1006,77066608198
1796293;1;1;1;50;05; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;1112,72515057059
1796293;1;2;1;50;05; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;1112,72515057059
1796293;1;3;1;50;05; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;1112,72515057059
1796294;1;1;1;50;05; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;776,081762070967
1796294;1;2;1;50;05; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;1;05;776,081762070967
1796294;1;3;1;50;05; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;776,081762070967
1796294;1;4;1;50;05; ; ;4;3; ;2;2;2;2;2; ; ; ; ; ; ; ;1;05;776,081762070967
1796295;1;1;1;50;05; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;1046,19154817228
1796296;1;1;1;50;05; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;929,54811825077
1796296;1;2;1;50;05; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;929,54811825077
1796296;1;3;1;50;05; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;1;05;929,54811825077
1796296;1;4;1;50;05; ; ;4;4; ;2;2;2;2;2; ; ; ; ; ; ; ;1;05;929,54811825077
1796296;1;5;1;50;05;2; ;5;2; ;2;2;2;1; ; ; ; ; ; ; ;1;1;05;929,54811825077
1796297;1;1;1;50;05; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;1;05;956,756712012695
1796298;1;1;1;50;05; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;1079,45834937143
1796298;1;2;1;50;05; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;1;05;1079,45834937143
1796299;1;1;1;50;05; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;1141,01035018665
