DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P7480;P7480S1;P7480S3;P7480S4;P7480S5;P7480S6;P7480S7;P7480S8;P7480S9;P7480S10;P7480S11;P7480S1A1;P7480S3A1;P7480S4A1;P7480S5A1;P7480S6A1;P7480S7A1;P7480S8A1;P7480S9A1;P7480S10A1;P7480S11A1;clase;MES;DPTO;AREA;fex_c_2011
2202735;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;03;05;05;900,269951891875
2202735;1;2;1;90; ;2;1;2;2;1;2;2;2;2;2; ;25; ; ;18; ; ; ; ; ;1;03;05;05;900,269951891875
2202735;1;3;1;90; ;2;1;2;2;2;2;2;2;2;2; ;20; ; ; ; ; ; ; ; ;1;03;05;05;900,269951891875
2202736;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;03;05;05;1069,64165954492
2202736;1;2;1;90; ;2;1;2;2;2;2;1;2;2;2; ;21; ; ; ; ;2; ; ; ;1;03;05;05;1069,64165954492
2202737;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;03;05;05;1080,35999952972
2202737;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;20; ; ; ; ; ; ; ; ;1;03;05;05;1080,35999952972
2202737;1;3;1;90; ;2;1;2;2;2;2;2;2;2;2; ;8; ; ; ; ; ; ; ; ;1;03;05;05;1080,35999952972
2202737;1;4;1;90; ;2;1;2;2;2;2;2;2;2;2; ;5; ; ; ; ; ; ; ; ;1;03;05;05;1080,35999952972
2202738;1;1;1;90; ;2;1;2;1;2;2;2;2;2;2; ;4; ;21; ; ; ; ; ; ;1;03;05;05;1004,23176089404
2202738;1;2;1;90; ;2;1;2;1;1;2;2;2;2;2; ;35; ;40;3; ; ; ; ; ;1;03;05;05;1004,23176089404
2202738;1;3;1;90; ;2;1;2;1;2;2;2;2;2;2; ;3; ;2; ; ; ; ; ; ;1;03;05;05;1004,23176089404
2202739;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;14; ; ; ; ; ; ; ; ;1;03;05;05;1059,90473966107
2202740;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;03;05;05;1028,39904651819
2202740;1;2;1;90; ;2;1;2;1;2;2;2;2;2;2; ;18; ;20; ; ; ; ; ; ;1;03;05;05;1028,39904651819
2202741;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;03;05;05;1075,43697153833
2202742;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;10; ; ; ; ; ; ; ; ;1;03;05;05;1075,43697153833
2202743;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;20; ; ; ; ; ; ; ; ;1;03;05;05;1073,3435356263
2202743;1;2;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;03;05;05;1073,3435356263
2202743;1;3;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;03;05;05;1073,3435356263
2202743;2;1;2;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;03;05;05;1073,3435356263
2202743;2;2;2;90; ;2;1;2;1;1;2;2;2;2;2; ;28; ;20;28; ; ; ; ; ;1;03;05;05;1073,3435356263
2202743;2;3;2;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;03;05;05;1073,3435356263
2202745;1;1;1;90; ;2;2;2;1;2;2;2;2;2;2; ; ; ;20; ; ; ; ; ; ;1;03;05;05;987,156433491465
2202745;1;2;1;90; ;2;1;2;1;2;2;2;2;2;2; ;10; ;20; ; ; ; ; ; ;1;03;05;05;987,156433491465
2202746;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;2; ; ; ; ; ; ; ; ;1;03;05;05;850,123622917808
2202746;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;10; ; ; ; ; ; ; ; ;1;03;05;05;850,123622917808
2202747;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;03;05;05;945,913820464738
2202747;1;2;1;90; ;2;1;2;1;2;2;2;2;2;2; ;30; ;30; ; ; ; ; ; ;1;03;05;05;945,913820464738
2202748;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;03;05;05;1092,58779325905
2202748;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;14; ; ; ; ; ; ; ; ;1;03;05;05;1092,58779325905
2202749;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;10; ; ; ; ; ; ; ; ;1;03;05;05;914,604313822496
2202749;1;2;1;90; ;2;1;2;1;2;2;2;2;2;2; ;24; ;21; ; ; ; ; ; ;1;03;05;05;914,604313822496
2202750;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;16; ; ; ; ; ; ; ; ;1;03;05;05;1165,83694115166
2202750;1;2;1;90; ;2;1;2;2;2;2;1;2;2;2; ;12; ; ; ; ;19; ; ; ;1;03;05;05;1165,83694115166
2202751;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;19; ; ; ; ; ; ; ; ;1;03;05;05;881,921260224515
2202752;1;1;1;90; ;2;1;2;1;2;2;2;2;2;2; ;14; ;20; ; ; ; ; ; ;1;03;05;05;1051,34518023232
2202752;1;2;1;90; ;2;1;2;1;2;2;2;2;2;2; ;30; ;40; ; ; ; ; ; ;1;03;05;05;1051,34518023232
2202753;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;03;05;05;987,637011869419
2202753;1;2;1;90; ;2;1;2;1;2;2;2;2;2;2; ;40; ;40; ; ; ; ; ; ;1;03;05;05;987,637011869419
2202754;1;1;1;90; ;2;1;2;1;2;2;2;2;2;2; ;35; ;70; ; ; ; ; ; ;1;03;05;05;937,999076904861
2202755;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;3; ; ; ; ; ; ; ; ;1;03;05;05;1004,23176089404
2202755;1;2;1;90; ;2;1;2;1;2;2;2;2;2;2; ;28; ;20; ; ; ; ; ; ;1;03;05;05;1004,23176089404
2202755;1;3;1;90; ;2;1;2;2;2;2;2;2;2;2; ;2; ; ; ; ; ; ; ; ;1;03;05;05;1004,23176089404
2202756;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;03;05;05;1061,00660579802
2202756;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;14; ; ; ; ; ; ; ; ;1;03;05;05;1061,00660579802
2202756;1;3;1;90; ;2;1;2;2;2;2;2;2;2;2; ;2; ; ; ; ; ; ; ; ;1;03;05;05;1061,00660579802
2202757;1;1;1;90; ;2;1;2;1;2;2;2;2;2;2; ;5; ;5; ; ; ; ; ; ;1;03;05;05;1115,53392697318
2202757;1;2;1;90; ;2;1;2;1;2;2;2;2;2;2; ;30; ;48; ; ; ; ; ; ;1;03;05;05;1115,53392697318
2202758;1;1;1;90; ;2;1;2;1;2;2;2;2;2;2; ;40; ;50; ; ; ; ; ; ;1;03;05;05;842,785215399075
2202758;1;2;1;90; ;2;1;2;1;2;2;2;2;2;2; ;8; ;30; ; ; ; ; ; ;1;03;05;05;842,785215399075
2202759;1;1;1;90; ;2;1;2;1;2;2;2;2;2;2; ;6; ;10; ; ; ; ; ; ;1;03;05;05;1043,93127839545
2202759;1;2;1;90; ;2;1;2;1;2;2;1;2;2;2; ;20; ;30; ; ;4; ; ; ;1;03;05;05;1043,93127839545
2202760;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;42; ; ; ; ; ; ; ; ;1;03;05;05;1087,99035121228
2202760;1;2;1;90; ;2;2;2;2;2;2;2;1;2;2; ; ; ; ; ; ; ;40; ; ;1;03;05;05;1087,99035121228
2202760;1;3;1;90; ;2;1;2;2;2;2;1;2;2;1; ;10; ; ; ; ;2; ; ;20;1;03;05;05;1087,99035121228
2202760;1;4;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;03;05;05;1087,99035121228
2202761;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;21; ; ; ; ; ; ; ; ;1;03;05;05;808,28780668771
2202761;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;2; ; ; ; ; ; ; ; ;1;03;05;05;808,28780668771
2202761;1;3;1;90; ;2;1;2;2;2;2;1;2;2;2; ;8; ; ; ; ;3; ; ; ;1;03;05;05;808,28780668771
2202761;1;4;1;90; ;2;1;2;2;2;2;2;2;2;2; ;21; ; ; ; ; ; ; ; ;1;03;05;05;808,28780668771
2202761;1;5;1;90; ;2;1;2;2;2;2;2;2;2;2; ;42; ; ; ; ; ; ; ; ;1;03;05;05;808,28780668771
2202762;1;1;1;90; ;2;2;2;1;2;2;2;2;2;2; ; ; ;8; ; ; ; ; ; ;1;03;05;05;987,8534617151
2202762;1;2;1;90; ;2;1;1;2;1;2;2;2;2;2; ;42;20; ;42; ; ; ; ; ;1;03;05;05;987,8534617151
2202763;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;15; ; ; ; ; ; ; ; ;1;03;05;05;879,213936533347
2202763;1;2;1;90; ;2;2;2;1;2;2;1;2;2;2; ; ; ;3; ; ;5; ; ; ;1;03;05;05;879,213936533347
2202763;1;3;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;03;05;05;879,213936533347
2202763;1;4;1;90; ;2;1;2;1;2;2;1;2;2;1; ;2; ;4; ; ;5; ; ;3;1;03;05;05;879,213936533347
2202764;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;03;05;05;1020,53651531308
2202764;1;2;1;90; ;2;1;2;1;2;2;2;2;2;2; ;35; ;50; ; ; ; ; ; ;1;03;05;05;1020,53651531308
2202764;1;3;1;90; ;2;1;2;1;2;2;2;2;2;2; ;2; ;15; ; ; ; ; ; ;1;03;05;05;1020,53651531308
2202766;1;1;1;90; ;2;1;2;1;1;2;2;2;2;2; ;40; ;40;40; ; ; ; ; ;1;03;05;05;907,683853728754
2202766;1;2;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;03;05;05;907,683853728754
2202766;1;3;1;90; ;2;2;2;1;2;2;2;2;2;2; ; ; ;6; ; ; ; ; ; ;1;03;05;05;907,683853728754
2202767;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;30; ; ; ; ; ; ; ; ;1;03;05;05;1045,47437392077
2202767;1;2;1;90; ;2;1;2;1;2;2;2;2;2;1; ;1; ;3; ; ; ; ; ;6;1;03;05;05;1045,47437392077
2202767;1;3;1;90; ;2;1;2;2;2;2;2;2;2;2; ;14; ; ; ; ; ; ; ; ;1;03;05;05;1045,47437392077
2202768;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;03;05;05;997,590381598947
2202768;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;30; ; ; ; ; ; ; ; ;1;03;05;05;997,590381598947
2202768;1;3;1;90; ;2;1;2;1;2;2;2;2;2;2; ;21; ;30; ; ; ; ; ; ;1;03;05;05;997,590381598947
2202769;1;1;1;90; ;2;1;2;1;2;2;2;2;2;2; ;3; ;10; ; ; ; ; ; ;1;03;05;05;1051,34518023232
2202769;1;2;1;90; ;2;1;2;1;2;2;2;2;2;2; ;20; ;70; ; ; ; ; ; ;1;03;05;05;1051,34518023232
2202770;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;03;05;05;1053,66819827929
2202770;1;2;1;90; ;2;1;2;2;1;2;2;2;2;2; ;20; ; ;16; ; ; ; ; ;1;03;05;05;1053,66819827929
2202770;1;3;1;90; ;2;2;2;1;2;2;1;2;2;2; ; ; ;9; ; ;16; ; ; ;1;03;05;05;1053,66819827929
2202771;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;20; ; ; ; ; ; ; ; ;1;03;05;05;827,133697748761
2202771;1;2;1;90; ;2;1;2;1;2;2;2;2;2;2; ;8; ;22; ; ; ; ; ; ;1;03;05;05;827,133697748761
2202771;1;4;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;03;05;05;827,133697748761
2202771;1;5;1;90; ;2;2;2;2;2;2;1;2;2;2; ; ; ; ; ; ;8; ; ; ;1;03;05;05;827,133697748761
2202771;1;6;1;90; ;2;1;2;1;2;2;1;2;2;2; ;3; ;10; ; ;3; ; ; ;1;03;05;05;827,133697748761
2202772;1;1;1;90; ;2;1;2;1;2;2;2;2;2;2; ;5; ;45; ; ; ; ; ; ;1;03;05;05;960,945210618994
2202773;1;1;1;90; ;2;1;2;1;2;2;2;2;2;2; ;18; ;30; ; ; ; ; ; ;1;03;05;05;960,945210618994
2202774;1;1;1;90; ;2;1;2;1;2;2;2;2;2;2; ;25; ;30; ; ; ; ; ; ;1;03;05;05;1092,58779325905
2202774;1;2;1;90; ;2;1;2;1;2;2;2;2;2;1; ;5; ;15; ; ; ; ; ;6;1;03;05;05;1092,58779325905
