Directorio;Secuencia_p;Orden;Regis;P7250;P7260;P7280;P7280s1;P7290;P7300;P7310;P7320;P7350;P7350s1;P7360;P7370;P7380;P7380s1;P7390;P7390s1;P7400;P7410;P7410s1;P7420;P7420s1;P7420s2;P7420s3;P7420s4;P7420s5;P7420s6;P7420s7;P7420s8;P7420s7a1;P7422;P7422s1;P7424;P7424s1;Clase;Oficio1;Oficio2;Rama4d_d;Rama2d_d;Dpto;Fex_c_2011
222091;2;2;70;2;48;1; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;45; ; ; ;19;3515,17251250358
222096;2;3;70;52;48;1; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;45; ; ; ;19;3813,01158418863
222097;2;4;70;6;48;1; ;1;1;2;2;4; ;1;2;2; ;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;1;120000;2; ;2;45;37;5233;52;19;3415,62192869996
222100;2;2;70;2;48;4; ;1;1;2;2;4; ;1;2;2; ;2; ;2;2; ; ; ; ; ;1; ; ; ; ; ;1;800000;1;3000000;2;41;41;5233;52;19;4370,33371318484
222102;2;1;70;6;48;1; ;2;2;2;6;1; ;9;1; ;.;4; ;1; ;.; ; ; ; ; ; ;1; ; ; ;1;615000;1;3015000;2;13;13;7512;75;19;3676,39741654719
222108;3;2;70;5;48;3; ;1;1;2;5;3; ;2;2;5; ;4; ;2;4; ; ; ; ; ; ; ;1; ; ; ;1;25000;1;160000;2;54;54;9500;95;19;3557,76819356905
222149;2;3;70;4;24;3; ;2;1;2;4;3; ;1;2;5; ;4; ;2;4; ; ; ; ; ; ; ; ; ;1; ;1;220000;1;2640000;2;54;54;9500;95;19;3796,03449414785
222198;2;2;70;1;40;1; ;1;1;2;36;2; ;4;2;4; ;2; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;1350000;2;59;59;8512;85;19;3182,25767536956
224233;2;3;70;200;70;3; ;2;2;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;55; ; ; ;70;1214,46816050365
224233;2;4;70;5;70;1; ;2;2;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;32; ; ; ;70;1214,46816050365
224248;2;2;70;4;70;4; ;1;1;2;4;4; ;1;2;2; ;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;97;97;6310;63;70;1146,57303243694
224249;2;4;70;5;70;8; ;1;1;2;5;1; ;2;2;7; ;8; ;2;3; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;62;62;0140;01;70;1516,52263844481
224251;2;4;70;8;70;1; ;2;2;2;8;8; ;2;2;3; ;8; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;62;62;0140;01;70;1426,94918182145
224251;2;8;70;2;70;1; ;1;1;2;2;1; ;2;2;7; ;8; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;62;62;0140;01;70;1426,94918182145
225440;2;4;70;13;48;1; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;45; ; ; ;08;1149,05759545979
225447;2;6;70;20;60;3; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;54; ; ; ;08;2927,20167079671
226009;2;1;70;3;70;1; ;1;1;2;4;4; ;9;1; ;.;1; ;1; ;.; ; ; ;1; ; ; ; ; ; ;1;800000;1;6600000;2;97;99;1110;11;50;837,585980426691
