Directorio;Area;Secuencia_p;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090s1;P5100;P5110;P5130;P5140;P5210s1;P5210s2;P5210s3;P5210s4;P5210s5;P5210s6;P5210s7;P5210s8;P5210s9;P5210s10;P5210s11;P5210s14;P5210s15;P5210s16;P5210s17;P5210s18;P5210s19;P5210s20;P5210s21;P5210s22;P5210s24;Hogar;P4000;P4010;P4020;P4030s1;P4030s2;P4030s3;P4030s4;P4030s5;P4030s1a1;P4030s4a1;P4040;Regis;Dpto;Orden;Fex_c_2011
216227;05;2;5;3;1;1;1;1; ;3;1; ; ;50000000;280000; ;1;1;2;1;1;1;1;1;1;2;1;1;1;2;2;2;2;1;1;2;2;1;2;1;4;1;1;1;1;1;3;2;1;01;05;1;763,812248265247
216228;05;2;5;3;1;1;1;1; ;1;1; ; ;40000000;250000; ;1;1;2;1;1;1;1;2;1;1;1;1;1;2;2;2;2;2;2;2;2;1;2;1;4;1;2;1;1;1;3;2;1;01;05;1;797,647560691471
216229;05;2;4;2;1;1;1;1; ;3;3; ; ; ; ;240000;1;1;2;1;1;1;1;2;2;2;1;1;1;1;2;2;2;2;1;2;2;1;2;1;4;1;1;1;1;1;3;2;1;01;05;1;856,463410121151
216230;05;2;6;3;1;1;1;1; ;3;3; ; ; ; ;270000;1;1;2;1;1;1;1;2;2;2;1;1;2;2;2;2;2;2;2;2;2;1;2;1;4;1;1;1;1;1;3;2;1;01;05;1;1106,88360063232
216231;05;2;4;2;1;1;1;1; ;3;1; ; ;35000000;250000; ;1;1;2;1;1;1;1;2;2;1;1;2;1;2;2;2;2;2;2;2;2;1;2;1;4;1;1;1;1;1;3;2;1;01;05;1;747,422208925302
216232;05;2;4;1;1;1;1;1; ; ;1; ; ;35000000;250000; ;1;1;2;2;1;1;2;2;1;2;1;2;2;2;2;2;2;2;2;2;2;1;2;1;4;1;2;1;1;1;3;2;1;01;05;1;950,929882878171
216233;05;2;3;1;1;1;1;1; ;3;3; ; ; ; ;200000;1;2;2;1;1;1;2;2;2;2;1;2;2;2;2;2;2;2;1;2;2;1;2;1;2;1;1;1;1;1;3;2;1;01;05;1;920,370658193305
216234;05;2;4;1;1;1;1;1; ;4;1; ; ;30000000;300000; ;1;2;2;1;1;1;1;2;1;1;1;2;1;2;2;2;2;2;2;2;2;1;2;1;4;1;2;1;1;1;3;2;1;01;05;1;831,213372222874
216236;05;2;8;5;1;1;1;1; ;3;1; ; ;50000000;250000; ;1;1;2;1;1;1;1;1;2;1;1;2;2;2;2;2;2;2;2;2;2;1;1;1;4;1;1;1;1;1;3;2;1;01;05;1;613,806013819906
216238;05;2;4;2;1;1;1;1; ;1;1; ; ;30000000;250000; ;1;2;2;2;1;1;1;2;2;1;1;2;2;2;2;2;2;2;2;2;2;1;1;1;4;1;2;1;1;1;3;2;1;01;05;1;881,438723989043
216239;05;2;4;1;1;1;1;1; ;1;4; ; ; ;200000; ;1;1;2;1;1;1;1;2;1;1;1;2;2;2;2;2;2;2;2;2;2;1;2;1;4;1;2;1;1;1;3;2;1;01;05;1;680,234779763905
216240;05;2;4;2;1;1;1;1; ;1;1; ; ;25000000;160000; ;1;1;2;2;1;1;1;1;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;1;4;1;2;1;1;1;2;2;1;01;05;1;831,213372222874
216241;05;2;4;3;1;1;1;1; ;4;1; ; ;25000000;150000; ;1;1;2;2;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;1;2;1;2;1;1;1;2;2;1;01;05;1;628,133443114204
216244;05;2;4;3;1;1;1;1; ;3;1; ; ;20000000;200000; ;1;1;2;1;1;1;1;1;1;2;1;1;1;1;2;2;2;1;2;1;2;1;2;1;4;1;1;1;1;1;2;2;1;01;05;1;813,57067923742
216245;05;2;4;2;1;1;1;1; ;3;3; ; ; ; ;150000;1;1;2;1;1;1;1;2;2;2;1;2;2;2;2;2;2;2;1;2;2;1;2;1;2;1;1;1;1;1;2;2;1;01;05;1;796,420667067213
216246;05;2;3;2;1;1;1;1; ;3;2; ;160000;14000000;160000; ;1;2;2;1;1;1;1;1;2;2;1;2;1;2;2;2;2;1;2;2;2;1;2;1;4;1;1;1;1;1;2;2;1;01;05;1;628,133443114204
216247;05;2;4;2;1;1;1;1; ;4;1; ; ;12000000;140000; ;1;1;2;2;1;1;1;1;2;1;1;1;1;1;2;2;2;2;2;2;2;1;2;1;2;1;2;1;1;1;2;2;1;01;05;1;669,559470304457
216248;05;2;3;2;1;1;1;1; ;1;3; ; ; ; ;120000;1;1;2;2;1;1;1;1;2;2;1;2;1;2;2;2;2;2;2;2;2;1;1;1;2;1;2;1;1;1;2;2;1;01;05;1;691,978183698591
